year,regtyp,sex,plj0175,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,Urban regions,male,Yes,0.92965,6318,6805,0.92357,0.93573
2012,Urban regions,male,No,0.07035,487,6805,0.06427,0.07643
2012,Urban regions,female,Yes,0.92635,7669,8292,0.92073,0.93198
2012,Urban regions,female,No,0.07365,623,8292,0.06802,0.07927
2012,Rural regions,male,Yes,0.94703,4099,4316,0.94035,0.95371
2012,Rural regions,male,No,0.05297,217,4316,0.04629,0.05965
2012,Rural regions,female,Yes,0.94403,4773,5041,0.93768,0.95037
2012,Rural regions,female,No,0.05597,268,5041,0.04963,0.06232
2013,Urban regions,male,Yes,0.91506,6081,6921,0.90849,0.92163
2013,Urban regions,male,No,0.08494,840,6921,0.07837,0.09151
2013,Urban regions,female,Yes,0.92214,7353,8301,0.91638,0.92790
2013,Urban regions,female,No,0.07786,948,8301,0.07210,0.08362
2013,Rural regions,male,Yes,0.95211,3881,4124,0.94560,0.95863
2013,Rural regions,male,No,0.04789,243,4124,0.04137,0.05440
2013,Rural regions,female,Yes,0.95287,4517,4792,0.94687,0.95887
2013,Rural regions,female,No,0.04713,275,4792,0.04113,0.05313
2014,Urban regions,male,Yes,0.94888,5512,5884,0.94325,0.95451
2014,Urban regions,male,No,0.05112,372,5884,0.04549,0.05675
2014,Urban regions,female,Yes,0.94705,6630,7110,0.94184,0.95225
2014,Urban regions,female,No,0.05295,480,7110,0.04775,0.05816
2014,Rural regions,male,Yes,0.96863,3572,3715,0.96303,0.97424
2014,Rural regions,male,No,0.03137,143,3715,0.02576,0.03697
2014,Rural regions,female,Yes,0.96517,4114,4310,0.95970,0.97064
2014,Rural regions,female,No,0.03483,196,4310,0.02936,0.04030
2015,Urban regions,male,Yes,0.93476,5318,5779,0.92839,0.94113
2015,Urban regions,male,No,0.06524,461,5779,0.05887,0.07161
2015,Urban regions,female,Yes,0.93427,6294,6907,0.92843,0.94012
2015,Urban regions,female,No,0.06573,613,6907,0.05988,0.07157
2015,Rural regions,male,Yes,0.95657,3423,3616,0.94992,0.96321
2015,Rural regions,male,No,0.04343,193,3616,0.03679,0.05008
2015,Rural regions,female,Yes,0.95481,3957,4188,0.94851,0.96110
2015,Rural regions,female,No,0.04519,231,4188,0.03890,0.05149
2016,Urban regions,male,Yes,0.93604,4962,5366,0.92949,0.94258
2016,Urban regions,male,No,0.06396,404,5366,0.05742,0.07051
2016,Urban regions,female,Yes,0.93339,5901,6454,0.92731,0.93947
2016,Urban regions,female,No,0.06661,553,6454,0.06053,0.07269
2016,Rural regions,male,Yes,0.95236,3182,3370,0.94516,0.95955
2016,Rural regions,male,No,0.04764,188,3370,0.04045,0.05484
2016,Rural regions,female,Yes,0.95529,3655,3883,0.94879,0.96179
2016,Rural regions,female,No,0.04471,228,3883,0.03821,0.05121
2017,Urban regions,male,Yes,0.92937,5661,6159,0.92297,0.93577
2017,Urban regions,male,No,0.07063,498,6159,0.06423,0.07703
2017,Urban regions,female,Yes,0.93197,6600,7212,0.92615,0.93778
2017,Urban regions,female,No,0.06803,612,7212,0.06222,0.07385
2017,Rural regions,male,Yes,0.95828,3675,3855,0.95197,0.96460
2017,Rural regions,male,No,0.04172,180,3855,0.03540,0.04803
2017,Rural regions,female,Yes,0.96052,4091,4316,0.95471,0.96633
2017,Rural regions,female,No,0.03948,225,4316,0.03367,0.04529
2018,Urban regions,male,Yes,0.92824,5507,6020,0.92172,0.93476
2018,Urban regions,male,No,0.07176,513,6020,0.06524,0.07828
2018,Urban regions,female,Yes,0.92816,6422,7048,0.92213,0.93419
2018,Urban regions,female,No,0.07184,626,7048,0.06581,0.07787
2018,Rural regions,male,Yes,0.95647,3454,3644,0.94985,0.96310
2018,Rural regions,male,No,0.04353,190,3644,0.03690,0.05015
2018,Rural regions,female,Yes,0.95845,3947,4168,0.95239,0.96451
2018,Rural regions,female,No,0.04155,221,4168,0.03549,0.04761
2020,Urban regions,male,Yes,0.93012,5481,5966,0.92365,0.93659
2020,Urban regions,male,No,0.06988,485,5966,0.06341,0.07635
2020,Urban regions,female,Yes,0.93661,6149,6712,0.93078,0.94244
2020,Urban regions,female,No,0.06339,563,6712,0.05756,0.06922
2020,Rural regions,male,Yes,0.95157,3294,3482,0.94443,0.95870
2020,Rural regions,male,No,0.04843,188,3482,0.04130,0.05557
2020,Rural regions,female,Yes,0.95860,3591,3803,0.95227,0.96493
2020,Rural regions,female,No,0.04140,212,3803,0.03507,0.04773
2021,Urban regions,male,Yes,0.92605,3892,4234,0.91817,0.93393
2021,Urban regions,male,No,0.07395,342,4234,0.06607,0.08183
2021,Urban regions,female,Yes,0.91942,4358,4797,0.91172,0.92713
2021,Urban regions,female,No,0.08058,439,4797,0.07287,0.08828
2021,Rural regions,male,Yes,0.94749,2272,2420,0.93860,0.95637
2021,Rural regions,male,No,0.05251,148,2420,0.04363,0.06140
2021,Rural regions,female,Yes,0.95616,2519,2668,0.94839,0.96393
2021,Rural regions,female,No,0.04384,149,2668,0.03607,0.05161
2022,Urban regions,male,Yes,0.90604,5428,5997,0.89865,0.91342
2022,Urban regions,male,No,0.09396,569,5997,0.08658,0.10135
2022,Urban regions,female,Yes,0.91841,5892,6494,0.91176,0.92507
2022,Urban regions,female,No,0.08159,602,6494,0.07493,0.08824
2022,Rural regions,male,Yes,0.95171,3341,3531,0.94464,0.95878
2022,Rural regions,male,No,0.04829,190,3531,0.04122,0.05536
2022,Rural regions,female,Yes,0.94221,3686,3909,0.93490,0.94953
2022,Rural regions,female,No,0.05779,223,3909,0.05047,0.06510
