year,age_gr,plj0175,proportion,n,lower_confidence,upper_confidence
2012,46-65 J.,Ja,0.3278943278943279,40229,0.32330686900754724,0.3324817867811085
2012,30-45 J.,Ja,0.2889624994888153,40229,0.2845330123142636,0.293391986663367
2012,66 und älter,Ja,0.1881159775896618,40229,0.18429700719147832,0.1919349479878453
2012,18-29 J.,Ja,0.12984091931460354,40229,0.1265562506149629,0.13312558801424418
2012,30-45 J.,Nein,0.02016112542428332,40229,0.018787649119339264,0.021534601729227373
2012,46-65 J.,Nein,0.019833967202388256,40229,0.018471452892312935,0.021196481512463578
2012,18-29 J.,Nein,0.014108698319224636,40229,0.012956189005132686,0.015261207633316586
2012,66 und älter,Nein,0.011082484766695292,40229,0.010059462565290047,0.012105506968100537
2013,46-65 J.,Ja,0.32692227979274613,44486,0.32256315542776715,0.3312814041577251
2013,30-45 J.,Ja,0.26706735751295335,44486,0.2629559849872785,0.2711787300386282
2013,66 und älter,Ja,0.18677720207253887,44486,0.18315551354098328,0.19039889060409446
2013,18-29 J.,Ja,0.12414507772020725,44486,0.12108082039847579,0.1272093350419387
2013,18-29 J.,Nein,0.03535751295336788,44486,0.03364131080896947,0.03707371509776629
2013,30-45 J.,Nein,0.03415544041450777,44486,0.03246761331190592,0.035843267517109624
2013,46-65 J.,Nein,0.018694300518134716,44486,0.017435661580276943,0.01995293945599249
2013,66 und älter,Nein,0.0068808290155440415,44486,0.0061126446598739025,0.007649013371214181
2014,46-65 J.,Ja,0.34841564373394235,38694,0.34366810621736554,0.35316318125051915
2014,30-45 J.,Ja,0.2551622418879056,38694,0.25081840704616587,0.2595060767296453
2014,66 und älter,Ja,0.21001046721857455,38694,0.2059519686534346,0.2140689657837145
2014,18-29 J.,Ja,0.12974593205823579,38694,0.12639778778390365,0.13309407633256792
2014,30-45 J.,Nein,0.016890284518032164,38694,0.015606317894816847,0.01817425114124748
2014,18-29 J.,Nein,0.016414501855552384,38694,0.015148442199611409,0.01768056151149336
2014,46-65 J.,Nein,0.01579598439432867,38694,0.014553616636358804,0.017038352152298535
2014,66 und älter,Nein,0.00756494433342849,38694,0.006701591787149013,0.008428296879707968
2015,46-65 J.,Ja,0.3467714383327639,38036,0.3419883005131845,0.3515545761523433
2015,30-45 J.,Ja,0.2377373224657133,38036,0.23345913645208152,0.24201550847934508
2015,66 und älter,Ja,0.21362682414954365,38036,0.209507737864782,0.2177459104343053
2015,18-29 J.,Ja,0.12880081995216947,38036,0.12543433486573125,0.13216730503860769
2015,18-29 J.,Nein,0.023183171457855433,38036,0.021670823786057336,0.02469551912965353
2015,30-45 J.,Nein,0.022158231246034457,38036,0.02067891683050016,0.023637545661568754
2015,46-65 J.,Nein,0.02044999755966616,38036,0.019027607897309687,0.021872387222022636
