,Unnamed: 0,year,pgisced97,sampreg,plj0175,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2012,Pre-primary Level,West,Yes,0.83651,329,24034,0.7421,0.93229
1,1,2012,Pre-primary Level,West,No,0.16349,57,24034,0.12112,0.20186
2,2,2012,Pre-primary Level,East,Yes,1.0,50,24034,0.78144,1.28611
3,3,2012,Primary Level,West,Yes,1.0,161,24034,0.82316,1.16801
4,4,2012,Primary Level,East,Yes,1.0,43,24034,0.71799,1.33581
5,5,2012,Lower Secondary Level,West,Yes,0.89873,1695,24034,0.86367,0.93379
6,6,2012,Lower Secondary Level,West,No,0.10127,217,24034,0.08927,0.11391
7,7,2012,Lower Secondary Level,East,Yes,1.0,343,24034,0.90509,1.09177
8,8,2012,Upper Secondary Level,West,Yes,0.93399,8481,24034,0.91566,0.95315
9,9,2012,Upper Secondary Level,West,No,0.06601,612,24034,0.06108,0.07085
10,10,2012,Upper Secondary Level,East,Yes,0.96349,3155,24034,0.93186,0.9977
11,11,2012,Upper Secondary Level,East,No,0.03651,116,24034,0.02988,0.04306
12,12,2012,Post-secondary Non-tertiary Level,West,Yes,0.92142,1212,24034,0.86658,0.97794
13,13,2012,Post-secondary Non-tertiary Level,West,No,0.07858,101,24034,0.06367,0.09715
14,14,2012,Post-secondary Non-tertiary Level,East,Yes,1.0,272,24034,0.85485,1.18057
15,15,2012,First Stage of Tertiary Education,West,Yes,0.94672,1137,24034,0.88069,1.01682
16,16,2012,First Stage of Tertiary Education,West,No,0.05328,76,24034,0.04361,0.06772
17,17,2012,First Stage of Tertiary Education,East,Yes,1.0,453,24034,0.91727,1.1108
18,18,2012,Second Stage of Tertiary Education,West,Yes,0.93927,3797,24034,0.90311,0.97133
19,19,2012,Second Stage of Tertiary Education,West,No,0.06073,236,24034,0.05271,0.06971
20,20,2012,Second Stage of Tertiary Education,East,Yes,0.94288,1419,24034,0.89394,1.00177
21,21,2012,Second Stage of Tertiary Education,East,No,0.05712,72,24034,0.04722,0.06828
22,22,2013,Pre-primary Level,West,Yes,0.78618,309,23689,0.6894,0.90813
23,23,2013,Pre-primary Level,West,No,0.21382,128,23689,0.17161,0.25348
24,24,2013,Pre-primary Level,East,Yes,1.0,53,23689,0.74225,1.35172
25,25,2013,Primary Level,West,Yes,0.80687,143,23689,0.68613,0.93839
26,26,2013,Primary Level,West,No,0.19313,49,23689,0.14569,0.25331
