year,migback,plj0175,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,No migration background,Yes,0.96947,22413,23102,0.96725,0.97169
2012,No migration background,No,0.03053,689,23102,0.02831,0.03275
2012,Direct migration background,Yes,0.40629,224,599,0.36693,0.44566
2012,Direct migration background,No,0.59371,375,599,0.55434,0.63307
2012,Indirect migration background,Yes,0.27384,222,753,0.24197,0.30571
2012,Indirect migration background,No,0.72616,531,753,0.69429,0.75803
2013,No migration background,Yes,0.97332,21365,21920,0.97119,0.97545
2013,No migration background,No,0.02668,555,21920,0.02455,0.02881
2013,Direct migration background,Yes,0.49501,233,573,0.45403,0.53598
2013,Direct migration background,No,0.50499,340,573,0.46402,0.54597
2013,Indirect migration background,Yes,0.18748,234,1645,0.16862,0.20635
2013,Indirect migration background,No,0.81252,1411,1645,0.79365,0.83138
2014,No migration background,Yes,0.97981,19381,19779,0.97785,0.98177
2014,No migration background,No,0.02019,398,19779,0.01823,0.02215
2014,Direct migration background,Yes,0.45347,208,513,0.41035,0.49660
2014,Direct migration background,No,0.54653,305,513,0.50340,0.58965
2014,Indirect migration background,Yes,0.39243,239,727,0.35691,0.42795
2014,Indirect migration background,No,0.60757,488,727,0.57205,0.64309
2015,No migration background,Yes,0.97622,18588,19026,0.97405,0.97838
2015,No migration background,No,0.02378,438,19026,0.02162,0.02595
2015,Direct migration background,Yes,0.43672,189,575,0.39614,0.47730
2015,Direct migration background,No,0.56328,386,575,0.52270,0.60386
2015,Indirect migration background,Yes,0.27179,215,889,0.24253,0.30105
2015,Indirect migration background,No,0.72821,674,889,0.69895,0.75747
2016,No migration background,Yes,0.97602,17258,17670,0.97376,0.97828
2016,No migration background,No,0.02398,412,17670,0.02172,0.02624
2016,Direct migration background,Yes,0.45719,195,541,0.41517,0.49921
2016,Direct migration background,No,0.54281,346,541,0.50079,0.58483
2016,Indirect migration background,Yes,0.32600,247,862,0.29469,0.35731
2016,Indirect migration background,No,0.67400,615,862,0.64269,0.70531
2017,No migration background,Yes,0.97703,19585,20027,0.97495,0.97910
2017,No migration background,No,0.02297,442,20027,0.02090,0.02505
2017,Direct migration background,Yes,0.44462,182,544,0.40282,0.48641
2017,Direct migration background,No,0.55538,362,544,0.51359,0.59718
2017,Indirect migration background,Yes,0.27363,260,971,0.24557,0.30169
2017,Indirect migration background,No,0.72637,711,971,0.69831,0.75443
2018,No migration background,Yes,0.97637,18897,19338,0.97423,0.97851
2018,No migration background,No,0.02363,441,19338,0.02149,0.02577
2018,Direct migration background,Yes,0.37835,162,519,0.33658,0.42011
2018,Direct migration background,No,0.62165,357,519,0.57989,0.66342
2018,Indirect migration background,Yes,0.30580,271,1023,0.27756,0.33405
2018,Indirect migration background,No,0.69420,752,1023,0.66595,0.72244
2020,No migration background,Yes,0.97840,18044,18431,0.97630,0.98050
2020,No migration background,No,0.02160,387,18431,0.01950,0.02370
2020,Direct migration background,Yes,0.36596,167,484,0.32300,0.40891
2020,Direct migration background,No,0.63404,317,484,0.59109,0.67700
2020,Indirect migration background,Yes,0.32156,311,1055,0.29337,0.34976
2020,Indirect migration background,No,0.67844,744,1055,0.65024,0.70663
2021,No migration background,Yes,0.97563,12759,13062,0.97298,0.97827
2021,No migration background,No,0.02437,303,13062,0.02173,0.02702
2021,Direct migration background,Yes,0.28734,92,387,0.24219,0.33248
2021,Direct migration background,No,0.71266,295,387,0.66752,0.75781
2021,Indirect migration background,Yes,0.30332,198,678,0.26870,0.33795
2021,Indirect migration background,No,0.69668,480,678,0.66205,0.73130
2022,No migration background,Yes,0.97779,17842,18218,0.97565,0.97993
2022,No migration background,No,0.02221,376,18218,0.02007,0.02435
2022,Direct migration background,Yes,0.24330,118,581,0.20838,0.27822
2022,Direct migration background,No,0.75670,463,581,0.72178,0.79162
2022,Indirect migration background,Yes,0.35098,399,1144,0.32331,0.37865
2022,Indirect migration background,No,0.64902,745,1144,0.62135,0.67669
