year,migback,sampreg,plj0175,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,No migration background,West,Yes,0.97043,16684,17201,0.96790,0.97296
2012,No migration background,West,No,0.02957,517,17201,0.02704,0.03210
2012,No migration background,East,Yes,0.96588,5729,5901,0.96125,0.97052
2012,No migration background,East,No,0.03412,172,5901,0.02948,0.03875
2012,Direct migration background,West,Yes,0.38495,182,530,0.34348,0.42642
2012,Direct migration background,West,No,0.61505,348,530,0.57358,0.65652
2012,Direct migration background,East,Yes,0.63618,42,42,0.48892,0.78345
2012,Indirect migration background,West,Yes,0.25356,192,687,0.22100,0.28611
2012,Indirect migration background,West,No,0.74644,495,687,0.71389,0.77900
2012,Indirect migration background,East,No,0.45472,36,36,0.28975,0.61969
2013,No migration background,West,Yes,0.97246,15948,16387,0.96995,0.97496
2013,No migration background,West,No,0.02754,439,16387,0.02504,0.03005
2013,No migration background,East,Yes,0.97653,5417,5533,0.97254,0.98052
2013,No migration background,East,No,0.02347,116,5533,0.01948,0.02746
2013,Direct migration background,West,Yes,0.46590,184,503,0.42226,0.50953
2013,Direct migration background,West,No,0.53410,319,503,0.49047,0.57774
2013,Direct migration background,East,Yes,0.77590,49,49,0.65793,0.89387
2013,Indirect migration background,West,Yes,0.17863,207,1555,0.15958,0.19767
2013,Indirect migration background,West,No,0.82137,1348,1555,0.80233,0.84042
2013,Indirect migration background,East,No,0.62405,63,63,0.50348,0.74462
2014,No migration background,West,Yes,0.98009,14406,14698,0.97783,0.98235
2014,No migration background,West,No,0.01991,292,14698,0.01765,0.02217
2014,No migration background,East,Yes,0.97877,4975,5081,0.97481,0.98273
2014,No migration background,East,No,0.02123,106,5081,0.01727,0.02519
2014,Direct migration background,West,Yes,0.42118,158,445,0.37526,0.46711
2014,Direct migration background,West,No,0.57882,287,445,0.53289,0.62474
2014,Direct migration background,East,Yes,0.73897,50,50,0.61600,0.86195
2014,Indirect migration background,West,Yes,0.38811,209,659,0.35087,0.42534
2014,Indirect migration background,West,No,0.61189,450,659,0.57466,0.64913
2014,Indirect migration background,East,No,0.53779,38,38,0.37714,0.69844
2015,No migration background,West,Yes,0.97561,13827,14176,0.97307,0.97815
2015,No migration background,West,No,0.02439,349,14176,0.02185,0.02693
2015,No migration background,East,Yes,0.97851,4761,4850,0.97443,0.98259
2015,No migration background,East,No,0.02149,89,4850,0.01741,0.02557
2015,Direct migration background,West,Yes,0.42127,153,511,0.37842,0.46412
2015,Direct migration background,West,No,0.57873,358,511,0.53588,0.62158
2015,Direct migration background,East,Yes,0.59670,36,36,0.43418,0.75923
2015,Indirect migration background,West,Yes,0.26580,189,811,0.23538,0.29622
2015,Indirect migration background,West,No,0.73420,622,811,0.70378,0.76462
2015,Indirect migration background,East,No,0.62336,52,52,0.49038,0.75635
2016,No migration background,West,Yes,0.97620,12817,13129,0.97359,0.97880
2016,No migration background,West,No,0.02380,312,13129,0.02120,0.02641
2016,No migration background,East,Yes,0.97534,4441,4541,0.97083,0.97985
2016,No migration background,East,No,0.02466,100,4541,0.02015,0.02917
2016,Direct migration background,West,Yes,0.43439,160,477,0.38986,0.47892
2016,Direct migration background,West,No,0.56561,317,477,0.52108,0.61014
2016,Direct migration background,East,Yes,0.72070,35,35,0.56988,0.87151
2016,Indirect migration background,West,Yes,0.32590,213,773,0.29284,0.35897
2016,Indirect migration background,West,No,0.67410,560,773,0.64103,0.70716
