year,sampreg,plj0175,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,West,Yes,0.92788,17058,18418,0.92415,0.93162
2012,West,No,0.07212,1360,18418,0.06838,0.07585
2012,East,Yes,0.95801,5801,6036,0.95295,0.96307
2012,East,No,0.04199,235,6036,0.03693,0.04705
2013,West,Yes,0.92063,16339,18445,0.91673,0.92453
2013,West,No,0.07937,2106,18445,0.07547,0.08327
2013,East,Yes,0.96904,5493,5693,0.96454,0.97354
2013,East,No,0.03096,200,5693,0.02646,0.03546
2014,West,Yes,0.94987,14773,15802,0.94647,0.95328
2014,West,No,0.05013,1029,15802,0.04672,0.05353
2014,East,Yes,0.97266,5055,5217,0.96824,0.97709
2014,East,No,0.02734,162,5217,0.02291,0.03176
2015,West,Yes,0.93476,14169,15498,0.93087,0.93865
2015,West,No,0.06524,1329,15498,0.06135,0.06913
2015,East,Yes,0.96978,4823,4992,0.96503,0.97453
2015,East,No,0.03022,169,4992,0.02547,0.03497
2016,West,Yes,0.93540,13190,14379,0.93138,0.93942
2016,West,No,0.06460,1189,14379,0.06058,0.06862
2016,East,Yes,0.96473,4510,4694,0.95945,0.97001
2016,East,No,0.03527,184,4694,0.02999,0.04055
2017,West,Yes,0.93416,14976,16302,0.93036,0.93797
2017,West,No,0.06584,1326,16302,0.06203,0.06964
2017,East,Yes,0.96570,5051,5240,0.96077,0.97063
2017,East,No,0.03430,189,5240,0.02937,0.03923
2018,West,Yes,0.93043,14379,15737,0.92646,0.93441
2018,West,No,0.06957,1358,15737,0.06559,0.07354
2018,East,Yes,0.96922,4951,5143,0.96450,0.97395
2018,East,No,0.03078,192,5143,0.02605,0.03550
2020,West,Yes,0.93379,13857,15135,0.92982,0.93775
2020,West,No,0.06621,1278,15135,0.06225,0.07018
2020,East,Yes,0.96962,4665,4835,0.96478,0.97445
2020,East,No,0.03038,170,4835,0.02555,0.03522
2021,West,Yes,0.92646,9847,10767,0.92153,0.93139
2021,West,No,0.07354,920,10767,0.06861,0.07847
2021,East,Yes,0.95900,3202,3360,0.95229,0.96570
2021,East,No,0.04100,158,3360,0.03430,0.04771
2022,West,Yes,0.91800,13721,15089,0.91362,0.92238
2022,West,No,0.08200,1368,15089,0.07762,0.08638
2022,East,Yes,0.95142,4638,4854,0.94537,0.95746
2022,East,No,0.04858,216,4854,0.04254,0.05463
