year,migback,pgisced97,plj0175,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2012,No migration background,Pre-primary Level,Yes,1.0,358,23924,1.0,1.0
2012,No migration background,Primary Level,Yes,1.0,194,23924,1.0,1.0
2012,No migration background,Lower Secondary Level,Yes,0.9649097527898589,1971,23924,0.9647551865813253,0.9650643189983925
2012,No migration background,Lower Secondary Level,No,0.03509024721014107,63,23924,0.034935681001607474,0.035244813418674664
2012,No migration background,Upper Secondary Level,Yes,0.9706389443461828,11462,23924,0.9705773985348459,0.9707004901575197
2012,No migration background,Upper Secondary Level,No,0.029361055653817213,356,23924,0.029299509842480382,0.029422601465154043
2012,No migration background,Post-secondary Non-tertiary Level,Yes,0.9744708736781388,1460,23924,0.9742986230524198,0.9746431243038578
2012,No migration background,Post-secondary Non-tertiary Level,No,0.02552912632186114,36,23924,0.025356875696142128,0.025701376947580155
2012,No migration background,First Stage of Tertiary Education,Yes,0.9669412965234934,1569,23924,0.966766755495398,0.9671158375515887
2012,No migration background,First Stage of Tertiary Education,No,0.033058703476506544,59,23924,0.032884162448411164,0.033233244504601925
2012,No migration background,Second Stage of Tertiary Education,Yes,0.9647385109547334,5133,23924,0.9646295522398437,0.9648474696696231
2012,No migration background,Second Stage of Tertiary Education,No,0.03526148904526659,173,23924,0.03515253033037688,0.0353704477601563
2012,Direct migration background,Lower Secondary Level,Yes,0.36464162344911843,31,23924,0.36297136160766635,0.3663118852905705
2012,Direct migration background,Lower Secondary Level,No,0.6353583765508816,73,23924,0.6336881147094295,0.6370286383923336
2012,Direct migration background,Upper Secondary Level,Yes,0.3801286278490733,86,23924,0.3789088497509172,0.3813484059472294
2012,Direct migration background,Upper Secondary Level,No,0.6198713721509266,159,23924,0.6186515940527705,0.6210911502490827
2012,Direct migration background,Second Stage of Tertiary Education,Yes,0.5011874938720007,47,23924,0.49915968763581325,0.5032153001081882
2012,Direct migration background,Second Stage of Tertiary Education,No,0.49881250612799927,48,23924,0.49678469989181184,0.5008403123641867
2012,Indirect migration background,Pre-primary Level,No,1.0,52,23924,1.0,1.0
2012,Indirect migration background,Lower Secondary Level,Yes,0.30362551613414607,36,23924,0.3017574655592844,0.30549356670900774
2012,Indirect migration background,Lower Secondary Level,No,0.6963744838658539,90,23924,0.6945064332909923,0.6982425344407155
2012,Indirect migration background,Upper Secondary Level,Yes,0.25017708593550764,88,23924,0.2492131136185037,0.25114105825251154
2012,Indirect migration background,Upper Secondary Level,No,0.7498229140644923,213,23924,0.7488589417474883,0.7507868863814963
2012,Indirect migration background,Post-secondary Non-tertiary Level,No,1.0,44,23924,1.0,1.0
