year,sex,plj0175,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,male,Yes,0.93572,10417,11121,0.93116,0.94028
2012,male,No,0.06428,704,11121,0.05972,0.06884
2012,female,Yes,0.93237,12442,13333,0.92811,0.93663
2012,female,No,0.06763,891,13333,0.06337,0.07189
2013,male,Yes,0.92818,9962,11045,0.92337,0.93300
2013,male,No,0.07182,1083,11045,0.06700,0.07663
2013,female,Yes,0.93254,11870,13093,0.92824,0.93684
2013,female,No,0.06746,1223,13093,0.06316,0.07176
2014,male,Yes,0.95596,9084,9599,0.95186,0.96007
2014,male,No,0.04404,515,9599,0.03993,0.04814
2014,female,Yes,0.95320,10744,11420,0.94932,0.95707
2014,female,No,0.04680,676,11420,0.04293,0.05068
2015,male,Yes,0.94243,8741,9395,0.93772,0.94714
2015,male,No,0.05757,654,9395,0.05286,0.06228
2015,female,Yes,0.94123,10251,11095,0.93686,0.94561
2015,female,No,0.05877,844,11095,0.05439,0.06314
2016,male,Yes,0.94174,8144,8736,0.93683,0.94666
2016,male,No,0.05826,592,8736,0.05334,0.06317
2016,female,Yes,0.94083,9556,10337,0.93628,0.94538
2016,female,No,0.05917,781,10337,0.05462,0.06372
2017,male,Yes,0.93931,9336,10014,0.93463,0.94398
2017,male,No,0.06069,678,10014,0.05602,0.06537
2017,female,Yes,0.94140,10691,11528,0.93711,0.94569
2017,female,No,0.05860,837,11528,0.05431,0.06289
2018,male,Yes,0.93778,8961,9664,0.93297,0.94260
2018,male,No,0.06222,703,9664,0.05740,0.06703
2018,female,Yes,0.93829,10369,11216,0.93384,0.94275
2018,female,No,0.06171,847,11216,0.05725,0.06616
2020,male,Yes,0.93758,8775,9448,0.93270,0.94246
2020,male,No,0.06242,673,9448,0.05754,0.06730
2020,female,Yes,0.94390,9740,10515,0.93950,0.94830
2020,female,No,0.05610,775,10515,0.05170,0.06050
2021,male,Yes,0.93355,6164,6654,0.92757,0.93954
2021,male,No,0.06645,490,6654,0.06046,0.07243
2021,female,Yes,0.93179,6878,7466,0.92607,0.93751
2021,female,No,0.06821,588,7466,0.06249,0.07393
2022,male,Yes,0.92162,8769,9528,0.91623,0.92702
2022,male,No,0.07838,759,9528,0.07298,0.08377
2022,female,Yes,0.92664,9578,10403,0.92163,0.93165
2022,female,No,0.07336,825,10403,0.06835,0.07837
