year,age_gr,regtyp,plj0175,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,17-29 y.,Urban regions,Yes,0.87628,1982,2234,0.86263,0.88994
2012,17-29 y.,Urban regions,No,0.12372,252,2234,0.11006,0.13737
2012,17-29 y.,Rural regions,Yes,0.92642,1193,1287,0.91215,0.94069
2012,17-29 y.,Rural regions,No,0.07358,94,1287,0.05931,0.08785
2012,30-45 y.,Urban regions,Yes,0.92390,4281,4661,0.91629,0.93151
2012,30-45 y.,Urban regions,No,0.07610,380,4661,0.06849,0.08371
2012,30-45 y.,Rural regions,Yes,0.96071,2784,2897,0.95363,0.96778
2012,30-45 y.,Rural regions,No,0.03929,113,2897,0.03222,0.04637
2012,46-65 y.,Urban regions,Yes,0.94257,4817,5129,0.93620,0.94894
2012,46-65 y.,Urban regions,No,0.05743,312,5129,0.05106,0.06380
2012,46-65 y.,Rural regions,Yes,0.94570,3202,3375,0.93805,0.95335
2012,46-65 y.,Rural regions,No,0.05430,173,3375,0.04665,0.06195
2012,66 and older,Urban regions,Yes,0.94586,2907,3073,0.93785,0.95386
2012,66 and older,Urban regions,No,0.05414,166,3073,0.04614,0.06215
2012,66 and older,Rural regions,Yes,0.94360,1693,1798,0.93293,0.95427
2012,66 and older,Rural regions,No,0.05640,105,1798,0.04573,0.06707
2013,17-29 y.,Urban regions,Yes,0.82001,1893,2604,0.80525,0.83476
2013,17-29 y.,Urban regions,No,0.17999,711,2604,0.16524,0.19475
2013,17-29 y.,Rural regions,Yes,0.91432,1103,1257,0.89884,0.92980
2013,17-29 y.,Rural regions,No,0.08568,154,1257,0.07020,0.10116
2013,30-45 y.,Urban regions,Yes,0.89668,3914,4575,0.88786,0.90550
2013,30-45 y.,Urban regions,No,0.10332,661,4575,0.09450,0.11214
2013,30-45 y.,Rural regions,Yes,0.94938,2529,2692,0.94110,0.95767
2013,30-45 y.,Rural regions,No,0.05062,163,2692,0.04233,0.05890
2013,46-65 y.,Urban regions,Yes,0.94631,4757,5066,0.94011,0.95252
2013,46-65 y.,Urban regions,No,0.05369,309,5066,0.04748,0.05989
2013,46-65 y.,Rural regions,Yes,0.95626,3130,3272,0.94925,0.96327
