year,pgisced97,sex,plj0175,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,No answer / don't know,male,Yes,0.88217,161,161,0.83221,0.93212
2012,No answer / don't know,female,Yes,0.89346,151,151,0.84409,0.94284
2012,Pre-primary Level,male,Yes,0.82721,180,180,0.77182,0.88259
2012,Pre-primary Level,female,Yes,0.87197,199,199,0.82543,0.91851
2012,Primary Level,male,Yes,0.93904,83,83,0.88725,0.99082
2012,Primary Level,female,Yes,0.85307,121,121,0.78972,0.91642
2012,Lower Secondary Level,male,Yes,0.88661,627,709,0.86326,0.90997
2012,Lower Secondary Level,male,No,0.11339,82,709,0.09003,0.13674
2012,Lower Secondary Level,female,Yes,0.91687,1413,1557,0.90315,0.93059
2012,Lower Secondary Level,female,No,0.08313,144,1557,0.06941,0.09685
2012,Upper Secondary Level,male,Yes,0.94395,5184,5484,0.93786,0.95004
2012,Upper Secondary Level,male,No,0.05605,300,5484,0.04996,0.06214
2012,Upper Secondary Level,female,Yes,0.93633,6454,6882,0.93056,0.94210
2012,Upper Secondary Level,female,No,0.06367,428,6882,0.05790,0.06944
2012,Post-secondary Non-tertiary Level,male,Yes,0.91648,481,522,0.89272,0.94023
2012,Post-secondary Non-tertiary Level,male,No,0.08352,41,522,0.05977,0.10728
2012,Post-secondary Non-tertiary Level,female,Yes,0.93341,1003,1073,0.91848,0.94833
2012,Post-secondary Non-tertiary Level,female,No,0.06659,70,1073,0.05167,0.08152
2012,First Stage of Tertiary Education,male,Yes,0.95297,994,1046,0.94014,0.96581
2012,First Stage of Tertiary Education,male,No,0.04703,52,1046,0.03419,0.05986
2012,First Stage of Tertiary Education,female,Yes,0.94493,592,635,0.92717,0.96269
2012,First Stage of Tertiary Education,female,No,0.05507,43,635,0.03731,0.07283
2012,Second Stage of Tertiary Education,male,Yes,0.94051,2707,2867,0.93185,0.94917
2012,Second Stage of Tertiary Education,male,No,0.05949,160,2867,0.05083,0.06815
2012,Second Stage of Tertiary Education,female,Yes,0.93926,2509,2657,0.93017,0.94834
2012,Second Stage of Tertiary Education,female,No,0.06074,148,2657,0.05166,0.06983
2013,No answer / don't know,male,Yes,0.94926,190,190,0.91797,0.98055
2013,No answer / don't know,female,Yes,0.90999,158,158,0.86522,0.95476
2013,Pre-primary Level,male,Yes,0.75271,180,254,0.69954,0.80587
2013,Pre-primary Level,male,No,0.24729,74,254,0.19413,0.30046
2013,Pre-primary Level,female,Yes,0.83772,182,241,0.79107,0.88436
2013,Pre-primary Level,female,No,0.16228,59,241,0.11564,0.20893
2013,Primary Level,male,Yes,0.78701,71,71,0.69110,0.88293
2013,Primary Level,female,Yes,0.83582,112,143,0.77489,0.89675
2013,Primary Level,female,No,0.16418,31,143,0.10325,0.22511
2013,Lower Secondary Level,male,Yes,0.82039,589,794,0.79367,0.84711
2013,Lower Secondary Level,male,No,0.17961,205,794,0.15289,0.20633
2013,Lower Secondary Level,female,Yes,0.91873,1330,1548,0.90511,0.93235
2013,Lower Secondary Level,female,No,0.08127,218,1548,0.06765,0.09489
2013,Upper Secondary Level,male,Yes,0.94264,4855,5270,0.93636,0.94892
2013,Upper Secondary Level,male,No,0.05736,415,5270,0.05108,0.06364
2013,Upper Secondary Level,female,Yes,0.93808,6131,6673,0.93230,0.94387
2013,Upper Secondary Level,female,No,0.06192,542,6673,0.05613,0.06770
2013,Post-secondary Non-tertiary Level,male,Yes,0.92517,482,530,0.90275,0.94759
2013,Post-secondary Non-tertiary Level,male,No,0.07483,48,530,0.05241,0.09725
2013,Post-secondary Non-tertiary Level,female,Yes,0.91395,939,1050,0.89698,0.93092
2013,Post-secondary Non-tertiary Level,female,No,0.08605,111,1050,0.06908,0.10302
2013,First Stage of Tertiary Education,male,Yes,0.96766,948,998,0.95668,0.97864
2013,First Stage of Tertiary Education,male,No,0.03234,50,998,0.02136,0.04332
2013,First Stage of Tertiary Education,female,Yes,0.96230,564,601,0.94706,0.97754
2013,First Stage of Tertiary Education,female,No,0.03770,37,601,0.02246,0.05294
2013,Second Stage of Tertiary Education,male,Yes,0.92929,2647,2882,0.91992,0.93865
2013,Second Stage of Tertiary Education,male,No,0.07071,235,2882,0.06135,0.08008
2013,Second Stage of Tertiary Education,female,Yes,0.93907,2454,2656,0.92997,0.94817
2013,Second Stage of Tertiary Education,female,No,0.06093,202,2656,0.05183,0.07003
2014,No answer / don't know,male,Yes,0.93619,223,223,0.90403,0.96834
2014,No answer / don't know,female,Yes,0.94795,166,166,0.91405,0.98184
2014,Pre-primary Level,male,Yes,0.90924,135,135,0.86060,0.95788
2014,Pre-primary Level,female,Yes,0.85279,159,195,0.80293,0.90265
2014,Pre-primary Level,female,No,0.14721,36,195,0.09735,0.19707
2014,Primary Level,male,Yes,0.93077,72,72,0.87173,0.98982
2014,Primary Level,female,Yes,0.96677,101,101,0.93164,1.00190
2014,Lower Secondary Level,male,Yes,0.92482,554,611,0.90389,0.94574
2014,Lower Secondary Level,male,No,0.07518,57,611,0.05426,0.09611
2014,Lower Secondary Level,female,Yes,0.94794,1179,1285,0.93578,0.96009
2014,Lower Secondary Level,female,No,0.05206,106,1285,0.03991,0.06422
2014,Upper Secondary Level,male,Yes,0.96042,4364,4579,0.95477,0.96606
2014,Upper Secondary Level,male,No,0.03958,215,4579,0.03394,0.04523
2014,Upper Secondary Level,female,Yes,0.95474,5493,5802,0.94939,0.96009
2014,Upper Secondary Level,female,No,0.04526,309,5802,0.03991,0.05061
2014,Post-secondary Non-tertiary Level,male,Yes,0.95208,449,480,0.93295,0.97121
2014,Post-secondary Non-tertiary Level,male,No,0.04792,31,480,0.02879,0.06705
2014,Post-secondary Non-tertiary Level,female,Yes,0.94212,823,882,0.92669,0.95754
2014,Post-secondary Non-tertiary Level,female,No,0.05788,59,882,0.04246,0.07331
