year,age_gr,sampreg,plj0175,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,17-29 y.,West,Yes,0.87236,2382,2706,0.85978,0.88493
2012,17-29 y.,West,No,0.12764,324,2706,0.11507,0.14022
2012,17-29 y.,East,Yes,0.97837,793,793,0.96823,0.98850
2012,30-45 y.,West,Yes,0.92654,5298,5742,0.91979,0.93329
2012,30-45 y.,West,No,0.07346,444,5742,0.06671,0.08021
2012,30-45 y.,East,Yes,0.97387,1767,1816,0.96653,0.98121
2012,30-45 y.,East,No,0.02613,49,1816,0.01879,0.03347
2012,46-65 y.,West,Yes,0.94392,5980,6361,0.93826,0.94957
2012,46-65 y.,West,No,0.05608,381,6361,0.05043,0.06174
2012,46-65 y.,East,Yes,0.94310,2039,2143,0.93329,0.95291
2012,46-65 y.,East,No,0.05690,104,2143,0.04709,0.06671
2012,66 and older,West,Yes,0.94293,3398,3609,0.93536,0.95050
2012,66 and older,West,No,0.05707,211,3609,0.04950,0.06464
2012,66 and older,East,Yes,0.95370,1202,1262,0.94210,0.96530
2012,66 and older,East,No,0.04630,60,1262,0.03470,0.05790
2013,17-29 y.,West,Yes,0.82580,2317,3143,0.81254,0.83907
2013,17-29 y.,West,No,0.17420,826,3143,0.16093,0.18746
2013,17-29 y.,East,Yes,0.96526,679,718,0.95186,0.97867
2013,17-29 y.,East,No,0.03474,39,718,0.02133,0.04814
2013,30-45 y.,West,Yes,0.89785,4798,5569,0.88989,0.90580
2013,30-45 y.,West,No,0.10215,771,5569,0.09420,0.11011
2013,30-45 y.,East,Yes,0.97759,1645,1698,0.97054,0.98463
2013,30-45 y.,East,No,0.02241,53,1698,0.01537,0.02946
2013,46-65 y.,West,Yes,0.94756,5897,6273,0.94205,0.95308
2013,46-65 y.,West,No,0.05244,376,6273,0.04692,0.05795
2013,46-65 y.,East,Yes,0.95925,1990,2065,0.95072,0.96778
2013,46-65 y.,East,No,0.04075,75,2065,0.03222,0.04928
2013,66 and older,West,Yes,0.96372,3327,3460,0.95749,0.96995
2013,66 and older,West,No,0.03628,133,3460,0.03005,0.04251
2013,66 and older,East,Yes,0.97875,1179,1212,0.97063,0.98687
2013,66 and older,East,No,0.02125,33,1212,0.01313,0.02937
2014,17-29 y.,West,Yes,0.90466,2110,2429,0.89298,0.91634
2014,17-29 y.,West,No,0.09534,319,2429,0.08366,0.10702
2014,17-29 y.,East,Yes,0.97940,618,618,0.96819,0.99061
2014,30-45 y.,West,Yes,0.94144,3938,4259,0.93439,0.94849
2014,30-45 y.,West,No,0.05856,321,4259,0.05151,0.06561
2014,30-45 y.,East,Yes,0.97854,1426,1460,0.97111,0.98598
