year,migback,regtyp,plj0175,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2012,No migration background,Urban regions,Yes,0.9690026954177897,40229,0.967309095161612,0.9706962956739674
2012,No migration background,Urban regions,No,0.03099730458221024,40229,0.0293037043260325,0.032690904838387984
2012,No migration background,Rural regions,Yes,0.9708126036484246,40229,0.9691676569362682,0.972457550360581
2012,No migration background,Rural regions,No,0.029187396351575457,40229,0.027542449639418976,0.030832343063731938
2012,Direct migration background,Urban regions,No,0.6385869565217391,40229,0.6338923587777548,0.6432815542657234
2012,Direct migration background,Urban regions,Yes,0.36141304347826086,40229,0.3567184457342766,0.36610764122224515
2012,Direct migration background,Rural regions,No,0.6363636363636364,40229,0.6316628254402109,0.6410644472870618
2012,Direct migration background,Rural regions,Yes,0.36363636363636365,40229,0.3589355527129382,0.3683371745597891
2012,Indirect migration background,Urban regions,No,0.7284991568296796,40229,0.7241531883631618,0.7328451252961974
2012,Indirect migration background,Urban regions,Yes,0.2715008431703204,40229,0.2671548747038026,0.2758468116368382
2012,Indirect migration background,Rural regions,No,0.6589595375722543,40229,0.6543270018049637,0.663592073339545
2012,Indirect migration background,Rural regions,Yes,0.34104046242774566,40229,0.336407926660455,0.34567299819503633
2013,No migration background,Urban regions,Yes,0.972205707491082,44486,0.9706781369037384,0.9737332780784257
2013,No migration background,Urban regions,No,0.027794292508917955,44486,0.026266721921574327,0.029321863096261582
2013,No migration background,Rural regions,Yes,0.9769493120075268,44486,0.9755547996907864,0.9783438243242671
2013,No migration background,Rural regions,No,0.023050687992473246,44486,0.021656175675732827,0.024445200309213665
2013,Direct migration background,Urban regions,No,0.6011080332409973,44486,0.5965576465586045,0.60565841992339
2013,Direct migration background,Urban regions,Yes,0.3988919667590028,44486,0.39434158007661013,0.40344235344139545
2013,Direct migration background,Rural regions,No,0.5886075949367089,44486,0.5840347607045461,0.5931804291688717
2013,Direct migration background,Rural regions,Yes,0.41139240506329117,44486,0.4068195708311283,0.41596523929545404
2013,Indirect migration background,Urban regions,No,0.8718703976435935,44486,0.868764443081706,0.8749763522054811
2013,Indirect migration background,Urban regions,Yes,0.12812960235640647,44486,0.12502364779451894,0.131235556918294
2013,Indirect migration background,Rural regions,No,0.7958477508650519,44486,0.7921020208274915,0.7995934809026123
2013,Indirect migration background,Rural regions,Yes,0.2041522491349481,44486,0.2004065190973877,0.2078979791725085
2014,No migration background,Urban regions,Yes,0.9788872329855937,38694,0.9774548037792241,0.9803196621919632
2014,No migration background,Urban regions,No,0.02111276701440636,38694,0.019680337808036786,0.022545196220775932
2014,No migration background,Rural regions,Yes,0.9802274489532179,38694,0.9788402810215981,0.9816146168848376
2014,No migration background,Rural regions,No,0.019772551046782116,38694,0.018385383115162416,0.021159718978401815
2014,Direct migration background,Urban regions,No,0.6176470588235294,38694,0.6128049263805945,0.6224891912664644
2014,Direct migration background,Urban regions,Yes,0.38235294117647056,38694,0.37751080873353565,0.38719507361940547
2014,Direct migration background,Rural regions,No,0.567741935483871,38694,0.5628058656314858,0.5726780053362561
2014,Direct migration background,Rural regions,Yes,0.432258064516129,38694,0.4273219946637439,0.4371941343685142
2014,Indirect migration background,Urban regions,No,0.7048611111111112,38694,0.7003164735690158,0.7094057486532065
2014,Indirect migration background,Urban regions,Yes,0.2951388888888889,38694,0.2905942513467935,0.2996835264309843
2014,Indirect migration background,Rural regions,No,0.6060606060606061,38694,0.6011919735834622,0.6109292385377499
2014,Indirect migration background,Rural regions,Yes,0.3939393939393939,38694,0.3890707614622501,0.39880802641653773
2015,No migration background,Urban regions,Yes,0.975741935483871,38036,0.974195776277835,0.977288094689907
2015,No migration background,Urban regions,No,0.02425806451612903,38036,0.022711905310093056,0.025804223722165006
