,Unnamed: 0,year,migback,sex,plj0175,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2012,No migration background,male,Yes,0.97186,10235,24454,0.94904,0.98955
1,1,2012,No migration background,male,No,0.02814,312,24454,0.02471,0.03176
2,2,2012,No migration background,female,Yes,0.96689,12207,24454,0.94751,0.98461
3,3,2012,No migration background,female,No,0.03311,389,24454,0.03036,0.03654
4,4,2012,Direct migration background,male,Yes,0.39521,86,24454,0.32953,0.48104
5,5,2012,Direct migration background,male,No,0.60479,141,24454,0.52964,0.69639
6,6,2012,Direct migration background,female,Yes,0.39285,111,24454,0.34066,0.45283
7,7,2012,Direct migration background,female,No,0.60715,206,24454,0.52621,0.70252
8,8,2012,Indirect migration background,male,Yes,0.2782,96,24454,0.20537,0.35351
9,9,2012,Indirect migration background,male,No,0.7218,251,24454,0.61889,0.81426
10,10,2012,Indirect migration background,female,Yes,0.25656,124,24454,0.21003,0.30647
11,11,2012,Indirect migration background,female,No,0.74344,296,24454,0.64493,0.83308
12,12,2013,No migration background,male,Yes,0.97232,9756,24138,0.9483,0.99285
13,13,2013,No migration background,male,No,0.02768,272,24138,0.0238,0.03176
14,14,2013,No migration background,female,Yes,0.97325,11634,24138,0.95378,0.99085
15,15,2013,No migration background,female,No,0.02675,298,24138,0.02371,0.02942
16,16,2013,Direct migration background,male,Yes,0.54314,95,24138,0.43134,0.69664
17,17,2013,Direct migration background,male,No,0.45686,120,24138,0.35329,0.5618
18,18,2013,Direct migration background,female,Yes,0.43334,114,24138,0.36833,0.51076
19,19,2013,Direct migration background,female,No,0.56666,190,24138,0.4495,0.69784
20,20,2013,Indirect migration background,male,Yes,0.19319,111,24138,0.14747,0.24097
21,21,2013,Indirect migration background,male,No,0.80681,691,24138,0.7459,0.86119
22,22,2013,Indirect migration background,female,Yes,0.18281,122,24138,0.15137,0.233
23,23,2013,Indirect migration background,female,No,0.81719,735,24138,0.7598,0.87854
24,24,2014,No migration background,male,Yes,0.97962,8891,21019,0.95709,1.00623
25,25,2014,No migration background,male,No,0.02038,194,21019,0.01728,0.02378
26,26,2014,No migration background,female,Yes,0.97946,10518,21019,0.95795,1.00047
27,27,2014,No migration background,female,No,0.02054,214,21019,0.01787,0.02391
28,28,2014,Direct migration background,male,Yes,0.48134,80,21019,0.36019,0.63662
29,29,2014,Direct migration background,male,No,0.51866,101,21019,0.39929,0.63174
30,30,2014,Direct migration background,female,Yes,0.4248,104,21019,0.34558,0.51078
31,31,2014,Direct migration background,female,No,0.5752,176,21019,0.46358,0.70106
32,32,2014,Indirect migration background,male,Yes,0.41166,113,21019,0.33456,0.50207
33,33,2014,Indirect migration background,male,No,0.58834,220,21019,0.46697,0.70585
34,34,2014,Indirect migration background,female,Yes,0.3409,122,21019,0.27378,0.41147
35,35,2014,Indirect migration background,female,No,0.6591,286,21019,0.55349,0.77117
36,36,2015,No migration background,male,Yes,0.97676,8566,20490,0.95203,0.99866
37,37,2015,No migration background,male,No,0.02324,203,20490,0.01965,0.02779
38,38,2015,No migration background,female,Yes,0.97506,10045,20490,0.95596,0.99953
39,39,2015,No migration background,female,No,0.02494,250,20490,0.02158,0.0282
40,40,2015,Direct migration background,male,Yes,0.48075,81,20490,0.36822,0.59036
41,41,2015,Direct migration background,male,No,0.51925,139,20490,0.40146,0.66267
42,42,2015,Direct migration background,female,Yes,0.40214,91,20490,0.30725,0.50857
43,43,2015,Direct migration background,female,No,0.59786,213,20490,0.48596,0.73557
44,44,2015,Indirect migration background,male,Yes,0.26909,94,20490,0.20853,0.34197
45,45,2015,Indirect migration background,male,No,0.73091,311,20490,0.64234,0.86071
46,46,2015,Indirect migration background,female,Yes,0.2599,115,20490,0.19694,0.32132
47,47,2015,Indirect migration background,female,No,0.7401,382,20490,0.66406,0.82098
48,48,2016,No migration background,male,Yes,0.97573,7945,19073,0.95057,0.99745
49,49,2016,No migration background,male,No,0.02427,192,19073,0.02047,0.02806
50,50,2016,No migration background,female,Yes,0.9754,9342,19073,0.94887,1.00129
51,51,2016,No migration background,female,No,0.0246,236,19073,0.02158,0.02784
52,52,2016,Direct migration background,male,Yes,0.47593,82,19073,0.35948,0.59557
53,53,2016,Direct migration background,male,No,0.52407,121,19073,0.3851,0.67329
54,54,2016,Direct migration background,female,Yes,0.43835,88,19073,0.35284,0.54194
55,55,2016,Direct migration background,female,No,0.56165,197,19073,0.45626,0.71466
56,56,2016,Indirect migration background,male,Yes,0.34636,117,19073,0.28276,0.45106
57,57,2016,Indirect migration background,male,No,0.65364,278,19073,0.57383,0.75836
58,58,2016,Indirect migration background,female,Yes,0.29935,126,19073,0.23228,0.37222
59,59,2016,Indirect migration background,female,No,0.70065,349,19073,0.60449,0.78606
60,60,2017,No migration background,male,Yes,0.9773,9147,21542,0.95624,0.99692
61,61,2017,No migration background,male,No,0.0227,207,21542,0.0193,0.02634
62,62,2017,No migration background,female,Yes,0.97629,10470,21542,0.95637,0.99395
63,63,2017,No migration background,female,No,0.02371,249,21542,0.02085,0.02742
64,64,2017,Direct migration background,male,Yes,0.4851,75,21542,0.35225,0.6571
65,65,2017,Direct migration background,male,No,0.5149,127,21542,0.40997,0.62871
66,66,2017,Direct migration background,female,Yes,0.38711,83,21542,0.30264,0.47529
