year,age_gr,quintil_oecd,plj0175,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,17-29 y.,1st Quintile,Yes,0.90601,912,1030,0.88818,0.92384
2012,17-29 y.,1st Quintile,No,0.09399,118,1030,0.07616,0.11182
2012,17-29 y.,2nd Quintile,Yes,0.88226,558,622,0.85691,0.90761
2012,17-29 y.,2nd Quintile,No,0.11774,64,622,0.09239,0.14309
2012,17-29 y.,3rd Quintile,Yes,0.87715,555,614,0.85116,0.90313
2012,17-29 y.,3rd Quintile,No,0.12285,59,614,0.09687,0.14884
2012,17-29 y.,4th Quintile,Yes,0.90704,502,542,0.88257,0.93151
2012,17-29 y.,4th Quintile,No,0.09296,40,542,0.06849,0.11743
2012,17-29 y.,5th Quintile,Yes,0.89193,377,377,0.86055,0.92331
2012,30-45 y.,1st Quintile,Yes,0.93043,1310,1406,0.91713,0.94373
2012,30-45 y.,1st Quintile,No,0.06957,96,1406,0.05627,0.08287
2012,30-45 y.,2nd Quintile,Yes,0.92180,1341,1452,0.90798,0.93561
2012,30-45 y.,2nd Quintile,No,0.07820,111,1452,0.06439,0.09202
2012,30-45 y.,3rd Quintile,Yes,0.93556,1404,1501,0.92313,0.94799
2012,30-45 y.,3rd Quintile,No,0.06444,97,1501,0.05201,0.07687
2012,30-45 y.,4th Quintile,Yes,0.95589,1374,1448,0.94531,0.96647
2012,30-45 y.,4th Quintile,No,0.04411,74,1448,0.03353,0.05469
2012,30-45 y.,5th Quintile,Yes,0.93597,1241,1319,0.92275,0.94919
2012,30-45 y.,5th Quintile,No,0.06403,78,1319,0.05081,0.07725
2012,46-65 y.,1st Quintile,Yes,0.93923,1082,1164,0.92550,0.95296
2012,46-65 y.,1st Quintile,No,0.06077,82,1164,0.04704,0.07450
2012,46-65 y.,2nd Quintile,Yes,0.95513,1030,1099,0.94288,0.96737
2012,46-65 y.,2nd Quintile,No,0.04487,69,1099,0.03263,0.05712
2012,46-65 y.,3rd Quintile,Yes,0.93890,1301,1374,0.92623,0.95157
2012,46-65 y.,3rd Quintile,No,0.06110,73,1374,0.04843,0.07377
2012,46-65 y.,4th Quintile,Yes,0.95271,1569,1660,0.94250,0.96292
2012,46-65 y.,4th Quintile,No,0.04729,91,1660,0.03708,0.05750
2012,46-65 y.,5th Quintile,Yes,0.94372,2258,2364,0.93443,0.95301
2012,46-65 y.,5th Quintile,No,0.05628,106,2364,0.04699,0.06557
2012,66 and older,1st Quintile,Yes,0.92873,627,671,0.90924,0.94821
2012,66 and older,1st Quintile,No,0.07127,44,671,0.05179,0.09076
2012,66 and older,2nd Quintile,Yes,0.93871,1003,1074,0.92436,0.95306
2012,66 and older,2nd Quintile,No,0.06129,71,1074,0.04694,0.07564
2012,66 and older,3rd Quintile,Yes,0.93816,851,905,0.92246,0.95386
2012,66 and older,3rd Quintile,No,0.06184,54,905,0.04614,0.07754
2012,66 and older,4th Quintile,Yes,0.96451,765,797,0.95166,0.97737
2012,66 and older,4th Quintile,No,0.03549,32,797,0.02263,0.04834
2012,66 and older,5th Quintile,Yes,0.96338,804,841,0.95068,0.97608
2012,66 and older,5th Quintile,No,0.03662,37,841,0.02392,0.04932
2013,17-29 y.,1st Quintile,Yes,0.93991,840,958,0.92485,0.95496
2013,17-29 y.,1st Quintile,No,0.06009,118,958,0.04504,0.07515
2013,17-29 y.,2nd Quintile,Yes,0.92789,624,705,0.90879,0.94700
2013,17-29 y.,2nd Quintile,No,0.07211,81,705,0.05300,0.09121
2013,17-29 y.,3rd Quintile,Yes,0.92888,558,610,0.90846,0.94929
2013,17-29 y.,3rd Quintile,No,0.07112,52,610,0.05071,0.09154
2013,17-29 y.,4th Quintile,Yes,0.96114,519,519,0.94450,0.97778
2013,17-29 y.,5th Quintile,Yes,0.93707,403,445,0.91448,0.95965
2013,17-29 y.,5th Quintile,No,0.06293,42,445,0.04035,0.08552
2013,30-45 y.,1st Quintile,Yes,0.94665,1232,1316,0.93450,0.95880
2013,30-45 y.,1st Quintile,No,0.05335,84,1316,0.04120,0.06550
2013,30-45 y.,2nd Quintile,Yes,0.96109,1347,1461,0.95117,0.97101
2013,30-45 y.,2nd Quintile,No,0.03891,114,1461,0.02899,0.04883
2013,30-45 y.,3rd Quintile,Yes,0.94803,1254,1339,0.93614,0.95992
2013,30-45 y.,3rd Quintile,No,0.05197,85,1339,0.04008,0.06386
2013,30-45 y.,4th Quintile,Yes,0.93886,1284,1373,0.92618,0.95154
