year,regtyp,plh0188,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Urban regions,Agree completely,0.01405,242,1456,0.00801,0.02010
1990,Urban regions,Agree,0.03655,650,1456,0.02691,0.04620
1990,Urban regions,Disagree,0.02411,442,1456,0.01623,0.03199
1990,Urban regions,Disagree completely,0.00690,122,1456,0.00264,0.01115
1990,Rural regions,Agree completely,0.05973,521,2861,0.05105,0.06842
1990,Rural regions,Agree,0.14384,1272,2861,0.13098,0.15670
1990,Rural regions,Disagree,0.09887,875,2861,0.08793,0.10981
1990,Rural regions,Disagree completely,0.02308,193,2861,0.01757,0.02858
1991,Urban regions,Agree completely,0.01307,197,1349,0.00701,0.01914
1991,Urban regions,Agree,0.03466,559,1349,0.02490,0.04443
1991,Urban regions,Disagree,0.02872,454,1349,0.01980,0.03763
1991,Urban regions,Disagree completely,0.00934,139,1349,0.00420,0.01447
1991,Rural regions,Agree completely,0.05020,419,2718,0.04199,0.05841
1991,Rural regions,Agree,0.13588,1122,2718,0.12300,0.14877
1991,Rural regions,Disagree,0.11311,905,2718,0.10120,0.12502
1991,Rural regions,Disagree completely,0.03478,272,2718,0.02789,0.04167
1992,Urban regions,Agree completely,0.10571,943,6579,0.09828,0.11314
1992,Urban regions,Agree,0.34708,3109,6579,0.33558,0.35858
1992,Urban regions,Disagree,0.24622,2048,6579,0.23581,0.25663
1992,Urban regions,Disagree completely,0.05611,479,6579,0.05055,0.06167
1992,Rural regions,Agree completely,0.10751,594,4247,0.09819,0.11683
1992,Rural regions,Agree,0.36614,1982,4247,0.35165,0.38063
1992,Rural regions,Disagree,0.25698,1361,4247,0.24383,0.27012
1992,Rural regions,Disagree completely,0.06369,310,4247,0.05634,0.07103
1993,Urban regions,Agree completely,0.08819,989,8533,0.08217,0.09420
1993,Urban regions,Agree,0.33446,3641,8533,0.32444,0.34447
1993,Urban regions,Disagree,0.30121,3009,8533,0.29147,0.31094
1993,Urban regions,Disagree completely,0.09597,894,8533,0.08972,0.10222
1993,Rural regions,Agree completely,0.08243,447,4495,0.07439,0.09047
1993,Rural regions,Agree,0.32909,1927,4495,0.31535,0.34282
1993,Rural regions,Disagree,0.31963,1678,4495,0.30599,0.33326
1993,Rural regions,Disagree completely,0.08139,443,4495,0.07339,0.08938
1995,Urban regions,Agree completely,0.12068,1338,8665,0.11382,0.12754
1995,Urban regions,Agree,0.41881,4520,8665,0.40842,0.42920
1995,Urban regions,Disagree,0.23149,2363,8665,0.22261,0.24038
1995,Urban regions,Disagree completely,0.04921,444,8665,0.04466,0.05377
1995,Rural regions,Agree completely,0.10547,579,4553,0.09655,0.11439
1995,Rural regions,Agree,0.41021,2420,4553,0.39593,0.42450
1995,Rural regions,Disagree,0.25185,1348,4553,0.23924,0.26446
1995,Rural regions,Disagree completely,0.04111,206,4553,0.03534,0.04688
1996,Urban regions,Agree completely,0.11021,1245,8487,0.10355,0.11687
1996,Urban regions,Agree,0.39379,4176,8487,0.38339,0.40418
1996,Urban regions,Disagree,0.26674,2582,8487,0.25733,0.27615
1996,Urban regions,Disagree completely,0.04982,484,8487,0.04519,0.05445
1996,Rural regions,Agree completely,0.09429,500,4516,0.08577,0.10282
1996,Rural regions,Agree,0.39683,2245,4516,0.38256,0.41110
1996,Rural regions,Disagree,0.27216,1504,4516,0.25918,0.28514
1996,Rural regions,Disagree completely,0.05001,267,4516,0.04365,0.05637
1997,Urban regions,Agree completely,0.07504,803,8326,0.06938,0.08070
1997,Urban regions,Agree,0.34337,3610,8326,0.33317,0.35357
1997,Urban regions,Disagree,0.31520,3107,8326,0.30522,0.32518
1997,Urban regions,Disagree completely,0.08828,806,8326,0.08219,0.09438
1997,Rural regions,Agree completely,0.05535,299,4445,0.04863,0.06207
1997,Rural regions,Agree,0.31262,1730,4445,0.29899,0.32625
1997,Rural regions,Disagree,0.34778,1961,4445,0.33377,0.36178
1997,Rural regions,Disagree completely,0.09655,455,4445,0.08787,0.10524
2008,Urban regions,Agree completely,0.09002,1501,12615,0.08503,0.09502
2008,Urban regions,Agree,0.39060,6034,12615,0.38209,0.39912
2008,Urban regions,Disagree,0.29100,4276,12615,0.28308,0.29893
2008,Urban regions,Disagree completely,0.06117,804,12615,0.05699,0.06535
2008,Rural regions,Agree completely,0.07067,576,6631,0.06450,0.07684
2008,Rural regions,Agree,0.38268,3020,6631,0.37098,0.39438
2008,Rural regions,Disagree,0.32443,2541,6631,0.31316,0.33570
2008,Rural regions,Disagree completely,0.06453,494,6631,0.05862,0.07045
2013,Urban regions,Agree completely,0.11395,2040,11996,0.10827,0.11964
2013,Urban regions,Agree,0.39317,6964,11996,0.38443,0.40191
2013,Urban regions,Disagree,0.16326,2614,11996,0.15664,0.16987
2013,Urban regions,Disagree completely,0.02317,378,11996,0.02048,0.02586
2013,Rural regions,Agree completely,0.10179,963,6792,0.09460,0.10899
2013,Rural regions,Agree,0.41901,3972,6792,0.40728,0.43075
2013,Rural regions,Disagree,0.18617,1614,6792,0.17691,0.19542
2013,Rural regions,Disagree completely,0.02952,243,6792,0.02549,0.03355
2018,Urban regions,Agree completely,0.14114,2944,16534,0.13583,0.14645
2018,Urban regions,Agree,0.43628,8886,16534,0.42872,0.44384
2018,Urban regions,Disagree,0.21340,3947,16534,0.20715,0.21964
2018,Urban regions,Disagree completely,0.03929,757,16534,0.03633,0.04226
2018,Rural regions,Agree completely,0.11521,1366,8924,0.10858,0.12183
2018,Rural regions,Agree,0.42535,4665,8924,0.41509,0.43561
2018,Rural regions,Disagree,0.24608,2429,8924,0.23715,0.25502
2018,Rural regions,Disagree completely,0.04691,464,8924,0.04252,0.05130
