year,pgisced97,plh0188,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Lower Secondary Level,Agree completely,0.01905,84,510,0.00718,0.03093
1990,Lower Secondary Level,Agree,0.05466,231,510,0.03491,0.07440
1990,Lower Secondary Level,Disagree,0.03543,155,510,0.01937,0.05150
1990,Lower Secondary Level,Disagree completely,0.01028,40,510,0.00151,0.01904
1990,Upper Secondary Level,Agree completely,0.04247,493,2520,0.03459,0.05034
1990,Upper Secondary Level,Agree,0.09136,1118,2520,0.08010,0.10261
1990,Upper Secondary Level,Disagree,0.06121,742,2520,0.05185,0.07057
1990,Upper Secondary Level,Disagree completely,0.01423,167,2520,0.00960,0.01885
1990,Post-secondary Non-tertiary Level,Agree,0.05893,34,34,-0.02142,0.13927
1990,First Stage of Tertiary Education,Agree completely,0.03551,53,242,0.01215,0.05888
1990,First Stage of Tertiary Education,Agree,0.09693,131,242,0.05957,0.13428
1990,First Stage of Tertiary Education,Disagree,0.04044,58,242,0.01557,0.06531
1990,Second Stage of Tertiary Education,Agree completely,0.04407,123,989,0.03127,0.05686
1990,Second Stage of Tertiary Education,Agree,0.15681,420,989,0.13414,0.17949
1990,Second Stage of Tertiary Education,Disagree,0.13046,352,989,0.10946,0.15146
1990,Second Stage of Tertiary Education,Disagree completely,0.03654,94,989,0.02484,0.04824
1991,Lower Secondary Level,Agree completely,0.02122,83,454,0.00795,0.03449
1991,Lower Secondary Level,Agree,0.05142,193,454,0.03108,0.07176
1991,Lower Secondary Level,Disagree,0.03832,145,454,0.02065,0.05600
1991,Lower Secondary Level,Disagree completely,0.00860,33,454,0.00009,0.01710
1991,Upper Secondary Level,Agree completely,0.03474,360,2371,0.02737,0.04212
1991,Upper Secondary Level,Agree,0.08877,980,2371,0.07732,0.10022
1991,Upper Secondary Level,Disagree,0.07250,773,2371,0.06206,0.08294
1991,Upper Secondary Level,Disagree completely,0.02549,258,2371,0.01915,0.03184
1991,Post-secondary Non-tertiary Level,Agree,0.06234,34,34,-0.02015,0.14482
1991,First Stage of Tertiary Education,Agree completely,0.03234,48,217,0.00875,0.05594
1991,First Stage of Tertiary Education,Agree,0.08344,105,217,0.04656,0.12031
1991,First Stage of Tertiary Education,Disagree,0.04887,64,217,0.02012,0.07762
1991,Second Stage of Tertiary Education,Agree completely,0.03940,112,956,0.02706,0.05174
1991,Second Stage of Tertiary Education,Agree,0.14436,379,956,0.12207,0.16665
1991,Second Stage of Tertiary Education,Disagree,0.14741,367,956,0.12492,0.16989
1991,Second Stage of Tertiary Education,Disagree completely,0.03905,98,956,0.02676,0.05134
1992,Pre-primary Level,Agree completely,0.20643,33,116,0.13245,0.28040
1992,Pre-primary Level,Agree,0.49058,83,116,0.39921,0.58195
1992,Primary Level,Agree,0.14439,38,38,0.03113,0.25764
1992,Lower Secondary Level,Agree completely,0.10600,257,1933,0.09228,0.11973
1992,Lower Secondary Level,Agree,0.37633,846,1933,0.35473,0.39794
1992,Lower Secondary Level,Disagree,0.31805,656,1933,0.29728,0.33881
1992,Lower Secondary Level,Disagree completely,0.08474,174,1933,0.07232,0.09716
1992,Upper Secondary Level,Agree completely,0.12977,833,6018,0.12128,0.13826
1992,Upper Secondary Level,Agree,0.44314,2835,6018,0.43059,0.45569
1992,Upper Secondary Level,Disagree,0.31614,1934,6018,0.30439,0.32789
1992,Upper Secondary Level,Disagree completely,0.06945,416,6018,0.06303,0.07587
1992,Post-secondary Non-tertiary Level,Agree completely,0.13660,47,277,0.09608,0.17711
1992,Post-secondary Non-tertiary Level,Agree,0.48414,155,277,0.42518,0.54310
1992,Post-secondary Non-tertiary Level,Disagree,0.23812,75,277,0.18787,0.28838
1992,First Stage of Tertiary Education,Agree completely,0.13813,115,747,0.11337,0.16289
1992,First Stage of Tertiary Education,Agree,0.44000,343,747,0.40438,0.47562
1992,First Stage of Tertiary Education,Disagree,0.33463,239,747,0.30077,0.36849
1992,First Stage of Tertiary Education,Disagree completely,0.07578,50,747,0.05679,0.09477
1992,Second Stage of Tertiary Education,Agree completely,0.16160,232,1608,0.14360,0.17959
1992,Second Stage of Tertiary Education,Agree,0.48678,800,1608,0.46234,0.51121
1992,Second Stage of Tertiary Education,Disagree,0.27763,469,1608,0.25573,0.29952
1992,Second Stage of Tertiary Education,Disagree completely,0.05971,107,1608,0.04812,0.07129
1993,Pre-primary Level,Agree completely,0.18340,34,176,0.12607,0.24074
1993,Pre-primary Level,Agree,0.55179,102,176,0.47811,0.62547
1993,Pre-primary Level,Disagree,0.20698,40,176,0.14695,0.26700
1993,Primary Level,Agree completely,0.11667,54,601,0.09098,0.14236
1993,Primary Level,Agree,0.34603,245,601,0.30797,0.38410
1993,Primary Level,Disagree,0.38492,228,601,0.34599,0.42385
1993,Primary Level,Disagree completely,0.13143,74,601,0.10440,0.15847
1993,Lower Secondary Level,Agree completely,0.10207,312,2658,0.09056,0.11358
1993,Lower Secondary Level,Agree,0.35833,1060,2658,0.34010,0.37656
1993,Lower Secondary Level,Disagree,0.40198,985,2658,0.38333,0.42062
1993,Lower Secondary Level,Disagree completely,0.12869,301,2658,0.11596,0.14142
1993,Upper Secondary Level,Agree completely,0.10290,702,6634,0.09559,0.11021
1993,Upper Secondary Level,Agree,0.39663,2772,6634,0.38485,0.40840
1993,Upper Secondary Level,Disagree,0.38248,2475,6634,0.37079,0.39418
1993,Upper Secondary Level,Disagree completely,0.11176,685,6634,0.10418,0.11935
1993,Post-secondary Non-tertiary Level,Agree completely,0.13655,53,353,0.10068,0.17243
1993,Post-secondary Non-tertiary Level,Agree,0.54764,208,353,0.49564,0.59963
1993,Post-secondary Non-tertiary Level,Disagree,0.22390,92,353,0.18035,0.26745
1993,First Stage of Tertiary Education,Agree completely,0.08919,81,738,0.06861,0.10977
1993,First Stage of Tertiary Education,Agree,0.39774,307,738,0.36241,0.43308
1993,First Stage of Tertiary Education,Disagree,0.40256,290,738,0.36715,0.43796
1993,First Stage of Tertiary Education,Disagree completely,0.09535,60,738,0.07415,0.11656
1993,Second Stage of Tertiary Education,Agree completely,0.10296,159,1630,0.08821,0.11772
1993,Second Stage of Tertiary Education,Agree,0.47258,780,1630,0.44834,0.49683
1993,Second Stage of Tertiary Education,Disagree,0.32330,528,1630,0.30059,0.34602
1993,Second Stage of Tertiary Education,Disagree completely,0.09860,163,1630,0.08412,0.11308
1995,Pre-primary Level,Agree completely,0.21551,60,277,0.16700,0.26402
1995,Pre-primary Level,Agree,0.59189,165,277,0.53391,0.64988
1995,Pre-primary Level,Disagree,0.16059,52,277,0.11728,0.20391
1995,Primary Level,Agree completely,0.14263,67,527,0.11274,0.17251
1995,Primary Level,Agree,0.45193,259,527,0.40940,0.49447
1995,Primary Level,Disagree,0.28929,165,527,0.25054,0.32804
1995,Primary Level,Disagree completely,0.08031,36,527,0.05708,0.10353
1995,Lower Secondary Level,Agree completely,0.13078,341,2478,0.11750,0.14405
