,Unnamed: 0,year,hhtyp,quintil_oecd_hh,hgreval,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,Single-person household,1st Quintile,Inexpensive,0.2476,57,2758,0.23081,0.26874
1,1,1984,Single-person household,1st Quintile,Reasonable,0.58519,123,2758,0.55754,0.61037
2,2,1984,Single-person household,1st Quintile,Slightly Expensive,0.16721,39,2758,0.15011,0.18703
3,3,1984,Single-person household,2nd Quintile,Inexpensive,0.26578,43,2758,0.24126,0.29727
4,4,1984,Single-person household,2nd Quintile,Reasonable,0.52415,75,2758,0.47728,0.55924
5,5,1984,Single-person household,2nd Quintile,Slightly Expensive,0.21007,34,2758,0.18284,0.23947
6,6,1984,Single-person household,3rd Quintile,Inexpensive,0.45354,59,2758,0.4221,0.49621
7,7,1984,Single-person household,3rd Quintile,Reasonable,0.54646,73,2758,0.48635,0.60294
8,8,1984,Single-person household,4th Quintile,Inexpensive,0.32819,53,2758,0.28625,0.36754
9,9,1984,Single-person household,4th Quintile,Reasonable,0.4593,75,2758,0.41588,0.50842
10,10,1984,Single-person household,4th Quintile,Slightly Expensive,0.21252,36,2758,0.18162,0.23586
11,11,1984,Single-person household,5th Quintile,Inexpensive,0.31664,34,2758,0.29557,0.34163
12,12,1984,Single-person household,5th Quintile,Reasonable,0.68336,68,2758,0.63923,0.73033
13,13,1984,Couple without children,1st Quintile,Reasonable,1.0,48,2758,0.86046,1.14116
14,14,1984,Couple without children,2nd Quintile,Reasonable,1.0,60,2758,0.89708,1.08818
15,15,1984,Couple without children,3rd Quintile,Inexpensive,0.39915,47,2758,0.35125,0.45617
16,16,1984,Couple without children,3rd Quintile,Reasonable,0.60085,70,2758,0.54194,0.67036
17,17,1984,Couple without children,4th Quintile,Inexpensive,0.43631,64,2758,0.38544,0.48141
18,18,1984,Couple without children,4th Quintile,Reasonable,0.56369,90,2758,0.49526,0.62137
19,19,1984,Couple without children,5th Quintile,Inexpensive,0.32738,49,2758,0.28433,0.36995
20,20,1984,Couple without children,5th Quintile,Reasonable,0.67262,102,2758,0.61421,0.73038
21,21,1984,Single parent,1st Quintile,Reasonable,1.0,45,2758,0.85522,1.12408
22,22,1984,Couple with children,1st Quintile,Inexpensive,0.27807,87,2758,0.229,0.3247
23,23,1984,Couple with children,1st Quintile,Reasonable,0.47019,181,2758,0.40268,0.54465
24,24,1984,Couple with children,1st Quintile,Slightly Expensive,0.19202,92,2758,0.15638,0.22939
25,25,1984,Couple with children,1st Quintile,Too Expensive,0.05972,38,2758,0.04444,0.07846
26,26,1984,Couple with children,2nd Quintile,Inexpensive,0.33774,108,2758,0.28691,0.38173
27,27,1984,Couple with children,2nd Quintile,Reasonable,0.48845,160,2758,0.42992,0.54245
28,28,1984,Couple with children,2nd Quintile,Slightly Expensive,0.17381,80,2758,0.14541,0.21862
29,29,1984,Couple with children,3rd Quintile,Very Inexpensive,0.12604,35,2758,0.10463,0.14387
30,30,1984,Couple with children,3rd Quintile,Inexpensive,0.33687,93,2758,0.30114,0.37115
31,31,1984,Couple with children,3rd Quintile,Reasonable,0.3836,138,2758,0.33293,0.43526
32,32,1984,Couple with children,3rd Quintile,Slightly Expensive,0.15349,62,2758,0.12778,0.18265
33,33,1984,Couple with children,4th Quintile,Inexpensive,0.3254,68,2758,0.27857,0.37627
34,34,1984,Couple with children,4th Quintile,Reasonable,0.5252,124,2758,0.45795,0.58315
35,35,1984,Couple with children,4th Quintile,Slightly Expensive,0.1494,51,2758,0.11543,0.19436
36,36,1984,Couple with children,5th Quintile,Inexpensive,0.40649,35,2758,0.36584,0.45228
37,37,1984,Couple with children,5th Quintile,Reasonable,0.59351,62,2758,0.50404,0.673
38,38,1985,Single-person household,1st Quintile,Inexpensive,0.2664,55,2458,0.24699,0.28654
39,39,1985,Single-person household,1st Quintile,Reasonable,0.52816,111,2458,0.48438,0.56291
40,40,1985,Single-person household,1st Quintile,Slightly Expensive,0.20545,45,2458,0.18189,0.2285
41,41,1985,Single-person household,2nd Quintile,Inexpensive,0.37827,41,2458,0.3471,0.41373
42,42,1985,Single-person household,2nd Quintile,Reasonable,0.62173,69,2458,0.56064,0.67515
43,43,1985,Single-person household,3rd Quintile,Inexpensive,0.33414,46,2458,0.29387,0.38192
44,44,1985,Single-person household,3rd Quintile,Reasonable,0.66586,90,2458,0.61801,0.7298
45,45,1985,Single-person household,4th Quintile,Inexpensive,0.29913,46,2458,0.26144,0.33274
46,46,1985,Single-person household,4th Quintile,Reasonable,0.45853,75,2458,0.41958,0.49248
47,47,1985,Single-person household,4th Quintile,Slightly Expensive,0.24233,42,2458,0.20788,0.27983
48,48,1985,Single-person household,5th Quintile,Reasonable,1.0,57,2458,0.91896,1.07655
49,49,1985,Couple without children,1st Quintile,Reasonable,1.0,40,2458,0.85269,1.1639
50,50,1985,Couple without children,2nd Quintile,Inexpensive,0.40685,35,2458,0.34711,0.45646
51,51,1985,Couple without children,2nd Quintile,Reasonable,0.59315,58,2458,0.50998,0.67318
52,52,1985,Couple without children,3rd Quintile,Inexpensive,0.34483,34,2458,0.29598,0.39191
53,53,1985,Couple without children,3rd Quintile,Reasonable,0.65517,62,2458,0.58763,0.71359
54,54,1985,Couple without children,4th Quintile,Inexpensive,0.3098,42,2458,0.26756,0.34839
55,55,1985,Couple without children,4th Quintile,Reasonable,0.6902,97,2458,0.61263,0.75471
56,56,1985,Couple without children,5th Quintile,Inexpensive,0.36358,57,2458,0.31903,0.40504
57,57,1985,Couple without children,5th Quintile,Reasonable,0.63642,95,2458,0.58632,0.6816
58,58,1985,Single parent,1st Quintile,Reasonable,1.0,37,2458,0.85382,1.12614
59,59,1985,Couple with children,1st Quintile,Inexpensive,0.24884,74,2458,0.18537,0.30331
60,60,1985,Couple with children,1st Quintile,Reasonable,0.44393,152,2458,0.37434,0.5195
61,61,1985,Couple with children,1st Quintile,Slightly Expensive,0.21845,84,2458,0.17958,0.26225
