,Unnamed: 0,year,quintil_oecd_hh,regtyp,hgreval,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,1st Quintile,Urban regions,Very Inexpensive,0.0984,48,3098,0.08405,0.11073
1,1,1985,1st Quintile,Urban regions,Inexpensive,0.23127,151,3098,0.20599,0.25405
2,2,1985,1st Quintile,Urban regions,Reasonable,0.44019,300,3098,0.40261,0.47263
3,3,1985,1st Quintile,Urban regions,Slightly Expensive,0.1844,144,3098,0.15722,0.20967
4,4,1985,1st Quintile,Urban regions,Too Expensive,0.04574,49,3098,0.03281,0.05895
5,5,1985,1st Quintile,Rural regions,Inexpensive,0.42321,33,3098,0.34462,0.4958
6,6,1985,1st Quintile,Rural regions,Reasonable,0.57679,50,3098,0.47754,0.66088
7,7,1985,2nd Quintile,Urban regions,Very Inexpensive,0.12598,59,3098,0.10557,0.14393
8,8,1985,2nd Quintile,Urban regions,Inexpensive,0.27278,168,3098,0.24655,0.2983
9,9,1985,2nd Quintile,Urban regions,Reasonable,0.42287,265,3098,0.38076,0.4709
10,10,1985,2nd Quintile,Urban regions,Slightly Expensive,0.12591,88,3098,0.10903,0.14243
11,11,1985,2nd Quintile,Urban regions,Too Expensive,0.05247,42,3098,0.04138,0.06602
12,12,1985,2nd Quintile,Rural regions,Inexpensive,0.38443,31,3098,0.29647,0.46398
13,13,1985,2nd Quintile,Rural regions,Reasonable,0.61557,52,3098,0.50049,0.72848
14,14,1985,3rd Quintile,Urban regions,Very Inexpensive,0.0861,48,3098,0.07366,0.09987
15,15,1985,3rd Quintile,Urban regions,Inexpensive,0.2553,133,3098,0.22596,0.27949
16,16,1985,3rd Quintile,Urban regions,Reasonable,0.48048,264,3098,0.44486,0.51723
17,17,1985,3rd Quintile,Urban regions,Slightly Expensive,0.13728,106,3098,0.12001,0.15943
18,18,1985,3rd Quintile,Urban regions,Too Expensive,0.04085,35,3098,0.02876,0.05042
19,19,1985,3rd Quintile,Rural regions,Reasonable,1.0,40,3098,0.81896,1.18
20,20,1985,4th Quintile,Urban regions,Very Inexpensive,0.08843,47,3098,0.0734,0.10261
21,21,1985,4th Quintile,Urban regions,Inexpensive,0.27822,136,3098,0.25601,0.29964
22,22,1985,4th Quintile,Urban regions,Reasonable,0.43407,231,3098,0.40194,0.46613
23,23,1985,4th Quintile,Urban regions,Slightly Expensive,0.19927,103,3098,0.17294,0.22684
24,24,1985,4th Quintile,Rural regions,Reasonable,1.0,40,3098,0.81938,1.1812
25,25,1985,5th Quintile,Urban regions,Very Inexpensive,0.13407,53,3098,0.12211,0.15085
26,26,1985,5th Quintile,Urban regions,Inexpensive,0.23188,97,3098,0.21087,0.25295
27,27,1985,5th Quintile,Urban regions,Reasonable,0.48723,192,3098,0.45436,0.52408
28,28,1985,5th Quintile,Urban regions,Slightly Expensive,0.14682,62,3098,0.12895,0.16228
29,29,1985,5th Quintile,Rural regions,Reasonable,1.0,31,3098,0.76758,1.23703
30,30,1986,1st Quintile,Urban regions,Very Inexpensive,0.09529,43,2886,0.08212,0.10979
31,31,1986,1st Quintile,Urban regions,Inexpensive,0.24576,144,2886,0.21591,0.27429
32,32,1986,1st Quintile,Urban regions,Reasonable,0.40544,268,2886,0.36472,0.4411
33,33,1986,1st Quintile,Urban regions,Slightly Expensive,0.19648,134,2886,0.17354,0.22188
34,34,1986,1st Quintile,Urban regions,Too Expensive,0.05702,48,2886,0.04373,0.07171
35,35,1986,1st Quintile,Rural regions,Inexpensive,0.49993,37,2886,0.42243,0.57393
36,36,1986,1st Quintile,Rural regions,Reasonable,0.50007,47,2886,0.38736,0.6017
37,37,1986,2nd Quintile,Urban regions,Very Inexpensive,0.11023,48,2886,0.09128,0.1337
38,38,1986,2nd Quintile,Urban regions,Inexpensive,0.30474,157,2886,0.27056,0.34065
39,39,1986,2nd Quintile,Urban regions,Reasonable,0.39775,216,2886,0.35946,0.43772
40,40,1986,2nd Quintile,Urban regions,Slightly Expensive,0.14348,104,2886,0.11754,0.17006
41,41,1986,2nd Quintile,Urban regions,Too Expensive,0.0438,35,2886,0.0308,0.06023
42,42,1986,2nd Quintile,Rural regions,Inexpensive,0.56255,37,2886,0.46628,0.67117
43,43,1986,2nd Quintile,Rural regions,Reasonable,0.43745,42,2886,0.31722,0.53373
44,44,1986,3rd Quintile,Urban regions,Very Inexpensive,0.1109,57,2886,0.09305,0.13078
45,45,1986,3rd Quintile,Urban regions,Inexpensive,0.26842,163,2886,0.23989,0.29442
46,46,1986,3rd Quintile,Urban regions,Reasonable,0.439,250,2886,0.40157,0.47596
47,47,1986,3rd Quintile,Urban regions,Slightly Expensive,0.13717,91,2886,0.11549,0.15753
48,48,1986,3rd Quintile,Urban regions,Too Expensive,0.04451,32,2886,0.03474,0.05478
49,49,1986,3rd Quintile,Rural regions,Inexpensive,1.0,37,2886,0.86052,1.15414
50,50,1986,4th Quintile,Urban regions,Very Inexpensive,0.10829,55,2886,0.08861,0.12933
51,51,1986,4th Quintile,Urban regions,Inexpensive,0.25848,126,2886,0.2331,0.28154
52,52,1986,4th Quintile,Urban regions,Reasonable,0.51765,252,2886,0.48139,0.55554
53,53,1986,4th Quintile,Urban regions,Slightly Expensive,0.11558,66,2886,0.09921,0.13202
54,54,1986,4th Quintile,Rural regions,Reasonable,1.0,33,2886,0.70237,1.32615
55,55,1986,5th Quintile,Urban regions,Very Inexpensive,0.10417,38,2886,0.0896,0.12031
56,56,1986,5th Quintile,Urban regions,Inexpensive,0.27333,95,2886,0.25274,0.29589
57,57,1986,5th Quintile,Urban regions,Reasonable,0.49377,182,2886,0.45768,0.53747
58,58,1986,5th Quintile,Urban regions,Slightly Expensive,0.12873,49,2886,0.1101,0.14865
59,59,1987,1st Quintile,Urban regions,Very Inexpensive,0.09657,45,2816,0.07767,0.11238
60,60,1987,1st Quintile,Urban regions,Inexpensive,0.29089,152,2816,0.25594,0.31839
61,61,1987,1st Quintile,Urban regions,Reasonable,0.37189,233,2816,0.33902,0.40884
62,62,1987,1st Quintile,Urban regions,Slightly Expensive,0.16464,109,2816,0.1417,0.18994
63,63,1987,1st Quintile,Urban regions,Too Expensive,0.07601,50,2816,0.0595,0.09761
64,64,1987,1st Quintile,Rural regions,Inexpensive,0.40933,35,2816,0.3365,0.47668
65,65,1987,1st Quintile,Rural regions,Reasonable,0.59067,44,2816,0.49505,0.69234
66,66,1987,2nd Quintile,Urban regions,Very Inexpensive,0.11097,47,2816,0.09269,0.12966
67,67,1987,2nd Quintile,Urban regions,Inexpensive,0.26935,159,2816,0.24097,0.30597
68,68,1987,2nd Quintile,Urban regions,Reasonable,0.43326,243,2816,0.39212,0.47125
69,69,1987,2nd Quintile,Urban regions,Slightly Expensive,0.14557,99,2816,0.12511,0.16884
70,70,1987,2nd Quintile,Urban regions,Too Expensive,0.04085,32,2816,0.02643,0.05639
71,71,1987,2nd Quintile,Rural regions,Inexpensive,0.54296,47,2816,0.45584,0.63071
72,72,1987,2nd Quintile,Rural regions,Reasonable,0.45704,43,2816,0.37039,0.5652
73,73,1987,3rd Quintile,Urban regions,Very Inexpensive,0.12124,55,2816,0.10453,0.13741
74,74,1987,3rd Quintile,Urban regions,Inexpensive,0.27802,145,2816,0.25117,0.30835
75,75,1987,3rd Quintile,Urban regions,Reasonable,0.46845,243,2816,0.41849,0.51505
76,76,1987,3rd Quintile,Urban regions,Slightly Expensive,0.13229,93,2816,0.11369,0.15565
77,77,1987,3rd Quintile,Rural regions,Inexpensive,0.44018,34,2816,0.34936,0.53403
78,78,1987,3rd Quintile,Rural regions,Reasonable,0.55982,35,2816,0.45556,0.64956
79,79,1987,4th Quintile,Urban regions,Very Inexpensive,0.09578,38,2816,0.08081,0.10757
80,80,1987,4th Quintile,Urban regions,Inexpensive,0.28255,146,2816,0.24696,0.31291
81,81,1987,4th Quintile,Urban regions,Reasonable,0.46207,238,2816,0.4241,0.49689
