year,hhtyp,regtyp,hgreval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Single-person household,No answer / don't know,Very Inexpensive,0.07991,80,971,0.06285,0.09698
1984,Single-person household,No answer / don't know,Inexpensive,0.25247,248,971,0.22513,0.27981
1984,Single-person household,No answer / don't know,Reasonable,0.45412,420,971,0.42279,0.48545
1984,Single-person household,No answer / don't know,Slightly Expensive,0.15799,162,971,0.13504,0.18095
1984,Single-person household,No answer / don't know,Too Expensive,0.05551,61,971,0.04110,0.06991
1984,Couple without children,No answer / don't know,Very Inexpensive,0.09502,73,806,0.07476,0.11527
1984,Couple without children,No answer / don't know,Inexpensive,0.27363,208,806,0.24283,0.30443
1984,Couple without children,No answer / don't know,Reasonable,0.46539,370,806,0.43094,0.49985
1984,Couple without children,No answer / don't know,Slightly Expensive,0.13569,124,806,0.11203,0.15935
1984,Couple without children,No answer / don't know,Too Expensive,0.03027,31,806,0.01843,0.04211
1984,Single parent,No answer / don't know,Inexpensive,0.30165,69,211,0.23957,0.36372
1984,Single parent,No answer / don't know,Reasonable,0.41259,95,211,0.34600,0.47917
1984,Single parent,No answer / don't know,Slightly Expensive,0.19650,47,211,0.14276,0.25024
1984,Couple with children,No answer / don't know,Very Inexpensive,0.09305,109,1561,0.07863,0.10746
1984,Couple with children,No answer / don't know,Inexpensive,0.29494,391,1561,0.27231,0.31757
1984,Couple with children,No answer / don't know,Reasonable,0.42400,666,1561,0.39948,0.44853
1984,Couple with children,No answer / don't know,Slightly Expensive,0.14174,295,1561,0.12443,0.15905
1984,Couple with children,No answer / don't know,Too Expensive,0.04627,100,1561,0.03585,0.05670
1984,Other Combinations,No answer / don't know,Reasonable,0.51994,37,37,0.35674,0.68314
1985,Single-person household,Urban regions,Very Inexpensive,0.10330,75,779,0.08192,0.12469
1985,Single-person household,Urban regions,Inexpensive,0.24609,184,779,0.21582,0.27636
1985,Single-person household,Urban regions,Reasonable,0.45686,349,779,0.42186,0.49186
1985,Single-person household,Urban regions,Slightly Expensive,0.16015,136,779,0.13438,0.18592
1985,Single-person household,Urban regions,Too Expensive,0.03359,35,779,0.02093,0.04626
1985,Single-person household,Rural regions,Reasonable,0.45685,55,55,0.32399,0.58971
1985,Couple without children,Urban regions,Very Inexpensive,0.10703,63,610,0.08247,0.13158
1985,Couple without children,Urban regions,Inexpensive,0.26329,164,610,0.22831,0.29827
1985,Couple without children,Urban regions,Reasonable,0.47261,296,610,0.43295,0.51226
1985,Couple without children,Urban regions,Slightly Expensive,0.11846,87,610,0.09279,0.14412
1985,Couple without children,Rural regions,Inexpensive,0.26349,31,87,0.17038,0.35660
