year,hhtyp,rentown,hgreval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Single-person household,Tenant,Very Inexpensive,0.07523,80,971,0.05863,0.09183
1984,Single-person household,Tenant,Inexpensive,0.23767,248,971,0.21088,0.26445
1984,Single-person household,Tenant,Reasonable,0.42750,420,971,0.39637,0.45863
1984,Single-person household,Tenant,Slightly Expensive,0.14873,162,971,0.12634,0.17112
1984,Single-person household,Tenant,Too Expensive,0.05225,61,971,0.03825,0.06626
1984,Couple without children,Tenant,Very Inexpensive,0.09050,73,806,0.07068,0.11032
1984,Couple without children,Tenant,Inexpensive,0.26063,208,806,0.23031,0.29096
1984,Couple without children,Tenant,Reasonable,0.44329,370,806,0.40897,0.47760
1984,Couple without children,Tenant,Slightly Expensive,0.12924,124,806,0.10607,0.15242
1984,Couple without children,Tenant,Too Expensive,0.02883,31,806,0.01727,0.04039
1984,Single parent,Tenant,Inexpensive,0.29645,69,211,0.23469,0.35822
1984,Single parent,Tenant,Reasonable,0.40549,95,211,0.33908,0.47189
1984,Single parent,Tenant,Slightly Expensive,0.19312,47,211,0.13973,0.24651
1984,Couple with children,Tenant,Very Inexpensive,0.08903,109,1561,0.07489,0.10316
1984,Couple with children,Tenant,Inexpensive,0.28219,391,1561,0.25985,0.30452
1984,Couple with children,Tenant,Reasonable,0.40567,666,1561,0.38131,0.43004
1984,Couple with children,Tenant,Slightly Expensive,0.13561,295,1561,0.11862,0.15260
1984,Couple with children,Tenant,Too Expensive,0.04427,100,1561,0.03407,0.05448
1984,Other Combinations,Tenant,Reasonable,0.51355,37,37,0.35028,0.67682
1985,Single-person household,Tenant,Very Inexpensive,0.10881,94,904,0.08850,0.12913
1985,Single-person household,Tenant,Inexpensive,0.23754,214,904,0.20979,0.26530
1985,Single-person household,Tenant,Reasonable,0.44541,404,904,0.41299,0.47783
1985,Single-person household,Tenant,Slightly Expensive,0.15384,155,904,0.13030,0.17737
1985,Single-person household,Tenant,Too Expensive,0.02934,37,904,0.01833,0.04034
1985,Couple without children,Tenant,Very Inexpensive,0.12733,88,735,0.10321,0.15145
1985,Couple without children,Tenant,Inexpensive,0.26150,195,735,0.22971,0.29329
1985,Couple without children,Tenant,Reasonable,0.45696,352,735,0.42093,0.49300
1985,Couple without children,Tenant,Slightly Expensive,0.11151,100,735,0.08874,0.13428
1985,Single parent,Tenant,Inexpensive,0.20242,41,178,0.14322,0.26161
1985,Single parent,Tenant,Reasonable,0.44920,93,178,0.37592,0.52248
1985,Single parent,Tenant,Slightly Expensive,0.21744,44,178,0.15666,0.27821
1985,Couple with children,Tenant,Very Inexpensive,0.12445,127,1384,0.10705,0.14185
1985,Couple with children,Tenant,Inexpensive,0.26611,335,1384,0.24282,0.28940
1985,Couple with children,Tenant,Reasonable,0.39230,573,1384,0.36657,0.41803
1985,Couple with children,Tenant,Slightly Expensive,0.15793,253,1384,0.13871,0.17715
1985,Couple with children,Tenant,Too Expensive,0.05435,96,1384,0.04240,0.06630
1986,Single-person household,Tenant,Very Inexpensive,0.12204,95,846,0.09997,0.14411
1986,Single-person household,Tenant,Inexpensive,0.26062,212,846,0.23103,0.29022
1986,Single-person household,Tenant,Reasonable,0.42529,363,846,0.39195,0.45862
1986,Single-person household,Tenant,Slightly Expensive,0.13645,132,846,0.11331,0.15960
1986,Single-person household,Tenant,Too Expensive,0.04040,44,846,0.02713,0.05368
1986,Couple without children,Tenant,Very Inexpensive,0.11082,79,714,0.08778,0.13387
1986,Couple without children,Tenant,Inexpensive,0.30153,214,714,0.26785,0.33522
1986,Couple without children,Tenant,Reasonable,0.42263,327,714,0.38637,0.45889
1986,Couple without children,Tenant,Slightly Expensive,0.11779,94,714,0.09413,0.14145
1986,Single parent,Tenant,Inexpensive,0.22055,42,167,0.15748,0.28363
1986,Single parent,Tenant,Reasonable,0.43754,86,167,0.36207,0.51300
1986,Single parent,Tenant,Slightly Expensive,0.21140,39,167,0.14929,0.27352
1986,Couple with children,Tenant,Very Inexpensive,0.10563,110,1269,0.08871,0.12255
1986,Couple with children,Tenant,Inexpensive,0.31442,341,1269,0.28887,0.33998
1986,Couple with children,Tenant,Reasonable,0.37562,510,1269,0.34897,0.40228
1986,Couple with children,Tenant,Slightly Expensive,0.14264,223,1269,0.12339,0.16189
1986,Couple with children,Tenant,Too Expensive,0.05594,85,1269,0.04329,0.06859
1987,Single-person household,Tenant,Very Inexpensive,0.12555,99,846,0.10321,0.14789
1987,Single-person household,Tenant,Inexpensive,0.26334,221,846,0.23364,0.29304
1987,Single-person household,Tenant,Reasonable,0.42656,355,846,0.39321,0.45990
1987,Single-person household,Tenant,Slightly Expensive,0.13514,134,846,0.11208,0.15819
1987,Single-person household,Tenant,Too Expensive,0.03977,37,846,0.02659,0.05294
1987,Couple without children,Tenant,Very Inexpensive,0.12604,82,687,0.10121,0.15088
1987,Couple without children,Tenant,Inexpensive,0.29167,215,687,0.25766,0.32568
1987,Couple without children,Tenant,Reasonable,0.42804,300,687,0.39101,0.46507
1987,Couple without children,Tenant,Slightly Expensive,0.10423,90,687,0.08136,0.12709
1987,Single parent,Tenant,Inexpensive,0.27365,48,158,0.20391,0.34339
1987,Single parent,Tenant,Reasonable,0.40253,74,158,0.32582,0.47924
1987,Single parent,Tenant,Slightly Expensive,0.19623,36,158,0.13411,0.25836
1987,Couple with children,Tenant,Very Inexpensive,0.11116,102,1246,0.09370,0.12862
1987,Couple with children,Tenant,Inexpensive,0.28268,336,1246,0.25767,0.30769
1987,Couple with children,Tenant,Reasonable,0.41527,525,1246,0.38790,0.44265
1987,Couple with children,Tenant,Slightly Expensive,0.14786,211,1246,0.12814,0.16757
1987,Couple with children,Tenant,Too Expensive,0.03543,72,1246,0.02516,0.04570
