,Unnamed: 0,year,bula_h,hhtyp,hgreval,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,Lower Saxony,Single-person household,Reasonable,1.0,41,2079,0.84016,1.15181
1,1,1984,Lower Saxony,Couple with children,Inexpensive,0.4586,34,2079,0.39558,0.51762
2,2,1984,Lower Saxony,Couple with children,Reasonable,0.5414,47,2079,0.42852,0.62962
3,3,1984,North Rhine-Westphalia,Single-person household,Inexpensive,0.30373,80,2079,0.27833,0.32535
4,4,1984,North Rhine-Westphalia,Single-person household,Reasonable,0.53529,126,2079,0.51123,0.56477
5,5,1984,North Rhine-Westphalia,Single-person household,Slightly Expensive,0.16099,45,2079,0.13594,0.1804
6,6,1984,North Rhine-Westphalia,Couple without children,Inexpensive,0.28618,63,2079,0.25138,0.31224
7,7,1984,North Rhine-Westphalia,Couple without children,Reasonable,0.55601,120,2079,0.5189,0.59186
8,8,1984,North Rhine-Westphalia,Couple without children,Slightly Expensive,0.1578,39,2079,0.13476,0.18252
9,9,1984,North Rhine-Westphalia,Couple with children,Very Inexpensive,0.09451,33,2079,0.07841,0.11064
10,10,1984,North Rhine-Westphalia,Couple with children,Inexpensive,0.30174,113,2079,0.26691,0.33313
11,11,1984,North Rhine-Westphalia,Couple with children,Reasonable,0.48717,222,2079,0.44115,0.53226
12,12,1984,North Rhine-Westphalia,Couple with children,Slightly Expensive,0.11658,76,2079,0.0914,0.14023
13,13,1984,Hesse,Single-person household,Reasonable,1.0,41,2079,0.87306,1.1505
14,14,1984,Hesse,Couple without children,Reasonable,1.0,38,2079,0.83413,1.16082
15,15,1984,Hesse,Couple with children,Inexpensive,0.32004,43,2079,0.25111,0.40074
16,16,1984,Hesse,Couple with children,Reasonable,0.50877,72,2079,0.39202,0.61529
17,17,1984,Hesse,Couple with children,Slightly Expensive,0.17119,38,2079,0.10212,0.23682
18,18,1984,Baden-Wuerttemberg,Single-person household,Inexpensive,0.38134,41,2079,0.33119,0.43091
19,19,1984,Baden-Wuerttemberg,Single-person household,Reasonable,0.61866,60,2079,0.55513,0.69622
20,20,1984,Baden-Wuerttemberg,Couple without children,Reasonable,1.0,47,2079,0.78504,1.23343
21,21,1984,Baden-Wuerttemberg,Couple with children,Inexpensive,0.45083,84,2079,0.38859,0.51266
22,22,1984,Baden-Wuerttemberg,Couple with children,Reasonable,0.4326,138,2079,0.35326,0.51098
23,23,1984,Baden-Wuerttemberg,Couple with children,Slightly Expensive,0.11657,62,2079,0.08303,0.15166
24,24,1984,Bavaria,Single-person household,Inexpensive,0.41363,33,2079,0.36461,0.46319
25,25,1984,Bavaria,Single-person household,Reasonable,0.58637,49,2079,0.52085,0.65007
26,26,1984,Bavaria,Couple without children,Inexpensive,0.42781,36,2079,0.36867,0.48428
27,27,1984,Bavaria,Couple without children,Reasonable,0.57219,52,2079,0.49283,0.64712
28,28,1984,Bavaria,Couple with children,Inexpensive,0.29716,59,2079,0.24663,0.33999
29,29,1984,Bavaria,Couple with children,Reasonable,0.51266,100,2079,0.45174,0.58713
30,30,1984,Bavaria,Couple with children,Slightly Expensive,0.19018,47,2079,0.14644,0.23355
31,31,1985,Lower Saxony,Single-person household,Reasonable,1.0,39,1891,0.85132,1.11946
32,32,1985,Lower Saxony,Couple without children,Reasonable,1.0,35,1891,0.88794,1.10036
33,33,1985,Lower Saxony,Couple with children,Reasonable,1.0,35,1891,0.79575,1.17819
34,34,1985,North Rhine-Westphalia,Single-person household,Very Inexpensive,0.13335,32,1891,0.11916,0.15094
