year,regtyp,rentown,hgreval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,Tenant,Very Inexpensive,0.10350,257,2869,0.09235,0.11465
1985,Urban regions,Tenant,Inexpensive,0.24696,687,2869,0.23118,0.26275
1985,Urban regions,Tenant,Reasonable,0.43871,1257,2869,0.42055,0.45687
1985,Urban regions,Tenant,Slightly Expensive,0.15398,504,2869,0.14077,0.16719
1985,Urban regions,Tenant,Too Expensive,0.04198,164,2869,0.03464,0.04932
1985,Rural regions,Tenant,Very Inexpensive,0.17556,80,485,0.14167,0.20946
1985,Rural regions,Tenant,Inexpensive,0.24244,122,485,0.20426,0.28063
1985,Rural regions,Tenant,Reasonable,0.40933,210,485,0.36552,0.45313
1985,Rural regions,Tenant,Slightly Expensive,0.13065,73,485,0.10062,0.16067
1986,Urban regions,Tenant,Very Inexpensive,0.10244,241,2707,0.09102,0.11387
1986,Urban regions,Tenant,Inexpensive,0.26357,690,2707,0.24697,0.28017
1986,Urban regions,Tenant,Reasonable,0.43506,1171,2707,0.41639,0.45374
1986,Urban regions,Tenant,Slightly Expensive,0.14300,445,2707,0.12981,0.15619
1986,Urban regions,Tenant,Too Expensive,0.04753,160,2707,0.03952,0.05555
1986,Rural regions,Tenant,Very Inexpensive,0.16085,67,443,0.12660,0.19511
1986,Rural regions,Tenant,Inexpensive,0.35995,146,443,0.31520,0.40470
1986,Rural regions,Tenant,Reasonable,0.30431,166,443,0.26141,0.34721
1986,Rural regions,Tenant,Slightly Expensive,0.11804,64,443,0.08796,0.14812
1987,Urban regions,Tenant,Very Inexpensive,0.10504,233,2646,0.09335,0.11672
1987,Urban regions,Tenant,Inexpensive,0.26242,692,2646,0.24565,0.27918
1987,Urban regions,Tenant,Reasonable,0.43491,1146,2646,0.41602,0.45380
1987,Urban regions,Tenant,Slightly Expensive,0.14272,432,2646,0.12939,0.15605
1987,Urban regions,Tenant,Too Expensive,0.04404,143,2646,0.03622,0.05185
1987,Rural regions,Tenant,Very Inexpensive,0.16745,68,453,0.13303,0.20187
1987,Rural regions,Tenant,Inexpensive,0.33278,155,453,0.28934,0.37622
1987,Rural regions,Tenant,Reasonable,0.35777,164,453,0.31358,0.40196
1987,Rural regions,Tenant,Slightly Expensive,0.10321,66,453,0.07516,0.13125
1988,Urban regions,Tenant,Very Inexpensive,0.11167,250,2533,0.09940,0.12394
1988,Urban regions,Tenant,Inexpensive,0.26535,660,2533,0.24815,0.28255
1988,Urban regions,Tenant,Reasonable,0.42508,1098,2533,0.40583,0.44434
1988,Urban regions,Tenant,Slightly Expensive,0.14958,412,2533,0.13569,0.16347
1988,Urban regions,Tenant,Too Expensive,0.03330,113,2533,0.02631,0.04029
1988,Rural regions,Tenant,Very Inexpensive,0.15160,61,432,0.11774,0.18546
1988,Rural regions,Tenant,Inexpensive,0.31577,134,432,0.27189,0.35965
1988,Rural regions,Tenant,Reasonable,0.36681,173,432,0.32131,0.41231
1988,Rural regions,Tenant,Slightly Expensive,0.11498,64,432,0.08487,0.14510
1989,Urban regions,Tenant,Very Inexpensive,0.12044,259,2468,0.10760,0.13328
1989,Urban regions,Tenant,Inexpensive,0.28223,703,2468,0.26447,0.29999
1989,Urban regions,Tenant,Reasonable,0.41528,1009,2468,0.39583,0.43472
1989,Urban regions,Tenant,Slightly Expensive,0.13055,390,2468,0.11726,0.14385
1989,Urban regions,Tenant,Too Expensive,0.03821,107,2468,0.03065,0.04578
1989,Rural regions,Tenant,Very Inexpensive,0.15973,64,423,0.12477,0.19468
1989,Rural regions,Tenant,Inexpensive,0.30949,135,423,0.26539,0.35360
1989,Rural regions,Tenant,Reasonable,0.36602,157,423,0.32006,0.41198
1989,Rural regions,Tenant,Slightly Expensive,0.13023,67,423,0.09812,0.16234
1990,Urban regions,Tenant,Very Inexpensive,0.12914,387,3038,0.11721,0.14106
1990,Urban regions,Tenant,Inexpensive,0.30825,943,3038,0.29183,0.32467
1990,Urban regions,Tenant,Reasonable,0.40380,1233,3038,0.38635,0.42125
1990,Urban regions,Tenant,Slightly Expensive,0.11745,371,3038,0.10600,0.12890
1990,Urban regions,Tenant,Too Expensive,0.02743,104,3038,0.02162,0.03324
1990,Rural regions,Tenant,Very Inexpensive,0.22069,292,1213,0.19735,0.24404
1990,Rural regions,Tenant,Inexpensive,0.31647,405,1213,0.29029,0.34266
1990,Rural regions,Tenant,Reasonable,0.35555,436,1213,0.32860,0.38250
1990,Rural regions,Tenant,Slightly Expensive,0.07154,80,1213,0.05703,0.08605
1991,Urban regions,Tenant,Very Inexpensive,0.15374,439,2986,0.14080,0.16667
1991,Urban regions,Tenant,Inexpensive,0.32037,964,2986,0.30363,0.33711
1991,Urban regions,Tenant,Reasonable,0.38321,1138,2986,0.36577,0.40065
1991,Urban regions,Tenant,Slightly Expensive,0.10738,347,2986,0.09627,0.11848
1991,Urban regions,Tenant,Too Expensive,0.02372,98,2986,0.01826,0.02917
1991,Rural regions,Tenant,Very Inexpensive,0.21905,294,1171,0.19535,0.24275
1991,Rural regions,Tenant,Inexpensive,0.37357,455,1171,0.34585,0.40129
1991,Rural regions,Tenant,Reasonable,0.29490,346,1171,0.26877,0.32102
1991,Rural regions,Tenant,Slightly Expensive,0.06695,76,1171,0.05263,0.08127
1992,Urban regions,Tenant,Very Inexpensive,0.11058,272,2891,0.09914,0.12201
1992,Urban regions,Tenant,Inexpensive,0.28976,846,2891,0.27322,0.30630
1992,Urban regions,Tenant,Reasonable,0.39633,1196,2891,0.37849,0.41416
1992,Urban regions,Tenant,Slightly Expensive,0.12800,479,2891,0.11582,0.14018
1992,Urban regions,Tenant,Too Expensive,0.02279,98,2891,0.01735,0.02824
1992,Rural regions,Tenant,Very Inexpensive,0.10390,90,1103,0.08589,0.12192
1992,Rural regions,Tenant,Inexpensive,0.22228,238,1103,0.19773,0.24683
1992,Rural regions,Tenant,Reasonable,0.38734,502,1103,0.35858,0.41610
1992,Rural regions,Tenant,Slightly Expensive,0.18288,234,1103,0.16005,0.20570
1992,Rural regions,Tenant,Too Expensive,0.02259,39,1103,0.01381,0.03136
1993,Urban regions,Tenant,Very Inexpensive,0.10590,266,2879,0.09466,0.11715
1993,Urban regions,Tenant,Inexpensive,0.28649,788,2879,0.26997,0.30301
1993,Urban regions,Tenant,Reasonable,0.38672,1168,2879,0.36893,0.40451
1993,Urban regions,Tenant,Slightly Expensive,0.13063,511,2879,0.11832,0.14294
1993,Urban regions,Tenant,Too Expensive,0.03224,146,2879,0.02578,0.03869
1993,Rural regions,Tenant,Very Inexpensive,0.07690,85,1138,0.06141,0.09238
1993,Rural regions,Tenant,Inexpensive,0.21041,215,1138,0.18672,0.23411
1993,Rural regions,Tenant,Reasonable,0.36689,458,1138,0.33888,0.39491
1993,Rural regions,Tenant,Slightly Expensive,0.20845,297,1138,0.18484,0.23206
1993,Rural regions,Tenant,Too Expensive,0.05259,83,1138,0.03962,0.06557
1994,Urban regions,Tenant,Very Inexpensive,0.10928,265,2851,0.09782,0.12073
1994,Urban regions,Tenant,Inexpensive,0.26931,755,2851,0.25302,0.28559
1994,Urban regions,Tenant,Reasonable,0.41223,1242,2851,0.39416,0.43030
1994,Urban regions,Tenant,Slightly Expensive,0.12324,472,2851,0.11117,0.13531
1994,Urban regions,Tenant,Too Expensive,0.03281,117,2851,0.02627,0.03935
1994,Rural regions,Tenant,Very Inexpensive,0.07182,81,1098,0.05655,0.08710
1994,Rural regions,Tenant,Inexpensive,0.21837,232,1098,0.19392,0.24282
1994,Rural regions,Tenant,Reasonable,0.40343,479,1098,0.37440,0.43246
1994,Rural regions,Tenant,Slightly Expensive,0.18245,259,1098,0.15959,0.20530
1994,Rural regions,Tenant,Too Expensive,0.03498,47,1098,0.02410,0.04585
1995,Urban regions,Tenant,Very Inexpensive,0.09345,254,2919,0.08289,0.10402
1995,Urban regions,Tenant,Inexpensive,0.28271,816,2919,0.26637,0.29905
1995,Urban regions,Tenant,Reasonable,0.39738,1262,2919,0.37962,0.41514
1995,Urban regions,Tenant,Slightly Expensive,0.13791,470,2919,0.12540,0.15042
1995,Urban regions,Tenant,Too Expensive,0.02749,117,2919,0.02156,0.03342
1995,Rural regions,Tenant,Very Inexpensive,0.08812,89,1162,0.07181,0.10442
1995,Rural regions,Tenant,Inexpensive,0.20874,257,1162,0.18536,0.23211
1995,Rural regions,Tenant,Reasonable,0.40536,522,1162,0.37712,0.43360
1995,Rural regions,Tenant,Slightly Expensive,0.18361,253,1162,0.16134,0.20588
1995,Rural regions,Tenant,Too Expensive,0.02633,41,1162,0.01712,0.03555
1996,Urban regions,Tenant,Very Inexpensive,0.09424,253,2882,0.08357,0.10491
1996,Urban regions,Tenant,Inexpensive,0.28465,785,2882,0.26817,0.30113
1996,Urban regions,Tenant,Reasonable,0.38576,1212,2882,0.36798,0.40353
1996,Urban regions,Tenant,Slightly Expensive,0.15836,539,2882,0.14502,0.17169
1996,Urban regions,Tenant,Too Expensive,0.02380,93,2882,0.01823,0.02936
1996,Rural regions,Tenant,Very Inexpensive,0.06743,79,1126,0.05278,0.08208
