,Unnamed: 0,year,regtyp,sampreg,hgreval,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,Urban regions,West,Very Inexpensive,0.1042,255,3354,0.09843,0.11182
1,1,1985,Urban regions,West,Inexpensive,0.25077,686,3354,0.23821,0.26243
2,2,1985,Urban regions,West,Reasonable,0.44547,1254,3354,0.42857,0.45994
3,3,1985,Urban regions,West,Slightly Expensive,0.1568,504,3354,0.14674,0.16746
4,4,1985,Urban regions,West,Too Expensive,0.04275,164,3354,0.0379,0.04881
5,5,1985,Rural regions,West,Very Inexpensive,0.18644,82,3354,0.17025,0.20127
6,6,1985,Rural regions,West,Inexpensive,0.25305,123,3354,0.22885,0.27688
7,7,1985,Rural regions,West,Reasonable,0.42637,213,3354,0.39096,0.45891
8,8,1985,Rural regions,West,Slightly Expensive,0.13414,73,3354,0.11147,0.15469
9,9,1986,Urban regions,West,Very Inexpensive,0.10366,241,3150,0.09599,0.11187
10,10,1986,Urban regions,West,Inexpensive,0.2649,687,3150,0.25331,0.27727
11,11,1986,Urban regions,West,Reasonable,0.43864,1169,3150,0.42058,0.45639
12,12,1986,Urban regions,West,Slightly Expensive,0.14474,445,3150,0.13422,0.15386
13,13,1986,Urban regions,West,Too Expensive,0.04806,160,3150,0.04299,0.05483
14,14,1986,Rural regions,West,Very Inexpensive,0.16758,67,3150,0.1496,0.18901
15,15,1986,Rural regions,West,Inexpensive,0.38423,149,3150,0.3528,0.41188
16,16,1986,Rural regions,West,Reasonable,0.32504,168,3150,0.28658,0.35871
17,17,1986,Rural regions,West,Slightly Expensive,0.12316,64,3150,0.10162,0.14652
18,18,1987,Urban regions,West,Very Inexpensive,0.10579,232,3099,0.09951,0.11256
19,19,1987,Urban regions,West,Inexpensive,0.26577,691,3099,0.25344,0.28015
20,20,1987,Urban regions,West,Reasonable,0.43913,1144,3099,0.42165,0.4577
21,21,1987,Urban regions,West,Slightly Expensive,0.14466,432,3099,0.13356,0.15429
22,22,1987,Urban regions,West,Too Expensive,0.04466,143,3099,0.03782,0.05102
23,23,1987,Rural regions,West,Very Inexpensive,0.17545,69,3099,0.15692,0.19404
24,24,1987,Rural regions,West,Inexpensive,0.34297,156,3099,0.30949,0.37279
25,25,1987,Rural regions,West,Reasonable,0.37544,166,3099,0.34242,0.40699
26,26,1987,Rural regions,West,Slightly Expensive,0.10614,66,3099,0.08364,0.12804
27,27,1988,Urban regions,West,Very Inexpensive,0.11356,250,2965,0.1065,0.12217
28,28,1988,Urban regions,West,Inexpensive,0.26923,659,2965,0.25562,0.28598
29,29,1988,Urban regions,West,Reasonable,0.43148,1097,2965,0.41127,0.44995
30,30,1988,Urban regions,West,Slightly Expensive,0.15185,411,2965,0.14067,0.16321
31,31,1988,Urban regions,West,Too Expensive,0.03388,113,2965,0.02874,0.03909
32,32,1988,Rural regions,West,Very Inexpensive,0.15811,61,2965,0.13783,0.17533
33,33,1988,Rural regions,West,Inexpensive,0.33294,135,2965,0.30498,0.3631
34,34,1988,Rural regions,West,Reasonable,0.38739,174,2965,0.35231,0.42291
35,35,1988,Rural regions,West,Slightly Expensive,0.12155,65,2965,0.09997,0.14859
36,36,1989,Urban regions,West,Very Inexpensive,0.1216,258,2891,0.1137,0.13198
37,37,1989,Urban regions,West,Inexpensive,0.28661,703,2891,0.27327,0.30118
38,38,1989,Urban regions,West,Reasonable,0.42072,1008,2891,0.40382,0.4384
39,39,1989,Urban regions,West,Slightly Expensive,0.13227,389,2891,0.12116,0.14243
40,40,1989,Urban regions,West,Too Expensive,0.03881,107,2891,0.0332,0.04489
41,41,1989,Rural regions,West,Very Inexpensive,0.16716,65,2891,0.14636,0.18509
42,42,1989,Rural regions,West,Inexpensive,0.31719,135,2891,0.28429,0.34922
43,43,1989,Rural regions,West,Reasonable,0.38046,158,2891,0.34043,0.42177
44,44,1989,Rural regions,West,Slightly Expensive,0.13519,68,2891,0.10521,0.1605
45,45,1990,Urban regions,West,Very Inexpensive,0.11992,252,4248,0.11186,0.12819
46,46,1990,Urban regions,West,Inexpensive,0.3115,736,4248,0.29641,0.32544
47,47,1990,Urban regions,West,Reasonable,0.41093,958,4248,0.39264,0.43039
48,48,1990,Urban regions,West,Slightly Expensive,0.12619,331,4248,0.11659,0.13681
49,49,1990,Urban regions,West,Too Expensive,0.03147,101,4248,0.02571,0.03768
