year,regtyp,hgreval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,Very Inexpensive,0.06635,257,2869,0.05724,0.07546
1985,Urban regions,Inexpensive,0.15831,687,2869,0.14495,0.17167
1985,Urban regions,Reasonable,0.28122,1257,2869,0.26477,0.29768
1985,Urban regions,Slightly Expensive,0.09870,504,2869,0.08779,0.10962
1985,Urban regions,Too Expensive,0.02691,164,2869,0.02099,0.03283
1985,Rural regions,Very Inexpensive,0.08140,80,485,0.05704,0.10576
1985,Rural regions,Inexpensive,0.11241,122,485,0.08427,0.14055
1985,Rural regions,Reasonable,0.18978,210,485,0.15484,0.22471
1985,Rural regions,Slightly Expensive,0.06057,73,485,0.03932,0.08182
1986,Urban regions,Very Inexpensive,0.06589,241,2707,0.05654,0.07523
1986,Urban regions,Inexpensive,0.16952,690,2707,0.15538,0.18366
1986,Urban regions,Reasonable,0.27982,1171,2707,0.26290,0.29673
1986,Urban regions,Slightly Expensive,0.09197,445,2707,0.08108,0.10286
1986,Urban regions,Too Expensive,0.03057,160,2707,0.02409,0.03706
1986,Rural regions,Very Inexpensive,0.07438,67,443,0.04992,0.09884
1986,Rural regions,Inexpensive,0.16645,146,443,0.13172,0.20118
1986,Rural regions,Reasonable,0.14072,166,443,0.10830,0.17314
1986,Rural regions,Slightly Expensive,0.05458,64,443,0.03341,0.07576
1987,Urban regions,Very Inexpensive,0.06780,233,2646,0.05822,0.07738
1987,Urban regions,Inexpensive,0.16938,692,2646,0.15509,0.18368
1987,Urban regions,Reasonable,0.28072,1146,2646,0.26360,0.29785
1987,Urban regions,Slightly Expensive,0.09212,432,2646,0.08110,0.10314
1987,Urban regions,Too Expensive,0.02842,143,2646,0.02209,0.03476
1987,Rural regions,Very Inexpensive,0.07759,68,453,0.05293,0.10225
1987,Rural regions,Inexpensive,0.15420,155,453,0.12091,0.18749
1987,Rural regions,Reasonable,0.16578,164,453,0.13149,0.20006
1987,Rural regions,Slightly Expensive,0.04782,66,453,0.02815,0.06750
1988,Urban regions,Very Inexpensive,0.07143,250,2533,0.06140,0.08146
1988,Urban regions,Inexpensive,0.16973,660,2533,0.15511,0.18436
1988,Urban regions,Reasonable,0.27191,1098,2533,0.25458,0.28924
1988,Urban regions,Slightly Expensive,0.09568,412,2533,0.08422,0.10714
1988,Urban regions,Too Expensive,0.02130,113,2533,0.01568,0.02692
1988,Rural regions,Very Inexpensive,0.07114,61,432,0.04687,0.09541
1988,Rural regions,Inexpensive,0.14818,134,432,0.11464,0.18173
1988,Rural regions,Reasonable,0.17213,173,432,0.13650,0.20777
1988,Rural regions,Slightly Expensive,0.05396,64,432,0.03263,0.07529
1989,Urban regions,Very Inexpensive,0.07636,259,2468,0.06588,0.08684
1989,Urban regions,Inexpensive,0.17893,703,2468,0.16380,0.19406
1989,Urban regions,Reasonable,0.26328,1009,2468,0.24590,0.28066
1989,Urban regions,Slightly Expensive,0.08277,390,2468,0.07190,0.09364
1989,Urban regions,Too Expensive,0.02423,107,2468,0.01816,0.03029
1989,Rural regions,Very Inexpensive,0.07452,64,423,0.04946,0.09958
1989,Rural regions,Inexpensive,0.14439,135,423,0.11085,0.17793
1989,Rural regions,Reasonable,0.17076,157,423,0.13486,0.20666
1989,Rural regions,Slightly Expensive,0.06076,67,423,0.03797,0.08355
1990,Urban regions,Very Inexpensive,0.08506,387,3038,0.07514,0.09498
1990,Urban regions,Inexpensive,0.20304,943,3038,0.18873,0.21735
1990,Urban regions,Reasonable,0.26598,1233,3038,0.25026,0.28169
1990,Urban regions,Slightly Expensive,0.07736,371,3038,0.06786,0.08686
1990,Urban regions,Too Expensive,0.01807,104,3038,0.01333,0.02281
1990,Rural regions,Very Inexpensive,0.11735,292,1213,0.09923,0.13547
1990,Rural regions,Inexpensive,0.16828,405,1213,0.14722,0.18934
1990,Rural regions,Reasonable,0.18906,436,1213,0.16701,0.21110
1990,Rural regions,Slightly Expensive,0.03804,80,1213,0.02727,0.04881
1991,Urban regions,Very Inexpensive,0.10099,439,2986,0.09018,0.11180
1991,Urban regions,Inexpensive,0.21045,964,2986,0.19583,0.22507
1991,Urban regions,Reasonable,0.25173,1138,2986,0.23616,0.26730
1991,Urban regions,Slightly Expensive,0.07054,347,2986,0.06135,0.07972
1991,Urban regions,Too Expensive,0.01558,98,2986,0.01114,0.02002
1991,Rural regions,Very Inexpensive,0.11690,294,1171,0.09849,0.13531
1991,Rural regions,Inexpensive,0.19937,455,1171,0.17648,0.22226
1991,Rural regions,Reasonable,0.15738,346,1171,0.13651,0.17825
1991,Rural regions,Slightly Expensive,0.03573,76,1171,0.02510,0.04637
1992,Urban regions,Very Inexpensive,0.07144,272,2891,0.06205,0.08083
1992,Urban regions,Inexpensive,0.18721,846,2891,0.17299,0.20143
1992,Urban regions,Reasonable,0.25606,1196,2891,0.24015,0.27197
1992,Urban regions,Slightly Expensive,0.08270,479,2891,0.07265,0.09274
1992,Urban regions,Too Expensive,0.01473,98,2891,0.01034,0.01912
1992,Rural regions,Very Inexpensive,0.05579,90,1103,0.04224,0.06934
1992,Rural regions,Inexpensive,0.11935,238,1103,0.10021,0.13849
1992,Rural regions,Reasonable,0.20798,502,1103,0.18401,0.23194
1992,Rural regions,Slightly Expensive,0.09819,234,1103,0.08062,0.11576
1992,Rural regions,Too Expensive,0.01213,39,1103,0.00566,0.01859
1993,Urban regions,Very Inexpensive,0.06770,266,2879,0.05852,0.07688
1993,Urban regions,Inexpensive,0.18314,788,2879,0.16901,0.19728
1993,Urban regions,Reasonable,0.24722,1168,2879,0.23146,0.26298
1993,Urban regions,Slightly Expensive,0.08351,511,2879,0.07340,0.09362
1993,Urban regions,Too Expensive,0.02061,146,2879,0.01542,0.02580
1993,Rural regions,Very Inexpensive,0.04179,85,1138,0.03016,0.05342
1993,Rural regions,Inexpensive,0.11435,215,1138,0.09585,0.13285
1993,Rural regions,Reasonable,0.19939,458,1138,0.17616,0.22261
1993,Rural regions,Slightly Expensive,0.11328,297,1138,0.09486,0.13170
1993,Rural regions,Too Expensive,0.02858,83,1138,0.01890,0.03827
1994,Urban regions,Very Inexpensive,0.06984,265,2851,0.06049,0.07920
1994,Urban regions,Inexpensive,0.17213,755,2851,0.15827,0.18599
1994,Urban regions,Reasonable,0.26348,1242,2851,0.24731,0.27966
1994,Urban regions,Slightly Expensive,0.07877,472,2851,0.06888,0.08866
1994,Urban regions,Too Expensive,0.02097,117,2851,0.01571,0.02623
1994,Rural regions,Very Inexpensive,0.03807,81,1098,0.02674,0.04939
1994,Rural regions,Inexpensive,0.11574,232,1098,0.09681,0.13467
1994,Rural regions,Reasonable,0.21382,479,1098,0.18956,0.23808
1994,Rural regions,Slightly Expensive,0.09670,259,1098,0.07921,0.11419
1994,Rural regions,Too Expensive,0.01854,47,1098,0.01056,0.02652
1995,Urban regions,Very Inexpensive,0.05917,254,2919,0.05061,0.06773
1995,Urban regions,Inexpensive,0.17899,816,2919,0.16508,0.19289
1995,Urban regions,Reasonable,0.25158,1262,2919,0.23584,0.26733
1995,Urban regions,Slightly Expensive,0.08731,470,2919,0.07707,0.09755
1995,Urban regions,Too Expensive,0.01740,117,2919,0.01266,0.02215
1995,Rural regions,Very Inexpensive,0.04685,89,1162,0.03469,0.05900
1995,Rural regions,Inexpensive,0.11097,257,1162,0.09291,0.12904
1995,Rural regions,Reasonable,0.21551,522,1162,0.19186,0.23916
1995,Rural regions,Slightly Expensive,0.09762,253,1162,0.08054,0.11469
1995,Rural regions,Too Expensive,0.01400,41,1162,0.00724,0.02076
1996,Urban regions,Very Inexpensive,0.05953,253,2882,0.05089,0.06817
1996,Urban regions,Inexpensive,0.17979,785,2882,0.16577,0.19382
1996,Urban regions,Reasonable,0.24366,1212,2882,0.22798,0.25933
1996,Urban regions,Slightly Expensive,0.10002,539,2882,0.08907,0.11098
1996,Urban regions,Too Expensive,0.01503,93,2882,0.01059,0.01947
1996,Rural regions,Very Inexpensive,0.03513,79,1126,0.02437,0.04589
1996,Rural regions,Inexpensive,0.11228,250,1126,0.09383,0.13073
1996,Rural regions,Reasonable,0.22282,524,1126,0.19850,0.24713
1996,Rural regions,Slightly Expensive,0.08497,229,1126,0.06867,0.10126
1996,Rural regions,Too Expensive,0.01645,44,1126,0.00901,0.02388
1997,Urban regions,Very Inexpensive,0.05600,227,2785,0.04746,0.06454
1997,Urban regions,Inexpensive,0.15169,686,2785,0.13836,0.16502
1997,Urban regions,Reasonable,0.26060,1240,2785,0.24430,0.27691
1997,Urban regions,Slightly Expensive,0.10842,523,2785,0.09687,0.11997
1997,Urban regions,Too Expensive,0.01577,109,2785,0.01114,0.02040
1997,Rural regions,Very Inexpensive,0.04620,98,1083,0.03369,0.05871
1997,Rural regions,Inexpensive,0.10374,227,1083,0.08557,0.12191
1997,Rural regions,Reasonable,0.21670,510,1083,0.19215,0.24125
1997,Rural regions,Slightly Expensive,0.08098,208,1083,0.06472,0.09723
1997,Rural regions,Too Expensive,0.01612,40,1083,0.00861,0.02362
1998,Urban regions,Very Inexpensive,0.04968,246,3083,0.04201,0.05735
1998,Urban regions,Inexpensive,0.15705,785,3083,0.14420,0.16989
1998,Urban regions,Reasonable,0.25175,1311,3083,0.23643,0.26708
1998,Urban regions,Slightly Expensive,0.11831,640,3083,0.10691,0.12972
1998,Urban regions,Too Expensive,0.01637,101,3083,0.01189,0.02085
1998,Rural regions,Very Inexpensive,0.03776,86,1159,0.02678,0.04874
1998,Rural regions,Inexpensive,0.10648,272,1159,0.08871,0.12424
1998,Rural regions,Reasonable,0.20441,527,1159,0.18119,0.22764
1998,Rural regions,Slightly Expensive,0.08664,231,1159,0.07044,0.10285
1998,Rural regions,Too Expensive,0.01339,43,1159,0.00677,0.02001
1999,Urban regions,Very Inexpensive,0.05565,241,2918,0.04733,0.06397
1999,Urban regions,Inexpensive,0.14627,721,2918,0.13344,0.15909
1999,Urban regions,Reasonable,0.26078,1304,2918,0.24485,0.27671
1999,Urban regions,Slightly Expensive,0.11544,579,2918,0.10385,0.12704
1999,Urban regions,Too Expensive,0.01272,73,2918,0.00865,0.01678
1999,Rural regions,Very Inexpensive,0.03461,81,1126,0.02393,0.04530
1999,Rural regions,Inexpensive,0.10325,263,1126,0.08547,0.12103
1999,Rural regions,Reasonable,0.19886,494,1126,0.17554,0.22219
1999,Rural regions,Slightly Expensive,0.10422,256,1126,0.08636,0.12207
1999,Rural regions,Too Expensive,0.00984,32,1126,0.00407,0.01561
2000,Urban regions,Very Inexpensive,0.04473,345,4834,0.03890,0.05055
2000,Urban regions,Inexpensive,0.15059,1250,4834,0.14050,0.16067
2000,Urban regions,Reasonable,0.26184,2174,4834,0.24945,0.27424
2000,Urban regions,Slightly Expensive,0.10799,917,4834,0.09924,0.11674
2000,Urban regions,Too Expensive,0.01755,148,4834,0.01385,0.02125
2000,Rural regions,Very Inexpensive,0.04343,172,1839,0.03411,0.05275
2000,Rural regions,Inexpensive,0.11716,472,1839,0.10245,0.13186
2000,Rural regions,Reasonable,0.19733,783,1839,0.17913,0.21552
2000,Rural regions,Slightly Expensive,0.08570,367,1839,0.07290,0.09849
2000,Rural regions,Too Expensive,0.00934,45,1839,0.00494,0.01374
2001,Urban regions,Very Inexpensive,0.04256,310,4401,0.03660,0.04853
2001,Urban regions,Inexpensive,0.14729,1116,4401,0.13682,0.15776
2001,Urban regions,Reasonable,0.26882,2047,4401,0.25572,0.28192
2001,Urban regions,Slightly Expensive,0.10755,816,4401,0.09839,0.11670
2001,Urban regions,Too Expensive,0.01365,112,4401,0.01022,0.01707
2001,Rural regions,Very Inexpensive,0.03745,138,1612,0.02818,0.04673
2001,Rural regions,Inexpensive,0.11428,407,1612,0.09874,0.12982
2001,Rural regions,Reasonable,0.20450,739,1612,0.18481,0.22420
2001,Rural regions,Slightly Expensive,0.07668,294,1612,0.06369,0.08968
2001,Rural regions,Too Expensive,0.00843,34,1612,0.00396,0.01289
2002,Urban regions,Very Inexpensive,0.04402,332,4333,0.03791,0.05013
2002,Urban regions,Inexpensive,0.14279,1085,4333,0.13237,0.15320
2002,Urban regions,Reasonable,0.26273,2005,4333,0.24962,0.27584
2002,Urban regions,Slightly Expensive,0.10351,777,4333,0.09444,0.11258
2002,Urban regions,Too Expensive,0.01945,134,4333,0.01534,0.02356
2002,Rural regions,Very Inexpensive,0.03243,110,1603,0.02375,0.04110
2002,Rural regions,Inexpensive,0.11211,416,1603,0.09666,0.12756
2002,Rural regions,Reasonable,0.20334,727,1603,0.18363,0.22305
2002,Rural regions,Slightly Expensive,0.08310,313,1603,0.06958,0.09662
2002,Rural regions,Too Expensive,0.00909,37,1603,0.00444,0.01373
2005,Urban regions,Very Inexpensive,0.03331,234,3969,0.02773,0.03890
2005,Urban regions,Inexpensive,0.14264,940,3969,0.13176,0.15352
2005,Urban regions,Reasonable,0.28432,1950,3969,0.27029,0.29836
2005,Urban regions,Slightly Expensive,0.10488,734,3969,0.09534,0.11441
2005,Urban regions,Too Expensive,0.01768,111,3969,0.01358,0.02178
2005,Rural regions,Very Inexpensive,0.03420,110,1424,0.02476,0.04364
2005,Rural regions,Inexpensive,0.09709,329,1424,0.08171,0.11248
2005,Rural regions,Reasonable,0.19937,672,1424,0.17861,0.22013
2005,Rural regions,Slightly Expensive,0.08025,275,1424,0.06614,0.09437
2005,Rural regions,Too Expensive,0.01156,38,1424,0.00601,0.01712
2006,Urban regions,Very Inexpensive,0.03356,250,4207,0.02812,0.03900
2006,Urban regions,Inexpensive,0.14040,1008,4207,0.12990,0.15090
2006,Urban regions,Reasonable,0.27673,2012,4207,0.26321,0.29025
2006,Urban regions,Slightly Expensive,0.11647,819,4207,0.10678,0.12617
2006,Urban regions,Too Expensive,0.01859,118,4207,0.01451,0.02267
2006,Rural regions,Very Inexpensive,0.03166,115,1615,0.02312,0.04020
2006,Rural regions,Inexpensive,0.11174,414,1615,0.09637,0.12711
2006,Rural regions,Reasonable,0.20498,744,1615,0.18528,0.22467
2006,Rural regions,Slightly Expensive,0.07913,297,1615,0.06596,0.09230
2006,Rural regions,Too Expensive,0.01286,45,1615,0.00736,0.01835
2007,Urban regions,Very Inexpensive,0.03704,244,3904,0.03112,0.04297
2007,Urban regions,Inexpensive,0.13083,908,3904,0.12025,0.14141
2007,Urban regions,Reasonable,0.27697,1888,3904,0.26293,0.29101
2007,Urban regions,Slightly Expensive,0.10705,739,3904,0.09735,0.11675
2007,Urban regions,Too Expensive,0.02206,125,3904,0.01745,0.02667
2007,Rural regions,Very Inexpensive,0.03206,114,1490,0.02311,0.04101
2007,Rural regions,Inexpensive,0.10689,374,1490,0.09120,0.12259
2007,Rural regions,Reasonable,0.20007,684,1490,0.17975,0.22039
2007,Rural regions,Slightly Expensive,0.08019,283,1490,0.06640,0.09399
2007,Rural regions,Too Expensive,0.01035,35,1490,0.00521,0.01550
2008,Urban regions,Very Inexpensive,0.03853,240,3649,0.03229,0.04478
2008,Urban regions,Inexpensive,0.13544,883,3649,0.12433,0.14654
2008,Urban regions,Reasonable,0.26755,1746,3649,0.25319,0.28192
2008,Urban regions,Slightly Expensive,0.10756,687,3649,0.09751,0.11761
2008,Urban regions,Too Expensive,0.01563,93,3649,0.01160,0.01965
2008,Rural regions,Very Inexpensive,0.03383,112,1397,0.02435,0.04332
