year,ple0008,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,Very good,0.13821,2125,13290,0.13235,0.14408
1992,Good,0.38899,5518,13290,0.38070,0.39728
1992,Satisfactory,0.30499,3727,13290,0.29716,0.31282
1992,Poor,0.12156,1429,13290,0.11600,0.12711
1992,Bad,0.04625,491,13290,0.04268,0.04982
1994,Very good,0.08849,1340,12847,0.08358,0.09340
1994,Good,0.37908,5222,12847,0.37069,0.38747
1994,Satisfactory,0.33707,4070,12847,0.32890,0.34525
1994,Poor,0.15124,1750,12847,0.14505,0.15744
1994,Bad,0.04412,465,12847,0.04057,0.04767
1995,Very good,0.08226,1303,13243,0.07758,0.08694
1995,Good,0.38556,5459,13243,0.37727,0.39385
1995,Satisfactory,0.33946,4220,13243,0.33140,0.34753
1995,Poor,0.15000,1789,13243,0.14392,0.15609
1995,Bad,0.04271,472,13243,0.03927,0.04616
1996,Very good,0.08404,1288,13021,0.07927,0.08880
1996,Good,0.37639,5236,13021,0.36807,0.38471
1996,Satisfactory,0.35230,4352,13021,0.34409,0.36050
1996,Poor,0.14491,1691,13021,0.13886,0.15095
1996,Bad,0.04237,454,13021,0.03891,0.04583
1997,Very good,0.08355,1172,12810,0.07876,0.08835
1997,Good,0.38336,5430,12810,0.37494,0.39178
1997,Satisfactory,0.34979,4160,12810,0.34154,0.35805
1997,Poor,0.14054,1595,12810,0.13452,0.14656
1997,Bad,0.04276,453,12810,0.03925,0.04626
1998,Very good,0.09875,1474,14206,0.09385,0.10366
1998,Good,0.39876,6097,14206,0.39071,0.40681
1998,Satisfactory,0.32338,4392,14206,0.31569,0.33107
1998,Poor,0.13528,1729,14206,0.12966,0.14091
1998,Bad,0.04382,514,14206,0.04046,0.04719
1999,Very good,0.08978,1297,13644,0.08498,0.09458
1999,Good,0.38937,5687,13644,0.38119,0.39755
1999,Satisfactory,0.33657,4460,13644,0.32864,0.34450
1999,Poor,0.14036,1708,13644,0.13453,0.14619
1999,Bad,0.04392,492,13644,0.04048,0.04736
2000,Very good,0.10962,2673,24066,0.10567,0.11356
2000,Good,0.38204,9752,24066,0.37590,0.38818
2000,Satisfactory,0.33638,7807,24066,0.33041,0.34235
2000,Poor,0.13201,2988,24066,0.12774,0.13629
2000,Bad,0.03994,846,24066,0.03747,0.04242
2001,Very good,0.10877,2419,21890,0.10464,0.11289
2001,Good,0.38036,8800,21890,0.37393,0.38679
2001,Satisfactory,0.33420,7138,21890,0.32795,0.34045
2001,Poor,0.13677,2759,21890,0.13222,0.14133
2001,Bad,0.03990,774,21890,0.03730,0.04249
2002,Very good,0.09264,2346,22984,0.08889,0.09638
2002,Good,0.38109,9462,22984,0.37481,0.38737
2002,Satisfactory,0.34583,7527,22984,0.33968,0.35198
2002,Poor,0.13912,2889,22984,0.13465,0.14360
2002,Bad,0.04133,760,22984,0.03875,0.04390
2003,Very good,0.09234,2243,22127,0.08853,0.09616
2003,Good,0.39408,9271,22127,0.38765,0.40052
2003,Satisfactory,0.32945,7019,22127,0.32326,0.33564
2003,Poor,0.14099,2831,22127,0.13640,0.14558
2003,Bad,0.04313,763,22127,0.04046,0.04581
2004,Very good,0.09776,2197,21571,0.09379,0.10172
2004,Good,0.38060,8952,21571,0.37412,0.38708
2004,Satisfactory,0.32251,6785,21571,0.31627,0.32875
2004,Poor,0.15213,2832,21571,0.14733,0.15692
2004,Bad,0.04701,805,21571,0.04418,0.04983
2005,Very good,0.08852,1945,20628,0.08464,0.09239
2005,Good,0.37718,8305,20628,0.37057,0.38379
2005,Satisfactory,0.33569,6764,20628,0.32924,0.34213
2005,Poor,0.15338,2834,20628,0.14846,0.15829
2005,Bad,0.04524,780,20628,0.04240,0.04808
2006,Very good,0.09048,1987,21934,0.08669,0.09428
2006,Good,0.37827,8839,21934,0.37185,0.38469
2006,Satisfactory,0.33797,7268,21934,0.33171,0.34423
2006,Poor,0.14465,2948,21934,0.13999,0.14930
2006,Bad,0.04863,892,21934,0.04579,0.05148
2007,Very good,0.08192,1718,20458,0.07817,0.08568
2007,Good,0.38118,8289,20458,0.37452,0.38784
2007,Satisfactory,0.34271,6835,20458,0.33620,0.34921
2007,Poor,0.15091,2839,20458,0.14601,0.15582
2007,Bad,0.04327,777,20458,0.04049,0.04606
2008,Very good,0.08797,1692,19288,0.08397,0.09197
