"ple0008","year","age_gr","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Sehr gut","1992","17-29","männlich","671","0.338391423907154","0.316496315053917","0.360286532760391"
"Sehr gut","1992","17-29","weiblich","508","0.272978717052009","0.252242397362321","0.293715036741697"
"Sehr gut","1992","30-45","männlich","347","0.163943161391869","0.147955717423983","0.179930605359755"
"Sehr gut","1992","30-45","weiblich","323","0.155535851757985","0.140367631051975","0.170704072463996"
"Sehr gut","1992","46-65","männlich","141","0.0744464961280643","0.0630779216677958","0.0858150705883328"
"Sehr gut","1992","46-65","weiblich","104","0.0611026352927071","0.0505419122915606","0.0716633582938536"
"Sehr gut","1992","66","männlich","","","",""
"Sehr gut","1992","66","weiblich","","","",""
"Gut","1992","17-29","männlich","848","0.493359252955514","0.470224302793567","0.516494203117461"
"Gut","1992","17-29","weiblich","884","0.50037869627716","0.477105094289033","0.523652298265287"
"Gut","1992","30-45","männlich","1077","0.517241929110301","0.495663187543493","0.53882067067711"
"Gut","1992","30-45","weiblich","1102","0.48939054268874","0.468468649113098","0.510312436264383"
"Gut","1992","46-65","männlich","737","0.345826907286474","0.325227304614951","0.366426509957998"
"Gut","1992","46-65","weiblich","601","0.303804074657491","0.283526446417424","0.324081702897557"
"Gut","1992","66","männlich","","","",""
"Gut","1992","66","weiblich","","","",""
"Zufriedenstellend","1992","17-29","männlich","224","0.139221537376106","0.123202523399599","0.155240551352613"
"Zufriedenstellend","1992","17-29","weiblich","285","0.168491758362897","0.151069023261223","0.185914493464571"
"Zufriedenstellend","1992","30-45","männlich","475","0.241055834630217","0.222585353089155","0.259526316171278"
"Zufriedenstellend","1992","30-45","weiblich","529","0.248204029368912","0.230124663822761","0.266283394915063"
"Zufriedenstellend","1992","46-65","männlich","775","0.386170006317374","0.365083897796504","0.407256114838243"
"Zufriedenstellend","1992","46-65","weiblich","808","0.413958126255018","0.392241260273068","0.435674992236968"
"Zufriedenstellend","1992","66","männlich","","","",""
"Zufriedenstellend","1992","66","weiblich","","","",""
"Weniger gut","1992","17-29","männlich","42","0.021333463315682","0.0146471777073657","0.0280197489239983"
"Weniger gut","1992","17-29","weiblich","77","0.0463829872575248","0.0365934970522353","0.0561724774628143"
"Weniger gut","1992","30-45","männlich","132","0.0633487309247189","0.0528297806216045","0.0738676812278333"
"Weniger gut","1992","30-45","weiblich","195","0.0832572399641899","0.0716944263693608","0.0948200535590191"
"Weniger gut","1992","46-65","männlich","303","0.147872636505432","0.132498905470401","0.163246367540463"
"Weniger gut","1992","46-65","weiblich","340","0.163418976777169","0.147116264313733","0.179721689240606"
"Weniger gut","1992","66","männlich","","","",""
"Weniger gut","1992","66","weiblich","","","",""
"Schlecht","1992","17-29","männlich","9","","",""
"Schlecht","1992","17-29","weiblich","19","","",""
"Schlecht","1992","30-45","männlich","29","","",""
"Schlecht","1992","30-45","weiblich","44","0.0236123362201726","0.0172574263376327","0.0299672461027125"
"Schlecht","1992","46-65","männlich","92","0.0456839537626554","0.0366409841876571","0.0547269233376538"
"Schlecht","1992","46-65","weiblich","123","0.057716187017615","0.0474337915709402","0.0679985824642898"
"Schlecht","1992","66","männlich","","","",""
"Schlecht","1992","66","weiblich","","","",""
"Sehr gut","1993","17-29","männlich","","","",""
"Sehr gut","1993","17-29","weiblich","","","",""
"Sehr gut","1993","30-45","männlich","","","",""
"Sehr gut","1993","30-45","weiblich","","","",""
"Sehr gut","1993","46-65","männlich","","","",""
"Sehr gut","1993","46-65","weiblich","","","",""
"Sehr gut","1993","66","männlich","","","",""
"Sehr gut","1993","66","weiblich","","","",""
"Gut","1993","17-29","männlich","","","",""
"Gut","1993","17-29","weiblich","","","",""
"Gut","1993","30-45","männlich","","","",""
"Gut","1993","30-45","weiblich","","","",""
"Gut","1993","46-65","männlich","","","",""
"Gut","1993","46-65","weiblich","","","",""
"Gut","1993","66","männlich","","","",""
"Gut","1993","66","weiblich","","","",""
"Zufriedenstellend","1993","17-29","männlich","","","",""
"Zufriedenstellend","1993","17-29","weiblich","","","",""
"Zufriedenstellend","1993","30-45","männlich","","","",""
"Zufriedenstellend","1993","30-45","weiblich","","","",""
"Zufriedenstellend","1993","46-65","männlich","","","",""
"Zufriedenstellend","1993","46-65","weiblich","","","",""
"Zufriedenstellend","1993","66","männlich","","","",""
"Zufriedenstellend","1993","66","weiblich","","","",""
"Weniger gut","1993","17-29","männlich","","","",""
"Weniger gut","1993","17-29","weiblich","","","",""
"Weniger gut","1993","30-45","männlich","","","",""
"Weniger gut","1993","30-45","weiblich","","","",""
"Weniger gut","1993","46-65","männlich","","","",""
"Weniger gut","1993","46-65","weiblich","","","",""
"Weniger gut","1993","66","männlich","","","",""
"Weniger gut","1993","66","weiblich","","","",""
"Schlecht","1993","17-29","männlich","","","",""
"Schlecht","1993","17-29","weiblich","","","",""
"Schlecht","1993","30-45","männlich","","","",""
"Schlecht","1993","30-45","weiblich","","","",""
"Schlecht","1993","46-65","männlich","","","",""
"Schlecht","1993","46-65","weiblich","","","",""
"Schlecht","1993","66","männlich","","","",""
"Schlecht","1993","66","weiblich","","","",""
"Sehr gut","1994","17-29","männlich","405","0.229191442309515","0.208873971378517","0.249508913240514"
"Sehr gut","1994","17-29","weiblich","342","0.185030791460073","0.166549693437821","0.203511889482325"
"Sehr gut","1994","30-45","männlich","225","0.109515747176588","0.0959243055922501","0.123107188760925"
"Sehr gut","1994","30-45","weiblich","193","0.0896814003302396","0.0774986248336484","0.101864175826831"
"Sehr gut","1994","46-65","männlich","87","0.0463970906862549","0.0370991773796873","0.0556950039928224"
"Sehr gut","1994","46-65","weiblich","65","0.0377269215215615","0.0291931982806708","0.0462606447624521"
"Sehr gut","1994","66","männlich","","","",""
"Sehr gut","1994","66","weiblich","","","",""
"Gut","1994","17-29","männlich","856","0.515096429680525","0.4909379753124","0.539254884048651"
"Gut","1994","17-29","weiblich","877","0.520516956342373","0.496740932115147","0.544292980569598"
"Gut","1994","30-45","männlich","1028","0.500084346355814","0.478323082548597","0.52184561016303"
"Gut","1994","30-45","weiblich","961","0.457867132726914","0.436623883415867","0.479110382037961"
"Gut","1994","46-65","männlich","670","0.344282122746473","0.323279570079986","0.365284675412959"
"Gut","1994","46-65","weiblich","549","0.278057787825049","0.257990787789249","0.298124787860849"
