"year","bildungsniveau","sampreg","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1984","(Fach-)Abitur","Ostdeutschland","","","","",""
"1984","(Fach-)Abitur","Westdeutschland","7.43","7.5","865","7.27","7.59"
"1984","(noch) kein Abschluss","Ostdeutschland","","","","",""
"1984","(noch) kein Abschluss","Westdeutschland","7.26","7.5","1281","7.1","7.42"
"1984","AkademikerIn","Ostdeutschland","","","","",""
"1984","AkademikerIn","Westdeutschland","7.44","7.5","789","7.28","7.6"
"1984","Hauptschule","Ostdeutschland","","","","",""
"1984","Hauptschule","Westdeutschland","6.48","6.5","7237","6.42","6.54"
"1984","Realschule","Ostdeutschland","","","","",""
"1984","Realschule","Westdeutschland","7.43","7.5","1882","7.32","7.54"
"1985","(Fach-)Abitur","Ostdeutschland","","","","",""
"1985","(Fach-)Abitur","Westdeutschland","7.3","7.5","780","7.14","7.46"
"1985","(noch) kein Abschluss","Ostdeutschland","","","","",""
"1985","(noch) kein Abschluss","Westdeutschland","7.11","7.5","1078","6.95","7.27"
"1985","AkademikerIn","Ostdeutschland","","","","",""
"1985","AkademikerIn","Westdeutschland","7.36","7.5","754","7.22","7.5"
"1985","Hauptschule","Ostdeutschland","","","","",""
"1985","Hauptschule","Westdeutschland","6.46","6.5","6406","6.4","6.52"
"1985","Realschule","Ostdeutschland","","","","",""
"1985","Realschule","Westdeutschland","7.25","7.5","1813","7.15","7.35"
"1986","(Fach-)Abitur","Ostdeutschland","","","","",""
"1986","(Fach-)Abitur","Westdeutschland","7.3","7.5","808","7.14","7.46"
"1986","(noch) kein Abschluss","Ostdeutschland","","","","",""
"1986","(noch) kein Abschluss","Westdeutschland","6.95","7.5","1025","6.78","7.12"
"1986","AkademikerIn","Ostdeutschland","","","","",""
"1986","AkademikerIn","Westdeutschland","7.21","7.5","748","7.06","7.36"
"1986","Hauptschule","Ostdeutschland","","","","",""
"1986","Hauptschule","Westdeutschland","6.43","6.5","6072","6.37","6.49"
"1986","Realschule","Ostdeutschland","","","","",""
"1986","Realschule","Westdeutschland","7.15","7.5","1767","7.05","7.25"
"1987","(Fach-)Abitur","Ostdeutschland","","","","",""
"1987","(Fach-)Abitur","Westdeutschland","7.2","7.5","778","7.04","7.36"
"1987","(noch) kein Abschluss","Ostdeutschland","","","","",""
