"year","sampreg","sex","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1984","Ostdeutschland","männlich","","","","","","","","","","","","","",""
"1984","Ostdeutschland","weiblich","","","","","","","","","","","","","",""
"1984","Westdeutschland","männlich","7.01","7.5","5941","3","5","9","10","10","6.94","7.08","0","10","8","8"
"1984","Westdeutschland","weiblich","6.64","6.5","6202","3","5","9","10","10","6.57","6.71","0","10","7","8"
"1985","Ostdeutschland","männlich","","","","","","","","","","","","","",""
"1985","Ostdeutschland","weiblich","","","","","","","","","","","","","",""
"1985","Westdeutschland","männlich","6.92","6.5","5386","4","5","9","10","10","6.86","6.98","0","10","8","8"
"1985","Westdeutschland","weiblich","6.63","6.5","5585","3","5","9","10","10","6.56","6.7","0","10","7","7"
"1986","Ostdeutschland","männlich","","","","","","","","","","","","","",""
"1986","Ostdeutschland","weiblich","","","","","","","","","","","","","",""
"1986","Westdeutschland","männlich","6.94","6.5","5220","4","5","9","10","10","6.88","7","0","10","8","8"
"1986","Westdeutschland","weiblich","6.52","6.5","5336","3","5","8","10","10","6.45","6.59","0","10","7","7"
"1987","Ostdeutschland","männlich","","","","","","","","","","","","","",""
"1987","Ostdeutschland","weiblich","","","","","","","","","","","","","",""
"1987","Westdeutschland","männlich","6.85","6.5","5163","4","5","8","10","10","6.79","6.91","0","10","7","8"
"1987","Westdeutschland","weiblich","6.5","6.5","5271","3","5","8","10","10","6.43","6.57","0","10","7","7"
"1988","Ostdeutschland","männlich","","","","","","","","","","","","","",""
"1988","Ostdeutschland","weiblich","","","","","","","","","","","","","",""
"1988","Westdeutschland","männlich","6.69","6.5","4918","3","5","8","10","10","6.62","6.76","0","10","7","8"
"1988","Westdeutschland","weiblich","6.45","6.5","5032","3","5","8","10","10","6.38","6.52","0","10","7","7"
"1989","Ostdeutschland","männlich","","","","","","","","","","","","","",""
"1989","Ostdeutschland","weiblich","","","","","","","","","","","","","",""
"1989","Westdeutschland","männlich","6.73","6.5","4751","3","5","8","10","10","6.66","6.8","0","10","7","8"
"1989","Westdeutschland","weiblich","6.37","6.5","4884","3","5","8","10","10","6.3","6.44","0","10","7","7"
"1990","Ostdeutschland","männlich","6.86","6.5","2097","3","5","9","10","10","6.75","6.97","0","10","7","8"
"1990","Ostdeutschland","weiblich","6.42","6.5","2311","3","5","8","10","10","6.31","6.53","0","10","7","7"
"1990","Westdeutschland","männlich","6.74","6.5","4657","4","5","8","9","10","6.67","6.81","0","10","7","7"
"1990","Westdeutschland","weiblich","6.43","6.5","4789","3","5","8","9","10","6.36","6.5","0","10","7","7"
"1991","Ostdeutschland","männlich","6.82","6.5","1975","4","5","9","10","10","6.72","6.92","0","10","7","8"
"1991","Ostdeutschland","weiblich","6.29","5.5","2156","3","5","8","10","10","6.19","6.39","0","10","7","7"
"1991","Westdeutschland","männlich","6.72","6.5","4642","3","5","8","9","10","6.65","6.79","0","10","7","8"
"1991","Westdeutschland","weiblich","6.43","6.5","4787","3","5","8","9","10","6.36","6.5","0","10","7","7"
"1992","Ostdeutschland","männlich","6.77","6.5","1878","4","5","8","10","10","6.67","6.87","0","10","7","8"
"1992","Ostdeutschland","weiblich","6.29","6.5","2077","3","5","8","9","10","6.19","6.39","0","10","7","7"
"1992","Westdeutschland","männlich","6.85","6.5","4560","4","5","8","10","10","6.78","6.92","0","10","8","8"
"1992","Westdeutschland","weiblich","6.52","6.5","4755","3","5","8","9","10","6.45","6.59","0","10","7","7"
"1993","Ostdeutschland","männlich","6.66","6.5","1816","4","5","8","9","10","6.56","6.76","0","10","7","7"
"1993","Ostdeutschland","weiblich","6.21","5.5","2003","3","5","8","9","10","6.11","6.31","0","10","7","7"
"1993","Westdeutschland","männlich","6.67","6.5","4537","3","5","8","9","10","6.6","6.74","0","10","7","7"
"1993","Westdeutschland","weiblich","6.41","6.5","4713","3","5","8","9","10","6.34","6.48","0","10","7","7"
"1994","Ostdeutschland","männlich","6.47","6.5","1789","3","5","8","9","10","6.37","6.57","0","10","7","7"
"1994","Ostdeutschland","weiblich","6.07","5.5","1975","3","5","8","9","10","5.97","6.17","0","10","6","7"
"1994","Westdeutschland","männlich","6.61","6.5","4414","3","5","8","9","10","6.54","6.68","0","10","7","7"
"1994","Westdeutschland","weiblich","6.31","6.5","4661","3","5","8","9","10","6.24","6.38","0","10","7","7"
"1995","Ostdeutschland","männlich","6.53","6.5","1741","4","5","8","9","10","6.43","6.63","0","10","7","7"
"1995","Ostdeutschland","weiblich","6.12","5.5","1934","3","5","8","9","10","6.02","6.22","0","10","6","7"
"1995","Westdeutschland","männlich","6.66","6.5","4642","3","5","8","9","10","6.6","6.72","0","10","7","7"
"1995","Westdeutschland","weiblich","6.37","6.5","4914","3","5","8","9","10","6.31","6.43","0","10","7","7"
