"plh0181","year","migback","n","percent","lower_confidence","upper_confidence"
"Ganz und gar unzufrieden","2006","kein Migrationshintergrund","74","0.00540018068465557","0.00435145958085116","0.00644890178845998"
"Ganz und gar unzufrieden","2006","direkter Migrationshintergrund","","","",""
"Ganz und gar unzufrieden","2006","indirekter Migrationshintergrund","","","",""
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","kein Migrationshintergrund","70","0.00520199629940803","0.00417259634187854","0.00623139625693753"
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","direkter Migrationshintergrund","","","",""
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","indirekter Migrationshintergrund","","","",""
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","kein Migrationshintergrund","188","0.0120488945729253","0.0104876425937795","0.0136101465520712"
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","direkter Migrationshintergrund","","","",""
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","indirekter Migrationshintergrund","","","",""
"3 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","kein Migrationshintergrund","338","0.0236025169307825","0.0214301951407013","0.0257748387208636"
"3 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","direkter Migrationshintergrund","68","0.0319307518667922","0.0248643236669534","0.0389971800666309"
"3 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","indirekter Migrationshintergrund","","","",""
"4 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","kein Migrationshintergrund","472","0.0288218712875963","0.0264277717218488","0.0312159708533437"
"4 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","direkter Migrationshintergrund","94","0.0426413260542477","0.0345206000960881","0.0507620520124073"
"4 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","indirekter Migrationshintergrund","","","",""
"5 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","kein Migrationshintergrund","1525","0.0873135829455555","0.0832740293682301","0.0913531365228809"
"5 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","direkter Migrationshintergrund","221","0.100989151635458","0.0888786538656897","0.113099649405227"
"5 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","indirekter Migrationshintergrund","72","0.0718524424538827","0.0541337246070197","0.0895711603007458"
"6 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","kein Migrationshintergrund","1549","0.0847802705053233","0.0807942295208612","0.0887663114897853"
"6 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","direkter Migrationshintergrund","246","0.108671220899403","0.0961623415517574","0.121180100247049"
"6 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","indirekter Migrationshintergrund","46","0.0698960380130396","0.0524017997033564","0.0873902763227228"
"7 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","kein Migrationshintergrund","3282","0.169154654746511","0.16379009920495","0.174519210288072"
"7 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","direkter Migrationshintergrund","412","0.170995848313121","0.155863257053384","0.186128439572858"
"7 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","indirekter Migrationshintergrund","134","0.15254212086751","0.127872813124732","0.177211428610288"
"8 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","kein Migrationshintergrund","5468","0.281396237051765","0.274961429537311","0.287831044566218"
"8 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","direkter Migrationshintergrund","645","0.241795690571798","0.224586534696895","0.259004846446701"
"8 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","indirekter Migrationshintergrund","223","0.286817724832852","0.255785974290965","0.317849475374738"
"9 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","kein Migrationshintergrund","3233","0.162967176665056","0.157682079340822","0.16825227398929"
"9 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","direkter Migrationshintergrund","346","0.141447346698565","0.127441059223467","0.155453634173664"
"9 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","indirekter Migrationshintergrund","157","0.180854401623858","0.154445635885125","0.207263167362592"
"Ganz und gar zufrieden","2006","kein Migrationshintergrund","2561","0.139312618310422","0.134357550305129","0.144267686315715"
"Ganz und gar zufrieden","2006","direkter Migrationshintergrund","290","0.133613248374693","0.119938390274256","0.14728810647513"
"Ganz und gar zufrieden","2006","indirekter Migrationshintergrund","136","0.160884210402414","0.135674336697762","0.186094084107066"
"Ganz und gar unzufrieden","2007","kein Migrationshintergrund","","","",""
"Ganz und gar unzufrieden","2007","direkter Migrationshintergrund","","","",""
"Ganz und gar unzufrieden","2007","indirekter Migrationshintergrund","","","",""
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2007","kein Migrationshintergrund","","","",""
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2007","direkter Migrationshintergrund","","","",""
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2007","indirekter Migrationshintergrund","","","",""
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2007","kein Migrationshintergrund","","","",""
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2007","direkter Migrationshintergrund","","","",""
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2007","indirekter Migrationshintergrund","","","",""
