"plh0181","year","bula_h","n","percent","lower_confidence","upper_confidence"
"Ganz und gar unzufrieden","2006","Schleswig-Holstein","","","",""
"Ganz und gar unzufrieden","2006","Hamburg","","","",""
"Ganz und gar unzufrieden","2006","Niedersachsen","","","",""
"Ganz und gar unzufrieden","2006","Bremen","","","",""
"Ganz und gar unzufrieden","2006","Nordrhein-Westfalen","","","",""
"Ganz und gar unzufrieden","2006","Hessen","","","",""
"Ganz und gar unzufrieden","2006","Rheinland-Pfalz,Saarland","","","",""
"Ganz und gar unzufrieden","2006","Baden-Wuerttemberg","","","",""
"Ganz und gar unzufrieden","2006","Bayern","","","",""
"Ganz und gar unzufrieden","2006","Saarland","","","",""
"Ganz und gar unzufrieden","2006","Berlin","","","",""
"Ganz und gar unzufrieden","2006","Brandenburg","","","",""
"Ganz und gar unzufrieden","2006","Mecklenburg-Vorpommern","","","",""
"Ganz und gar unzufrieden","2006","Sachsen","","","",""
"Ganz und gar unzufrieden","2006","Sachsen-Anhalt","","","",""
"Ganz und gar unzufrieden","2006","Thueringen","","","",""
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Schleswig-Holstein","","","",""
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Hamburg","","","",""
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Niedersachsen","","","",""
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Bremen","","","",""
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Nordrhein-Westfalen","","","",""
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Hessen","","","",""
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Rheinland-Pfalz,Saarland","","","",""
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Baden-Wuerttemberg","","","",""
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Bayern","","","",""
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Saarland","","","",""
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Berlin","","","",""
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Brandenburg","","","",""
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Mecklenburg-Vorpommern","","","",""
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Sachsen","","","",""
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Sachsen-Anhalt","","","",""
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Thueringen","","","",""
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Schleswig-Holstein","","","",""
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Hamburg","","","",""
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Niedersachsen","","","",""
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Bremen","","","",""
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Nordrhein-Westfalen","42","0.0117177726509396","0.00858955903673856","0.0148459862651407"
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Hessen","","","",""
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Rheinland-Pfalz,Saarland","","","",""
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Baden-Wuerttemberg","","","",""
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Bayern","33","0.0112787299888413","0.00757508682112855","0.0149823731565541"
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Saarland","","","",""
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Berlin","","","",""
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Brandenburg","","","",""
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Mecklenburg-Vorpommern","","","",""
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Sachsen","","","",""
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Sachsen-Anhalt","","","",""
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Thueringen","","","",""
"3 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Schleswig-Holstein","","","",""
"3 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Hamburg","","","",""
"3 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Niedersachsen","30","0.0265110361015241","0.0194169926420177","0.0336050795610304"
"3 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Bremen","","","",""
"3 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Nordrhein-Westfalen","82","0.0215877966946659","0.0173630714927115","0.0258125218966202"
"3 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Hessen","34","0.0242126192740783","0.0163816464190045","0.0320435921291521"
"3 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Rheinland-Pfalz,Saarland","","","",""
"3 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Baden-Wuerttemberg","64","0.0316320470375116","0.0250547494447233","0.0382093446302998"
"3 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Bayern","55","0.0233800574135879","0.018080401423213","0.0286797134039627"
"3 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Saarland","","","",""
"3 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Berlin","","","",""
"3 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Brandenburg","","","",""
"3 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Mecklenburg-Vorpommern","","","",""
"3 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Sachsen","","","",""
"3 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Sachsen-Anhalt","","","",""
"3 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Thueringen","","","",""
"4 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Schleswig-Holstein","","","",""
"4 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Hamburg","","","",""
"4 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Niedersachsen","55","0.0383004992244607","0.0298255541816584","0.0467754442672629"
"4 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Bremen","","","",""
"4 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Nordrhein-Westfalen","104","0.0263961902137876","0.0217360913289305","0.0310562890986446"
"4 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Hessen","43","0.0290447996509831","0.0204891888134983","0.0376004104884679"
"4 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Rheinland-Pfalz,Saarland","","","",""
"4 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Baden-Wuerttemberg","101","0.0442426695289788","0.0365148295651382","0.0519705094928193"
"4 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Bayern","61","0.0243672190757428","0.0189595728122914","0.0297748653391943"
"4 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Saarland","","","",""
"4 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Berlin","","","",""
