"plh0181","year","bula_h","sex","n","percent","lower_confidence","upper_confidence"
"Ganz und gar unzufrieden","2006","Schleswig-Holstein","maennlich","","","",""
"Ganz und gar unzufrieden","2006","Schleswig-Holstein","weiblich","","","",""
"Ganz und gar unzufrieden","2006","Hamburg","maennlich","","","",""
"Ganz und gar unzufrieden","2006","Hamburg","weiblich","","","",""
"Ganz und gar unzufrieden","2006","Niedersachsen","maennlich","","","",""
"Ganz und gar unzufrieden","2006","Niedersachsen","weiblich","","","",""
"Ganz und gar unzufrieden","2006","Bremen","maennlich","","","",""
"Ganz und gar unzufrieden","2006","Bremen","weiblich","","","",""
"Ganz und gar unzufrieden","2006","Nordrhein-Westfalen","maennlich","","","",""
"Ganz und gar unzufrieden","2006","Nordrhein-Westfalen","weiblich","","","",""
"Ganz und gar unzufrieden","2006","Hessen","maennlich","","","",""
"Ganz und gar unzufrieden","2006","Hessen","weiblich","","","",""
"Ganz und gar unzufrieden","2006","Rheinland-Pfalz,Saarland","maennlich","","","",""
"Ganz und gar unzufrieden","2006","Rheinland-Pfalz,Saarland","weiblich","","","",""
"Ganz und gar unzufrieden","2006","Baden-Wuerttemberg","maennlich","","","",""
"Ganz und gar unzufrieden","2006","Baden-Wuerttemberg","weiblich","","","",""
"Ganz und gar unzufrieden","2006","Bayern","maennlich","","","",""
"Ganz und gar unzufrieden","2006","Bayern","weiblich","","","",""
"Ganz und gar unzufrieden","2006","Saarland","maennlich","","","",""
"Ganz und gar unzufrieden","2006","Saarland","weiblich","","","",""
"Ganz und gar unzufrieden","2006","Berlin","maennlich","","","",""
"Ganz und gar unzufrieden","2006","Berlin","weiblich","","","",""
"Ganz und gar unzufrieden","2006","Brandenburg","maennlich","","","",""
"Ganz und gar unzufrieden","2006","Brandenburg","weiblich","","","",""
"Ganz und gar unzufrieden","2006","Mecklenburg-Vorpommern","maennlich","","","",""
"Ganz und gar unzufrieden","2006","Mecklenburg-Vorpommern","weiblich","","","",""
"Ganz und gar unzufrieden","2006","Sachsen","maennlich","","","",""
