"plh0181","year","sampreg","n","percent","lower_confidence","upper_confidence"
"Ganz und gar unzufrieden","2006","Westdeutschland, alte Bundeslaender","69","0.00549631564962734","0.00437456071353624","0.00661807058571845"
"Ganz und gar unzufrieden","2006","Ostdeutschland, neue Bundeslaender","","","",""
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Westdeutschland, alte Bundeslaender","61","0.00523770802641608","0.00414251856069369","0.00633289749213848"
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Ostdeutschland, neue Bundeslaender","","","",""
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Westdeutschland, alte Bundeslaender","175","0.0131264760010159","0.0113995895527529","0.0148533624492789"
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Ostdeutschland, neue Bundeslaender","56","0.0120646032594035","0.00911619766014553","0.0150130088586615"
"3 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Westdeutschland, alte Bundeslaender","326","0.025300020815235","0.0229174003066527","0.0276826413238173"
"3 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Ostdeutschland, neue Bundeslaender","93","0.0223015682131707","0.0183137386128266","0.0262893978135148"
"4 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Westdeutschland, alte Bundeslaender","434","0.0306254050279977","0.0280111635833441","0.0332396464726514"
"4 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Ostdeutschland, neue Bundeslaender","148","0.0297635919863575","0.0251742767848379","0.0343529071878771"
"5 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Westdeutschland, alte Bundeslaender","1314","0.0853055159955273","0.0810672760027967","0.0895437559882578"
"5 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Ostdeutschland, neue Bundeslaender","504","0.102296184458632","0.0941122397794443","0.11048012913782"
"6 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Westdeutschland, alte Bundeslaender","1341","0.084682357376951","0.0804581877996024","0.0889065269542995"
"6 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Ostdeutschland, neue Bundeslaender","500","0.0987779935336842","0.090720268820812","0.106835718246556"
"7 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Westdeutschland, alte Bundeslaender","2807","0.164275632723008","0.158653811057177","0.169897454388838"
"7 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Ostdeutschland, neue Bundeslaender","1021","0.18803240777427","0.177479986195354","0.198584829353186"
"8 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Westdeutschland, alte Bundeslaender","4837","0.275636796052312","0.268857169918709","0.282416422185916"
"8 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Ostdeutschland, neue Bundeslaender","1499","0.279732555210666","0.267610260702958","0.291854849718374"
"9 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Westdeutschland, alte Bundeslaender","2902","0.163970936404388","0.158353307015031","0.169588565793745"
"9 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Ostdeutschland, neue Bundeslaender","834","0.147356181845249","0.137783482132978","0.156928881557521"
"Ganz und gar zufrieden","2006","Westdeutschland, alte Bundeslaender","2421","0.146342835927521","0.140980099700741","0.151705572154302"
"Ganz und gar zufrieden","2006","Ostdeutschland, neue Bundeslaender","566","0.109452392677051","0.101020838549925","0.117883946804178"
"Ganz und gar unzufrieden","2007","Westdeutschland, alte Bundeslaender","","","",""
"Ganz und gar unzufrieden","2007","Ostdeutschland, neue Bundeslaender","","","",""
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2007","Westdeutschland, alte Bundeslaender","","","",""
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2007","Ostdeutschland, neue Bundeslaender","","","",""
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2007","Westdeutschland, alte Bundeslaender","","","",""
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2007","Ostdeutschland, neue Bundeslaender","","","",""
"3 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2007","Westdeutschland, alte Bundeslaender","","","",""
"3 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2007","Ostdeutschland, neue Bundeslaender","","","",""
"4 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2007","Westdeutschland, alte Bundeslaender","","","",""
"4 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2007","Ostdeutschland, neue Bundeslaender","","","",""
"5 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2007","Westdeutschland, alte Bundeslaender","","","",""
"5 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2007","Ostdeutschland, neue Bundeslaender","","","",""
"6 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2007","Westdeutschland, alte Bundeslaender","","","",""
"6 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2007","Ostdeutschland, neue Bundeslaender","","","",""
"7 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2007","Westdeutschland, alte Bundeslaender","","","",""
"7 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2007","Ostdeutschland, neue Bundeslaender","","","",""
"8 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2007","Westdeutschland, alte Bundeslaender","","","",""
"8 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2007","Ostdeutschland, neue Bundeslaender","","","",""
"9 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2007","Westdeutschland, alte Bundeslaender","","","",""
"9 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2007","Ostdeutschland, neue Bundeslaender","","","",""
"Ganz und gar zufrieden","2007","Westdeutschland, alte Bundeslaender","","","",""
"Ganz und gar zufrieden","2007","Ostdeutschland, neue Bundeslaender","","","",""
"Ganz und gar unzufrieden","2008","Westdeutschland, alte Bundeslaender","","","",""
"Ganz und gar unzufrieden","2008","Ostdeutschland, neue Bundeslaender","","","",""
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2008","Westdeutschland, alte Bundeslaender","","","",""
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2008","Ostdeutschland, neue Bundeslaender","","","",""
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2008","Westdeutschland, alte Bundeslaender","","","",""
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2008","Ostdeutschland, neue Bundeslaender","","","",""
"3 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2008","Westdeutschland, alte Bundeslaender","","","",""
"3 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2008","Ostdeutschland, neue Bundeslaender","","","",""
"4 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2008","Westdeutschland, alte Bundeslaender","","","",""
"4 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2008","Ostdeutschland, neue Bundeslaender","","","",""
"5 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2008","Westdeutschland, alte Bundeslaender","","","",""
"5 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2008","Ostdeutschland, neue Bundeslaender","","","",""
"6 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2008","Westdeutschland, alte Bundeslaender","","","",""
"6 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2008","Ostdeutschland, neue Bundeslaender","","","",""
"7 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2008","Westdeutschland, alte Bundeslaender","","","",""
"7 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2008","Ostdeutschland, neue Bundeslaender","","","",""
