"plh0181","year","sex","n","percent","lower_confidence","upper_confidence"
"Ganz und gar unzufrieden","2006","maennlich","38","0.00481444651628763","0.00348807267569531","0.00614082035687994"
"Ganz und gar unzufrieden","2006","weiblich","52","0.00588688747447998","0.00448823102996502","0.00728554391899494"
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","maennlich","33","0.00503988682908488","0.00368296771309096","0.0063968059450788"
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","weiblich","53","0.00549189027890557","0.00414070354441897","0.00684307701339216"
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","maennlich","89","0.0102922527094182","0.00835828402008389","0.0122262213987525"
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","weiblich","142","0.0154169873436617","0.01316442816469","0.0176695465226334"
"3 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","maennlich","201","0.0260096317150887","0.0229597347647962","0.0290595286653812"
"3 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","weiblich","218","0.0235390407247011","0.0207671755344281","0.0263109059149741"
"4 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","maennlich","248","0.0269835837451379","0.0238786621974588","0.030088505292817"
"4 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","weiblich","334","0.0337514359462513","0.0304497113853735","0.0370531605071291"
"5 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","maennlich","903","0.0930562359456371","0.0874894611335163","0.098623010757758"
"5 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","weiblich","915","0.0841661956321847","0.0790901272290968","0.0892422640352725"
"6 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","maennlich","934","0.0925827761419434","0.087028731809344","0.0981368204745427"
"6 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","weiblich","907","0.0823484921695651","0.0773225556444914","0.0873744286946388"
"7 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","maennlich","1927","0.185495473568327","0.178047225331144","0.192943721805509"
"7 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","weiblich","1901","0.152876697063628","0.146297176596648","0.159456217530609"
"8 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","maennlich","3046","0.27277570909161","0.264241215270445","0.281310202912775"
"8 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","weiblich","3290","0.279828932853259","0.271621366067717","0.288036499638801"
"9 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","maennlich","1717","0.154366518359997","0.147443294531182","0.161289742188811"
