"year","migback","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","direkter Migrationshintergrund","Laendlicher Raum","7.67","7.5","351","4","6","10","10","10","7.38","7.96","0","10","8","9"
"1985","direkter Migrationshintergrund","Staedtischer Raum","6.98","7.5","2525","3","5","9","10","10","6.87","7.09","0","10","7","8"
"1985","indirekter Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"1985","indirekter Migrationshintergrund","Staedtischer Raum","7.53","7.5","121","4","7","10","10","10","7.06","8","0","10","7","9"
"1985","kein Migrationshintergrund","Laendlicher Raum","8.13","7.5","1983","5","7","10","10","10","8.04","8.22","0","10","8","9"
"1985","kein Migrationshintergrund","Staedtischer Raum","7.86","7.5","5917","5","7","10","10","10","7.8","7.92","0","10","8","8"
"1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
"1986","direkter Migrationshintergrund","Laendlicher Raum","7.62","7.5","361","5","7","10","10","10","7.36","7.88","0","10","8","8"
"1986","direkter Migrationshintergrund","Staedtischer Raum","7.08","7.5","2450","4","5","9","10","10","6.98","7.18","0","10","7","7"
"1986","indirekter Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"1986","indirekter Migrationshintergrund","Staedtischer Raum","7.09","7.5","133","3","6","10","10","10","6.66","7.52","0","10","7","8"
"1986","kein Migrationshintergrund","Laendlicher Raum","8.02","7.5","1869","5","7","10","10","10","7.93","8.11","0","10","8","8"
"1986","kein Migrationshintergrund","Staedtischer Raum","7.8","7.5","5694","5","7","10","10","10","7.75","7.85","0","10","8","8"
"1986","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"1986","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
"1987","direkter Migrationshintergrund","Laendlicher Raum","7.89","7.5","76","5","7","10","10","10","7.39","8.39","0","10","8","9"
"1987","direkter Migrationshintergrund","Staedtischer Raum","7.9","7.5","367","5","7","10","10","10","7.69","8.11","0","10","8","8"
"1987","indirekter Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"1987","indirekter Migrationshintergrund","Staedtischer Raum","7.35","7.5","39","2","6","9","10","10","6.64","8.06","0","10","8","9"
"1987","kein Migrationshintergrund","Laendlicher Raum","8.05","7.5","1821","5","7","10","10","10","7.96","8.14","0","10","8","9"
"1987","kein Migrationshintergrund","Staedtischer Raum","7.84","7.5","5600","5","7","10","10","10","7.79","7.89","0","10","8","8"
"1987","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"1987","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
"1988","direkter Migrationshintergrund","Laendlicher Raum","7.46","7.5","338","5","6","9","10","10","7.18","7.74","0","10","7","8"
"1988","direkter Migrationshintergrund","Staedtischer Raum","7.2","7.5","2323","4","6","9","10","10","7.1","7.3","0","10","7","7"
"1988","indirekter Migrationshintergrund","Laendlicher Raum","8.87","9.5","31","7","8","10","10","10","8.12","9.62","2","10","8","9"
"1988","indirekter Migrationshintergrund","Staedtischer Raum","6.97","6.5","189","3","6","9","10","10","6.63","7.31","0","10","7","8"
"1988","kein Migrationshintergrund","Laendlicher Raum","7.96","7.5","1709","5","7","10","10","10","7.87","8.05","0","10","8","8"
"1988","kein Migrationshintergrund","Staedtischer Raum","7.75","7.5","5337","5","7","9","10","10","7.69","7.81","0","10","8","8"
"1988","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"1988","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
"1989","direkter Migrationshintergrund","Laendlicher Raum","7","7.5","320","3","6","9","10","10","6.7","7.3","0","10","7","8"
"1989","direkter Migrationshintergrund","Staedtischer Raum","7.07","7.5","2252","4","6","9","10","10","6.97","7.17","0","10","7","7"
"1989","indirekter Migrationshintergrund","Laendlicher Raum","8.04","8.5","34","5","6","10","10","10","7.16","8.92","0","10","6","9"
"1989","indirekter Migrationshintergrund","Staedtischer Raum","7.41","7.5","221","4","6","9","10","10","7.11","7.71","0","10","7","8"
"1989","kein Migrationshintergrund","Laendlicher Raum","7.92","7.5","1619","5","7","10","10","10","7.82","8.02","0","10","8","8"
"1989","kein Migrationshintergrund","Staedtischer Raum","7.76","7.5","5159","5","7","9","10","10","7.7","7.82","0","10","8","8"
"1989","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"1989","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
"1990","direkter Migrationshintergrund","Laendlicher Raum","7.35","7.5","417","4","6","9","10","10","7.11","7.59","0","10","8","8"
"1990","direkter Migrationshintergrund","Staedtischer Raum","7.08","7.5","2242","4","5","9","10","10","6.98","7.18","0","10","7","7"
"1990","indirekter Migrationshintergrund","Laendlicher Raum","7.85","7.5","40","4","7","9","10","10","7.2","8.5","2","10","8","9"
"1990","indirekter Migrationshintergrund","Staedtischer Raum","6.71","6.5","250","3","5","8","10","10","6.41","7.01","0","10","7","8"
"1990","kein Migrationshintergrund","Laendlicher Raum","7.52","7.5","4363","4","6","10","10","10","7.44","7.6","0","10","8","8"
"1990","kein Migrationshintergrund","Staedtischer Raum","7.59","7.5","6406","5","6","9","10","10","7.53","7.65","0","10","8","8"
"1990","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"1990","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
"1991","direkter Migrationshintergrund","Laendlicher Raum","7.44","7.5","411","5","6","9","10","10","7.2","7.68","0","10","8","8"
"1991","direkter Migrationshintergrund","Staedtischer Raum","7.13","7.5","2203","4","6","9","10","10","7.03","7.23","0","10","7","7"
"1991","indirekter Migrationshintergrund","Laendlicher Raum","6.73","6.5","46","3","5","10","10","10","5.84","7.62","0","10","5","8"
"1991","indirekter Migrationshintergrund","Staedtischer Raum","7.13","7.5","298","4","6","9","10","10","6.87","7.39","0","10","7","8"
"1991","kein Migrationshintergrund","Laendlicher Raum","7.52","7.5","4272","5","6","9","10","10","7.45","7.59","0","10","8","8"
"1991","kein Migrationshintergrund","Staedtischer Raum","7.65","7.5","6220","5","7","9","10","10","7.6","7.7","0","10","8","8"
"1991","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"1991","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
"1992","direkter Migrationshintergrund","Laendlicher Raum","7.16","7.5","410","4","6","9","10","10","6.91","7.41","0","10","7","8"
"1992","direkter Migrationshintergrund","Staedtischer Raum","7","7.5","2123","4","5","9","10","10","6.89","7.11","0","10","7","7"
"1992","indirekter Migrationshintergrund","Laendlicher Raum","7.48","7.5","60","4","6","10","10","10","6.79","8.17","0","10","7","9"
"1992","indirekter Migrationshintergrund","Staedtischer Raum","6.97","7.5","338","4","5","8","10","10","6.71","7.23","0","10","7","8"
"1992","kein Migrationshintergrund","Laendlicher Raum","7.43","7.5","4059","4","6","9","10","10","7.36","7.5","0","10","8","8"
"1992","kein Migrationshintergrund","Staedtischer Raum","7.57","7.5","6120","5","7","9","10","10","7.52","7.62","0","10","8","8"
"1992","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"1992","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
"1993","direkter Migrationshintergrund","Laendlicher Raum","7.3","7.5","411","4","6","9","10","10","7.04","7.56","0","10","7","8"
"1993","direkter Migrationshintergrund","Staedtischer Raum","7.19","7.5","2052","3","6","9","10","10","7.08","7.3","0","10","7","7"
"1993","indirekter Migrationshintergrund","Laendlicher Raum","7.43","7.5","74","5","6","9","10","10","6.92","7.94","0","10","7","8"
"1993","indirekter Migrationshintergrund","Staedtischer Raum","6.87","6.5","387","3","5","9","10","10","6.61","7.13","0","10","7","8"
"1993","kein Migrationshintergrund","Laendlicher Raum","7.46","7.5","4010","4","6","9","10","10","7.39","7.53","0","10","8","8"
"1993","kein Migrationshintergrund","Staedtischer Raum","7.61","7.5","6084","5","7","9","10","10","7.55","7.67","0","10","8","8"
"1993","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"1993","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
"1994","direkter Migrationshintergrund","Laendlicher Raum","7.35","7.5","384","5","6","9","10","10","7.1","7.6","0","10","8","8"
"1994","direkter Migrationshintergrund","Staedtischer Raum","7.19","7.5","1958","4","6","9","10","10","7.08","7.3","0","10","7","8"
"1994","indirekter Migrationshintergrund","Laendlicher Raum","6.44","6.5","73","2","5","9","9","10","5.78","7.1","0","10","7","8"
"1994","indirekter Migrationshintergrund","Staedtischer Raum","6.95","7.5","411","3","5","9","10","10","6.72","7.18","0","10","7","8"
"1994","kein Migrationshintergrund","Laendlicher Raum","7.56","7.5","3939","5","6","9","10","10","7.49","7.63","0","10","8","8"
"1994","kein Migrationshintergrund","Staedtischer Raum","7.61","7.5","6027","5","7","9","10","10","7.56","7.66","0","10","8","8"
"1994","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"1994","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
"1995","direkter Migrationshintergrund","Laendlicher Raum","7.51","7.5","465","5","7","9","10","10","7.3","7.72","0","10","7","8"
"1995","direkter Migrationshintergrund","Staedtischer Raum","7.17","7.5","2285","4","6","9","10","10","7.07","7.27","0","10","7","8"
"1995","indirekter Migrationshintergrund","Laendlicher Raum","7.66","7.5","75","4","7","9","10","10","7.14","8.18","0","10","7","8"
"1995","indirekter Migrationshintergrund","Staedtischer Raum","7.02","7.5","420","4","6","9","10","10","6.78","7.26","0","10","7","8"
"1995","kein Migrationshintergrund","Laendlicher Raum","7.48","7.5","3982","5","6","9","10","10","7.41","7.55","0","10","8","8"
"1995","kein Migrationshintergrund","Staedtischer Raum","7.58","7.5","5920","5","7","9","10","10","7.53","7.63","0","10","8","8"
"1995","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"1995","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
"1996","direkter Migrationshintergrund","Laendlicher Raum","7.38","7.5","458","4","6","9","10","10","7.19","7.57","0","10","7","8"
"1996","direkter Migrationshintergrund","Staedtischer Raum","7.17","7.5","2131","4","6","9","10","10","7.07","7.27","0","10","7","8"
"1996","indirekter Migrationshintergrund","Laendlicher Raum","6.88","7.5","88","2","6","9","9","10","6.4","7.36","0","10","8","8"
"1996","indirekter Migrationshintergrund","Staedtischer Raum","7.07","7.5","450","4","5","9","10","10","6.84","7.3","0","10","7","8"
"1996","kein Migrationshintergrund","Laendlicher Raum","7.58","7.5","3963","5","7","9","10","10","7.51","7.65","0","10","8","8"
"1996","kein Migrationshintergrund","Staedtischer Raum","7.61","7.5","5875","5","7","9","10","10","7.56","7.66","0","10","8","8"
"1996","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"1996","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
"1997","direkter Migrationshintergrund","Laendlicher Raum","7.26","7.5","429","5","6","9","10","10","7.06","7.46","0","10","7","8"
"1997","direkter Migrationshintergrund","Staedtischer Raum","7.19","7.5","2025","4","6","9","10","10","7.09","7.29","0","10","7","8"
"1997","indirekter Migrationshintergrund","Laendlicher Raum","7.82","7.5","80","5","7","10","10","10","7.34","8.3","0","10","7","8"
"1997","indirekter Migrationshintergrund","Staedtischer Raum","6.94","6.5","469","4","5","9","10","10","6.73","7.15","0","10","7","8"
"1997","kein Migrationshintergrund","Laendlicher Raum","7.52","7.5","3921","5","7","9","10","10","7.45","7.59","0","10","8","8"
"1997","kein Migrationshintergrund","Staedtischer Raum","7.57","7.5","5793","5","7","9","10","10","7.52","7.62","0","10","8","8"
"1997","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"1997","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
"1998","direkter Migrationshintergrund","Laendlicher Raum","7.48","7.5","413","5","6","9","10","10","7.28","7.68","0","10","8","8"
"1998","direkter Migrationshintergrund","Staedtischer Raum","7.12","7.5","1973","4","6","9","10","10","7.02","7.22","0","10","7","8"
"1998","indirekter Migrationshintergrund","Laendlicher Raum","7.75","7.5","88","5","7","9","10","10","7.31","8.19","0","10","8","9"
"1998","indirekter Migrationshintergrund","Staedtischer Raum","7.05","7.5","498","4","5","9","10","10","6.85","7.25","0","10","7","8"
"1998","kein Migrationshintergrund","Laendlicher Raum","7.73","7.5","4417","5","7","9","10","10","7.67","7.79","0","10","8","8"
"1998","kein Migrationshintergrund","Staedtischer Raum","7.65","7.5","6710","5","7","9","10","10","7.6","7.7","0","10","8","8"
"1998","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"1998","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
"1999","direkter Migrationshintergrund","Laendlicher Raum","7.62","7.5","359","5","7","9","10","10","7.41","7.83","0","10","8","8"
"1999","direkter Migrationshintergrund","Staedtischer Raum","7.28","7.5","1831","4","6","9","10","10","7.18","7.38","0","10","7","8"
"1999","indirekter Migrationshintergrund","Laendlicher Raum","7.79","7.5","84","6","6","9","10","10","7.44","8.14","3","10","8","9"
"1999","indirekter Migrationshintergrund","Staedtischer Raum","7.01","7.5","510","4","5","9","10","10","6.8","7.22","0","10","7","8"
"1999","kein Migrationshintergrund","Laendlicher Raum","7.74","7.5","4319","5","7","9","10","10","7.68","7.8","0","10","8","8"
"1999","kein Migrationshintergrund","Staedtischer Raum","7.68","7.5","6454","5","7","9","10","10","7.63","7.73","0","10","8","8"
"1999","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"1999","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
"2000","direkter Migrationshintergrund","Laendlicher Raum","7.63","7.5","591","5","7","9","10","10","7.47","7.79","0","10","8","8"
"2000","direkter Migrationshintergrund","Staedtischer Raum","7.26","7.5","2699","4","6","9","10","10","7.18","7.34","0","10","8","8"
"2000","indirekter Migrationshintergrund","Laendlicher Raum","7.15","7.5","115","4","6","9","10","10","6.77","7.53","3","10","7","8"
"2000","indirekter Migrationshintergrund","Staedtischer Raum","7.17","7.5","695","4","5","9","10","10","6.99","7.35","0","10","7","8"
"2000","kein Migrationshintergrund","Laendlicher Raum","7.87","7.5","7668","5","7","9","10","10","7.83","7.91","0","10","8","8"
"2000","kein Migrationshintergrund","Staedtischer Raum","7.81","7.5","12171","5","7","9","10","10","7.77","7.85","0","10","8","8"
"2000","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"2000","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
"2001","direkter Migrationshintergrund","Laendlicher Raum","7.77","7.5","523","5","7","9","10","10","7.6","7.94","0","10","8","8"
"2001","direkter Migrationshintergrund","Staedtischer Raum","7.22","7.5","2381","4","6","9","10","10","7.13","7.31","0","10","8","8"
"2001","indirekter Migrationshintergrund","Laendlicher Raum","7.74","7.5","101","5","7","9","10","10","7.36","8.12","2","10","8","8"
"2001","indirekter Migrationshintergrund","Staedtischer Raum","7.19","7.5","660","4","6","9","10","10","7.02","7.36","0","10","7","8"
"2001","kein Migrationshintergrund","Laendlicher Raum","7.87","7.5","6956","5","7","9","10","10","7.83","7.91","0","10","8","8"
"2001","kein Migrationshintergrund","Staedtischer Raum","7.84","7.5","11146","5","7","9","10","10","7.81","7.87","0","10","8","8"
"2001","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"2001","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
"2002","direkter Migrationshintergrund","Laendlicher Raum","7.37","7.5","496","5","6","9","10","10","7.2","7.54","0","10","8","8"
"2002","direkter Migrationshintergrund","Staedtischer Raum","7.1","7.5","2287","4","6","9","10","10","7.01","7.19","0","10","7","8"
"2002","indirekter Migrationshintergrund","Laendlicher Raum","7.18","7.5","95","4","6","9","9","10","6.71","7.65","0","10","8","9"
"2002","indirekter Migrationshintergrund","Staedtischer Raum","7.08","7.5","664","4","6","9","10","10","6.91","7.25","0","10","7","8"
"2002","kein Migrationshintergrund","Laendlicher Raum","7.8","7.5","7117","5","7","9","10","10","7.76","7.84","0","10","8","8"
"2002","kein Migrationshintergrund","Staedtischer Raum","7.75","7.5","12204","5","7","9","10","10","7.72","7.78","0","10","8","8"
"2002","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"2002","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
"2003","direkter Migrationshintergrund","Laendlicher Raum","7.54","7.5","472","5","7","9","10","10","7.36","7.72","0","10","8","8"
"2003","direkter Migrationshintergrund","Staedtischer Raum","7.26","7.5","2139","4","6","9","10","10","7.17","7.35","0","10","8","8"
"2003","indirekter Migrationshintergrund","Laendlicher Raum","7.58","7.5","103","5","7","9","10","10","7.21","7.95","1","10","8","9"
"2003","indirekter Migrationshintergrund","Staedtischer Raum","7.22","7.5","675","4","6","9","10","10","7.05","7.39","0","10","8","8"
"2003","kein Migrationshintergrund","Laendlicher Raum","7.78","7.5","6841","5","7","9","10","10","7.74","7.82","0","10","8","8"
"2003","kein Migrationshintergrund","Staedtischer Raum","7.73","7.5","11822","5","7","9","10","10","7.7","7.76","0","10","8","8"
"2003","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"2003","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
"2004","direkter Migrationshintergrund","Laendlicher Raum","7.76","7.5","450","5","7","9","10","10","7.59","7.93","0","10","8","8"
"2004","direkter Migrationshintergrund","Staedtischer Raum","7.26","7.5","2071","4","6","9","10","10","7.17","7.35","0","10","8","8"
"2004","indirekter Migrationshintergrund","Laendlicher Raum","7.52","7.5","114","5","7","9","10","10","7.17","7.87","0","10","8","9"
"2004","indirekter Migrationshintergrund","Staedtischer Raum","7.23","7.5","678","4","6","9","10","10","7.06","7.4","0","10","7","8"
"2004","kein Migrationshintergrund","Laendlicher Raum","7.86","7.5","6660","5","7","9","10","10","7.82","7.9","0","10","8","8"
"2004","kein Migrationshintergrund","Staedtischer Raum","7.81","7.5","11480","5","7","9","10","10","7.78","7.84","0","10","8","8"
"2004","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"2004","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
"2005","direkter Migrationshintergrund","Laendlicher Raum","7.67","7.5","418","5","7","9","10","10","7.48","7.86","0","10","8","8"
"2005","direkter Migrationshintergrund","Staedtischer Raum","7.23","7.5","1941","4","6","9","10","10","7.14","7.32","0","10","8","8"
"2005","indirekter Migrationshintergrund","Laendlicher Raum","7.52","7.5","106","5","7","9","10","10","7.11","7.93","0","10","7","8"
"2005","indirekter Migrationshintergrund","Staedtischer Raum","7.03","7.5","707","4","5","9","10","10","6.87","7.19","0","10","7","8"
"2005","kein Migrationshintergrund","Laendlicher Raum","7.82","7.5","6401","5","7","9","10","10","7.77","7.87","0","10","8","8"
"2005","kein Migrationshintergrund","Staedtischer Raum","7.76","7.5","10990","5","7","9","10","10","7.73","7.79","0","10","8","8"
"2005","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"2005","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
"2006","direkter Migrationshintergrund","Laendlicher Raum","7.55","7.5","436","4","6","9","10","10","7.35","7.75","0","10","8","8"
"2006","direkter Migrationshintergrund","Staedtischer Raum","7.16","7.5","1931","4","6","9","10","10","7.07","7.25","0","10","8","8"
"2006","indirekter Migrationshintergrund","Laendlicher Raum","7.24","7.5","118","4","6","9","10","10","6.81","7.67","0","10","8","8"
"2006","indirekter Migrationshintergrund","Staedtischer Raum","6.9","6.5","693","4","5","9","10","10","6.74","7.06","0","10","7","8"
"2006","kein Migrationshintergrund","Laendlicher Raum","7.78","7.5","6952","5","7","9","10","10","7.74","7.82","0","10","8","8"
"2006","kein Migrationshintergrund","Staedtischer Raum","7.77","7.5","11712","5","7","9","10","10","7.74","7.8","0","10","8","8"
