"m11126","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"Sehr gut","1992","17-34","Westdeutschland","1049","0.272828815247576","0.258232203045275","0.287425427449876"
"Sehr gut","1992","17-34","Ostdeutschland","422","0.306114898318369","0.281903800172368","0.33032599646437"
"Sehr gut","1992","35-65","Westdeutschland","432","0.0939719165155097","0.0856219401477763","0.102321892883243"
"Sehr gut","1992","35-65","Ostdeutschland","191","0.082968671237268","0.0714003343396289","0.0945370081349071"
"Sehr gut","1992","66 +","Westdeutschland","21","","",""
"Sehr gut","1992","66 +","Ostdeutschland","10","","",""
"Gut","1992","17-34","Westdeutschland","1729","0.493049255946014","0.476665379763514","0.509433132128514"
"Gut","1992","17-34","Ostdeutschland","739","0.525211135819819","0.498978272383726","0.551443999255911"
"Gut","1992","35-65","Westdeutschland","1778","0.378300312708088","0.364422403269141","0.392178222147035"
"Gut","1992","35-65","Ostdeutschland","1003","0.438307476034696","0.417498029240768","0.459116922828625"
"Gut","1992","66 +","Westdeutschland","211","0.198349979895716","0.174299451840612","0.222400507950821"
"Gut","1992","66 +","Ostdeutschland","58","0.141328466897416","0.106754903440373","0.175902030354459"
"Zufriedenstellend","1992","17-34","Westdeutschland","608","0.181693662532108","0.169057463205425","0.194329861858792"
"Zufriedenstellend","1992","17-34","Ostdeutschland","190","0.140099241589632","0.121865721011462","0.158332762167801"
"Zufriedenstellend","1992","35-65","Westdeutschland","1567","0.346170725464191","0.332556506711825","0.359784944216557"
"Zufriedenstellend","1992","35-65","Ostdeutschland","731","0.348968854460635","0.328978707319201","0.368959001602068"
"Zufriedenstellend","1992","66 +","Westdeutschland","453","0.41289788973489","0.383202140699234","0.442593638770546"
"Zufriedenstellend","1992","66 +","Ostdeutschland","178","0.448548648106826","0.399188760012835","0.497908536200817"
"Weniger gut","1992","17-34","Westdeutschland","151","0.0417694315968584","0.0352132207164906","0.0483256424772262"
"Weniger gut","1992","17-34","Ostdeutschland","36","0.0229336576826713","0.0150699535905612","0.0307973617747813"
"Weniger gut","1992","35-65","Westdeutschland","698","0.136816618889432","0.126982480025507","0.146650757753357"
"Weniger gut","1992","35-65","Ostdeutschland","204","0.101775161005433","0.0890946953136144","0.114455626697252"
"Weniger gut","1992","66 +","Westdeutschland","246","0.246236098565189","0.220251880035098","0.27222031709528"
"Weniger gut","1992","66 +","Ostdeutschland","94","0.24982253536844","0.206857655662966","0.292787415073914"
"Schlecht","1992","17-34","Westdeutschland","40","0.0106588346774437","0.00729359094554768","0.0140240784093396"
"Schlecht","1992","17-34","Ostdeutschland","5","","",""
"Schlecht","1992","35-65","Westdeutschland","216","0.0447404264227795","0.0388244541003043","0.0506563987452546"
"Schlecht","1992","35-65","Ostdeutschland","55","0.0279798372619675","0.0210634069905047","0.0348962675334303"
"Schlecht","1992","66 +","Westdeutschland","125","0.123274881208164","0.103446596185745","0.143103166230582"
"Schlecht","1992","66 +","Ostdeutschland","50","0.134409292358996","0.100557105646375","0.168261479071617"
"Sehr gut","1993","17-34","Westdeutschland","","","",""
"Sehr gut","1993","17-34","Ostdeutschland","","","",""
"Sehr gut","1993","35-65","Westdeutschland","","","",""
"Sehr gut","1993","35-65","Ostdeutschland","","","",""
"Sehr gut","1993","66 +","Westdeutschland","","","",""
"Sehr gut","1993","66 +","Ostdeutschland","","","",""
"Gut","1993","17-34","Westdeutschland","","","",""
"Gut","1993","17-34","Ostdeutschland","","","",""
"Gut","1993","35-65","Westdeutschland","","","",""
"Gut","1993","35-65","Ostdeutschland","","","",""
"Gut","1993","66 +","Westdeutschland","","","",""
"Gut","1993","66 +","Ostdeutschland","","","",""
"Zufriedenstellend","1993","17-34","Westdeutschland","","","",""
"Zufriedenstellend","1993","17-34","Ostdeutschland","","","",""
"Zufriedenstellend","1993","35-65","Westdeutschland","","","",""
"Zufriedenstellend","1993","35-65","Ostdeutschland","","","",""
"Zufriedenstellend","1993","66 +","Westdeutschland","","","",""
"Zufriedenstellend","1993","66 +","Ostdeutschland","","","",""
"Weniger gut","1993","17-34","Westdeutschland","","","",""
"Weniger gut","1993","17-34","Ostdeutschland","","","",""
"Weniger gut","1993","35-65","Westdeutschland","","","",""
"Weniger gut","1993","35-65","Ostdeutschland","","","",""
"Weniger gut","1993","66 +","Westdeutschland","","","",""
"Weniger gut","1993","66 +","Ostdeutschland","","","",""
"Schlecht","1993","17-34","Westdeutschland","","","",""
"Schlecht","1993","17-34","Ostdeutschland","","","",""
"Schlecht","1993","35-65","Westdeutschland","","","",""
"Schlecht","1993","35-65","Ostdeutschland","","","",""
"Schlecht","1993","66 +","Westdeutschland","","","",""
"Schlecht","1993","66 +","Ostdeutschland","","","",""
"Sehr gut","1994","17-34","Westdeutschland","736","0.193394134064411","0.180342872005424","0.206445396123397"
"Sehr gut","1994","17-34","Ostdeutschland","222","0.174559427812055","0.15370739259103","0.19541146303308"
"Sehr gut","1994","35-65","Westdeutschland","258","0.0542373420424157","0.0475963679003417","0.0608783161844896"
"Sehr gut","1994","35-65","Ostdeutschland","101","0.0477335237848176","0.0386214033641338","0.0568456442055013"
"Sehr gut","1994","66 +","Westdeutschland","18","","",""
"Sehr gut","1994","66 +","Ostdeutschland","5","","",""
"Gut","1994","17-34","Westdeutschland","1784","0.50870395134296","0.492184167340228","0.525223735345693"
"Gut","1994","17-34","Ostdeutschland","694","0.539624211850626","0.512244060747373","0.567004362953878"
"Gut","1994","35-65","Westdeutschland","1671","0.372334996113952","0.35816001806158","0.386509974166325"
"Gut","1994","35-65","Ostdeutschland","792","0.354607709664819","0.334161423822029","0.375053995507609"
"Gut","1994","66 +","Westdeutschland","211","0.180983039689883","0.158095521331149","0.203870558048618"
"Gut","1994","66 +","Ostdeutschland","70","0.179409593085971","0.141713824438722","0.217105361733221"
"Zufriedenstellend","1994","17-34","Westdeutschland","717","0.214148775608004","0.200592882414938","0.227704668801071"
"Zufriedenstellend","1994","17-34","Ostdeutschland","284","0.230684808411564","0.20754309339417","0.253826523428959"
"Zufriedenstellend","1994","35-65","Westdeutschland","1586","0.370089513709938","0.35593208713877","0.384246940281106"
"Zufriedenstellend","1994","35-65","Ostdeutschland","852","0.418980705310015","0.397893416611367","0.440067994008662"
"Zufriedenstellend","1994","66 +","Westdeutschland","445","0.408520829160138","0.379298814854538","0.437742843465739"
"Zufriedenstellend","1994","66 +","Ostdeutschland","186","0.463394444982719","0.414404207045412","0.512384682920025"
"Weniger gut","1994","17-34","Westdeutschland","243","0.0736606786975512","0.0650288446695403","0.0822925127255621"
"Weniger gut","1994","17-34","Ostdeutschland","66","0.0519450483388169","0.0397545145654571","0.0641355821121767"
"Weniger gut","1994","35-65","Westdeutschland","768","0.163980708411079","0.153124053402317","0.17483736341984"
"Weniger gut","1994","35-65","Ostdeutschland","294","0.144264484405148","0.12924766537365","0.159281303436647"
"Weniger gut","1994","66 +","Westdeutschland","289","0.273087673638103","0.246601124156265","0.299574223119941"
"Weniger gut","1994","66 +","Ostdeutschland","90","0.22256531807714","0.18169883584587","0.263431800308409"
"Schlecht","1994","17-34","Westdeutschland","38","0.0100924602870734","0.00678955580689457","0.0133953647672522"
"Schlecht","1994","17-34","Ostdeutschland","7","","",""
