,Unnamed: 0,year,regtyp,sampreg,m11126,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1992,Urban regions,West,Very good,0.13732,1189,13171,0.13157,0.1429
1,1,1992,Urban regions,West,Good,0.38456,2945,13171,0.37616,0.39501
2,2,1992,Urban regions,West,Satisfactory,0.30417,2031,13171,0.29619,0.3139
3,3,1992,Urban regions,West,Poor,0.12783,878,13171,0.12242,0.13321
4,4,1992,Urban regions,West,Bad,0.04612,278,13171,0.04306,0.05015
5,5,1992,Urban regions,East,Very good,0.14468,195,13171,0.13519,0.1534
6,6,1992,Urban regions,East,Good,0.43637,618,13171,0.4163,0.45621
7,7,1992,Urban regions,East,Satisfactory,0.29201,364,13171,0.27733,0.30537
8,8,1992,Urban regions,East,Poor,0.09362,106,13171,0.08364,0.10219
9,9,1992,Urban regions,East,Bad,0.03332,32,13171,0.02783,0.03975
10,10,1992,Rural regions,West,Very good,0.13098,305,13171,0.12331,0.14043
11,11,1992,Rural regions,West,Good,0.37035,768,13171,0.35456,0.38529
12,12,1992,Rural regions,West,Satisfactory,0.317,597,13171,0.30164,0.33116
13,13,1992,Rural regions,West,Poor,0.12534,217,13171,0.11629,0.13457
14,14,1992,Rural regions,West,Bad,0.05633,103,13171,0.04977,0.06254
15,15,1992,Rural regions,East,Very good,0.14358,402,13171,0.13566,0.15125
16,16,1992,Rural regions,East,Good,0.41122,1137,13171,0.39931,0.42394
17,17,1992,Rural regions,East,Satisfactory,0.30249,711,13171,0.29025,0.3134
18,18,1992,Rural regions,East,Poor,0.10309,221,13171,0.09521,0.11015
19,19,1992,Rural regions,East,Bad,0.03962,74,13171,0.03519,0.04354
20,20,1994,Urban regions,West,Very good,0.088,778,12847,0.08319,0.09285
21,21,1994,Urban regions,West,Good,0.37952,2880,12847,0.37005,0.39024
22,22,1994,Urban regions,West,Satisfactory,0.32784,2149,12847,0.31877,0.33734
23,23,1994,Urban regions,West,Poor,0.1596,1053,12847,0.15194,0.16553
24,24,1994,Urban regions,West,Bad,0.04504,271,12847,0.04097,0.0485
25,25,1994,Urban regions,East,Very good,0.0878,121,12847,0.07897,0.09731
26,26,1994,Urban regions,East,Good,0.37088,526,12847,0.35274,0.38645
27,27,1994,Urban regions,East,Satisfactory,0.35586,448,12847,0.34114,0.37593
28,28,1994,Urban regions,East,Poor,0.14845,176,12847,0.13613,0.16004
29,29,1994,Urban regions,East,Bad,0.03701,37,12847,0.03251,0.04168
30,30,1994,Rural regions,West,Very good,0.09801,234,12847,0.08671,0.10797
31,31,1994,Rural regions,West,Good,0.3734,786,12847,0.35768,0.3921
32,32,1994,Rural regions,West,Satisfactory,0.33466,599,12847,0.31923,0.34987
33,33,1994,Rural regions,West,Poor,0.14761,247,12847,0.13671,0.16124
34,34,1994,Rural regions,West,Bad,0.04632,76,12847,0.03991,0.05292
35,35,1994,Rural regions,East,Very good,0.07752,207,12847,0.0723,0.08531
36,36,1994,Rural regions,East,Good,0.39001,1030,12847,0.37778,0.4039
37,37,1994,Rural regions,East,Satisfactory,0.37472,874,12847,0.35815,0.38813
38,38,1994,Rural regions,East,Poor,0.11736,274,12847,0.1096,0.12653
39,39,1994,Rural regions,East,Bad,0.04039,81,12847,0.03669,0.04542
40,40,1995,Urban regions,West,Very good,0.08353,787,13243,0.07941,0.0877
41,41,1995,Urban regions,West,Good,0.38866,3106,13243,0.37888,0.39993
42,42,1995,Urban regions,West,Satisfactory,0.33286,2255,13243,0.32471,0.34285
43,43,1995,Urban regions,West,Poor,0.15036,1040,13243,0.14373,0.15746
44,44,1995,Urban regions,West,Bad,0.04459,289,13243,0.04126,0.04901
45,45,1995,Urban regions,East,Very good,0.07476,99,13243,0.06357,0.08484
46,46,1995,Urban regions,East,Good,0.35067,464,13243,0.33271,0.36957
47,47,1995,Urban regions,East,Satisfactory,0.37641,438,13243,0.35301,0.39344
48,48,1995,Urban regions,East,Poor,0.15155,167,13243,0.13901,0.16486
49,49,1995,Urban regions,East,Bad,0.04662,41,13243,0.04018,0.05386
50,50,1995,Rural regions,West,Very good,0.09316,230,13243,0.08465,0.10319
51,51,1995,Rural regions,West,Good,0.37501,852,13243,0.35713,0.39465
52,52,1995,Rural regions,West,Satisfactory,0.33333,654,13243,0.31685,0.34995
53,53,1995,Rural regions,West,Poor,0.16046,279,13243,0.14721,0.17346
54,54,1995,Rural regions,West,Bad,0.03805,69,13243,0.03122,0.04449
55,55,1995,Rural regions,East,Very good,0.06413,187,13243,0.05772,0.07006
