year,bula_h,sex,m11126,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1992,Schleswig-Holstein,male,Good,0.56236,53,12584,0.56129,0.56343
1992,Schleswig-Holstein,male,Satisfactory,0.43764,36,12584,0.43657,0.43871
1992,Schleswig-Holstein,female,Good,0.60269,51,12584,0.60154,0.60385
1992,Schleswig-Holstein,female,Satisfactory,0.39731,35,12584,0.39615,0.39846
1992,Lower Saxony,male,Very good,0.17980,94,12584,0.17935,0.18025
1992,Lower Saxony,male,Good,0.39051,184,12584,0.38993,0.39108
1992,Lower Saxony,male,Satisfactory,0.31778,138,12584,0.31723,0.31833
1992,Lower Saxony,male,Poor,0.11191,47,12584,0.11154,0.11228
1992,Lower Saxony,female,Very good,0.12007,63,12584,0.11968,0.12045
1992,Lower Saxony,female,Good,0.35363,178,12584,0.35307,0.35420
1992,Lower Saxony,female,Satisfactory,0.36734,155,12584,0.36677,0.36791
1992,Lower Saxony,female,Poor,0.15896,67,12584,0.15853,0.15939
1992,North Rhine-Westphalia,male,Very good,0.15746,233,12584,0.15718,0.15773
1992,North Rhine-Westphalia,male,Good,0.40501,509,12584,0.40464,0.40539
1992,North Rhine-Westphalia,male,Satisfactory,0.28709,327,12584,0.28675,0.28744
1992,North Rhine-Westphalia,male,Poor,0.11726,131,12584,0.11702,0.11750
1992,North Rhine-Westphalia,male,Bad,0.03318,33,12584,0.03304,0.03332
1992,North Rhine-Westphalia,female,Very good,0.13360,204,12584,0.13336,0.13385
1992,North Rhine-Westphalia,female,Good,0.37832,507,12584,0.37798,0.37867
1992,North Rhine-Westphalia,female,Satisfactory,0.32226,367,12584,0.32192,0.32259
1992,North Rhine-Westphalia,female,Poor,0.12872,158,12584,0.12848,0.12896
1992,North Rhine-Westphalia,female,Bad,0.03709,47,12584,0.03695,0.03723
1992,Hesse,male,Very good,0.16212,91,12584,0.16163,0.16261
1992,Hesse,male,Good,0.47610,203,12584,0.47544,0.47676
1992,Hesse,male,Satisfactory,0.27100,113,12584,0.27041,0.27158
1992,Hesse,male,Poor,0.09078,38,12584,0.09040,0.09116
1992,Hesse,female,Very good,0.12369,64,12584,0.12327,0.12411
1992,Hesse,female,Good,0.37534,194,12584,0.37472,0.37596
1992,Hesse,female,Satisfactory,0.30898,130,12584,0.30839,0.30957
1992,Hesse,female,Poor,0.19200,70,12584,0.19150,0.19250
1992,"Rhineland-Palatinate, Saarland",male,Very good,0.14249,52,12584,0.14198,0.14300
1992,"Rhineland-Palatinate, Saarland",male,Good,0.44533,130,12584,0.44460,0.44605
1992,"Rhineland-Palatinate, Saarland",male,Satisfactory,0.29179,86,12584,0.29112,0.29245
1992,"Rhineland-Palatinate, Saarland",male,Poor,0.12040,33,12584,0.11992,0.12087
1992,"Rhineland-Palatinate, Saarland",female,Very good,0.10667,40,12584,0.10623,0.10710
1992,"Rhineland-Palatinate, Saarland",female,Good,0.32391,121,12584,0.32324,0.32457
1992,"Rhineland-Palatinate, Saarland",female,Satisfactory,0.41287,122,12584,0.41217,0.41357
1992,"Rhineland-Palatinate, Saarland",female,Poor,0.15656,47,12584,0.15604,0.15707
1992,Baden-Wuerttemberg,male,Very good,0.14625,151,12584,0.14590,0.14661
1992,Baden-Wuerttemberg,male,Good,0.45294,386,12584,0.45245,0.45344
1992,Baden-Wuerttemberg,male,Satisfactory,0.29258,216,12584,0.29213,0.29303
1992,Baden-Wuerttemberg,male,Poor,0.10822,98,12584,0.10791,0.10853
1992,Baden-Wuerttemberg,female,Very good,0.11244,120,12584,0.11215,0.11274
1992,Baden-Wuerttemberg,female,Good,0.35643,330,12584,0.35598,0.35687
1992,Baden-Wuerttemberg,female,Satisfactory,0.32154,271,12584,0.32111,0.32198
1992,Baden-Wuerttemberg,female,Poor,0.14410,119,12584,0.14378,0.14443
1992,Baden-Wuerttemberg,female,Bad,0.06549,43,12584,0.06526,0.06572
1992,Bavaria,male,Very good,0.16092,157,12584,0.16058,0.16125
1992,Bavaria,male,Good,0.41263,338,12584,0.41218,0.41307
1992,Bavaria,male,Satisfactory,0.30107,224,12584,0.30066,0.30149
1992,Bavaria,male,Poor,0.07586,59,12584,0.07562,0.07610
1992,Bavaria,male,Bad,0.04952,34,12584,0.04933,0.04972
1992,Bavaria,female,Very good,0.12368,115,12584,0.12338,0.12397
1992,Bavaria,female,Good,0.36511,329,12584,0.36468,0.36555
1992,Bavaria,female,Satisfactory,0.31987,250,12584,0.31946,0.32029
1992,Bavaria,female,Poor,0.13962,94,12584,0.13931,0.13993
1992,Bavaria,female,Bad,0.05171,36,12584,0.05151,0.05191
1992,Berlin,male,Very good,0.15730,49,12584,0.15667,0.15793
1992,Berlin,male,Good,0.44637,124,12584,0.44551,0.44723
1992,Berlin,male,Satisfactory,0.26757,63,12584,0.26680,0.26833
1992,Berlin,male,Poor,0.12876,34,12584,0.12818,0.12934
1992,Berlin,female,Very good,0.11218,44,12584,0.11166,0.11270
