year,migback,sex,m11126,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,No migration background,male,Very good,0.12432,836,4928,0.11511,0.13354
1992,No migration background,male,Good,0.34778,2171,4928,0.33448,0.36108
1992,No migration background,male,Satisfactory,0.23778,1348,4928,0.22589,0.24967
1992,No migration background,male,Poor,0.08012,418,4928,0.07254,0.08770
1992,No migration background,male,Bad,0.03229,155,4928,0.02735,0.03723
1992,No migration background,female,Very good,0.09895,733,5414,0.09099,0.10690
1992,No migration background,female,Good,0.30245,2183,5414,0.29022,0.31469
1992,No migration background,female,Satisfactory,0.27810,1652,5414,0.26616,0.29003
1992,No migration background,female,Poor,0.11723,631,5414,0.10866,0.12580
1992,No migration background,female,Bad,0.04476,215,5414,0.03925,0.05027
1992,Direct migration background,male,Very good,0.16008,235,1322,0.14030,0.17985
1992,Direct migration background,male,Good,0.38551,535,1322,0.35927,0.41176
1992,Direct migration background,male,Satisfactory,0.27744,338,1322,0.25329,0.30158
1992,Direct migration background,male,Poor,0.11325,161,1322,0.09616,0.13034
1992,Direct migration background,male,Bad,0.04407,53,1322,0.03300,0.05514
1992,Direct migration background,female,Very good,0.12662,151,1224,0.10798,0.14525
1992,Direct migration background,female,Good,0.35994,465,1224,0.33304,0.38684
1992,Direct migration background,female,Satisfactory,0.27094,347,1224,0.24603,0.29585
1992,Direct migration background,female,Poor,0.16790,197,1224,0.14695,0.18885
1992,Direct migration background,female,Bad,0.04958,64,1224,0.03741,0.06174
1992,Indirect migration background,male,Very good,0.10561,98,182,0.06084,0.15039
1992,Indirect migration background,male,Good,0.10230,84,182,0.05815,0.14645
1992,Indirect migration background,female,Very good,0.09198,72,152,0.04588,0.13807
1992,Indirect migration background,female,Good,0.10844,80,152,0.05884,0.15803
1994,No migration background,male,Very good,0.07568,478,4751,0.06815,0.08320
1994,No migration background,male,Good,0.33835,2069,4751,0.32490,0.35181
1994,No migration background,male,Satisfactory,0.27204,1547,4751,0.25939,0.28470
1994,No migration background,male,Poor,0.09959,506,4751,0.09108,0.10811
1994,No migration background,male,Bad,0.02933,151,4751,0.02453,0.03413
1994,No migration background,female,Very good,0.06015,447,5260,0.05372,0.06658
1994,No migration background,female,Good,0.29168,2008,5260,0.27940,0.30397
1994,No migration background,female,Satisfactory,0.29836,1788,5260,0.28600,0.31073
1994,No migration background,female,Poor,0.14625,814,5260,0.13670,0.15580
1994,No migration background,female,Bad,0.04409,203,5260,0.03854,0.04964
1994,Direct migration background,male,Very good,0.11548,154,1205,0.09743,0.13353
1994,Direct migration background,male,Good,0.39123,500,1205,0.36367,0.41880
1994,Direct migration background,male,Satisfactory,0.28143,318,1205,0.25603,0.30683
1994,Direct migration background,male,Poor,0.15871,185,1205,0.13807,0.17935
1994,Direct migration background,male,Bad,0.03966,48,1205,0.02864,0.05068
1994,Direct migration background,female,Very good,0.08157,102,1144,0.06570,0.09743
1994,Direct migration background,female,Good,0.34787,440,1144,0.32026,0.37549
1994,Direct migration background,female,Satisfactory,0.31567,330,1144,0.28872,0.34261
1994,Direct migration background,female,Poor,0.18361,214,1144,0.16116,0.20605
1994,Direct migration background,female,Bad,0.05216,58,1144,0.03927,0.06505
1994,Indirect migration background,male,Very good,0.12409,93,230,0.08139,0.16679
1994,Indirect migration background,male,Good,0.12199,106,230,0.07960,0.16438
1994,Indirect migration background,male,Satisfactory,0.04860,31,230,0.02075,0.07645
1994,Indirect migration background,female,Very good,0.08754,66,221,0.05020,0.12489
1994,Indirect migration background,female,Good,0.13081,99,221,0.08625,0.17537
1994,Indirect migration background,female,Satisfactory,0.08086,56,221,0.04483,0.11688
1995,No migration background,male,Very good,0.06594,439,4733,0.05887,0.07301
1995,No migration background,male,Good,0.33814,2058,4733,0.32466,0.35162
1995,No migration background,male,Satisfactory,0.28379,1584,4733,0.27094,0.29663
1995,No migration background,male,Poor,0.10061,523,4733,0.09204,0.10918
1995,No migration background,male,Bad,0.02735,129,4733,0.02271,0.03200
1995,No migration background,female,Very good,0.05393,409,5238,0.04781,0.06005
1995,No migration background,female,Good,0.29835,2042,5238,0.28595,0.31074
1995,No migration background,female,Satisfactory,0.29561,1776,5238,0.28325,0.30797
1995,No migration background,female,Poor,0.14851,803,5238,0.13888,0.15814
1995,No migration background,female,Bad,0.04201,208,5238,0.03658,0.04745
1995,Direct migration background,male,Very good,0.13622,187,1402,0.11825,0.15418
1995,Direct migration background,male,Good,0.36882,597,1402,0.34355,0.39408
1995,Direct migration background,male,Satisfactory,0.25586,364,1402,0.23301,0.27870
1995,Direct migration background,male,Poor,0.13253,197,1402,0.11478,0.15029
1995,Direct migration background,male,Bad,0.03418,57,1402,0.02467,0.04370
1995,Direct migration background,female,Very good,0.08698,122,1369,0.07205,0.10191
1995,Direct migration background,female,Good,0.35775,535,1369,0.33235,0.38315
1995,Direct migration background,female,Satisfactory,0.28945,413,1369,0.26541,0.31348
1995,Direct migration background,female,Poor,0.14871,228,1369,0.12985,0.16756
1995,Direct migration background,female,Bad,0.05863,71,1369,0.04618,0.07108
1995,Indirect migration background,male,Very good,0.10107,86,235,0.06245,0.13969
1995,Indirect migration background,male,Good,0.13233,108,235,0.08891,0.17575
1995,Indirect migration background,male,Satisfactory,0.06044,41,235,0.02990,0.09097
1995,Indirect migration background,female,Very good,0.06887,60,221,0.03541,0.10233
1995,Indirect migration background,female,Good,0.15954,119,221,0.11115,0.20793
1995,Indirect migration background,female,Satisfactory,0.07326,42,221,0.03883,0.10769
1996,No migration background,male,Very good,0.06375,417,4709,0.05677,0.07073
1996,No migration background,male,Good,0.33887,2042,4709,0.32535,0.35239
1996,No migration background,male,Satisfactory,0.29016,1630,4709,0.27720,0.30313
1996,No migration background,male,Poor,0.09666,485,4709,0.08822,0.10511
1996,No migration background,male,Bad,0.02852,135,4709,0.02377,0.03328
1996,No migration background,female,Very good,0.06324,444,5177,0.05661,0.06987
1996,No migration background,female,Good,0.29065,1966,5177,0.27827,0.30302
1996,No migration background,female,Satisfactory,0.30371,1793,5177,0.29118,0.31623
1996,No migration background,female,Poor,0.14567,794,5177,0.13606,0.15528
1996,No migration background,female,Bad,0.03738,180,5177,0.03221,0.04255
1996,Direct migration background,male,Very good,0.09156,150,1305,0.07590,0.10721
1996,Direct migration background,male,Good,0.36421,519,1305,0.33809,0.39033
1996,Direct migration background,male,Satisfactory,0.30223,385,1305,0.27731,0.32716
1996,Direct migration background,male,Poor,0.12318,183,1305,0.10534,0.14102
1996,Direct migration background,male,Bad,0.05482,68,1305,0.04246,0.06717
1996,Direct migration background,female,Very good,0.10291,124,1288,0.08631,0.11951
1996,Direct migration background,female,Good,0.31534,469,1288,0.28996,0.34073
1996,Direct migration background,female,Satisfactory,0.32268,430,1288,0.29714,0.34823
1996,Direct migration background,female,Poor,0.14431,198,1288,0.12511,0.16351
1996,Direct migration background,female,Bad,0.06275,67,1288,0.04950,0.07600
1996,Indirect migration background,male,Very good,0.11886,95,248,0.07850,0.15922
1996,Indirect migration background,male,Good,0.10884,109,248,0.07000,0.14768
1996,Indirect migration background,male,Satisfactory,0.06984,44,248,0.03806,0.10163
1996,Indirect migration background,female,Very good,0.06186,58,259,0.03246,0.09125
1996,Indirect migration background,female,Good,0.16064,131,259,0.11584,0.20545
1996,Indirect migration background,female,Satisfactory,0.09996,70,259,0.06336,0.13656
1997,No migration background,male,Very good,0.06539,406,4664,0.05830,0.07249
1997,No migration background,male,Good,0.34397,2102,4664,0.33034,0.35761
1997,No migration background,male,Satisfactory,0.28897,1533,4664,0.27596,0.30198
1997,No migration background,male,Poor,0.09359,483,4664,0.08523,0.10195
1997,No migration background,male,Bad,0.02950,140,4664,0.02465,0.03436
1997,No migration background,female,Very good,0.06093,392,5113,0.05437,0.06749
1997,No migration background,female,Good,0.29452,2017,5113,0.28202,0.30701
1997,No migration background,female,Satisfactory,0.30958,1808,5113,0.29691,0.32226
1997,No migration background,female,Poor,0.13597,701,5113,0.12657,0.14537
1997,No migration background,female,Bad,0.04129,195,5113,0.03583,0.04674
1997,Direct migration background,male,Very good,0.11965,152,1248,0.10164,0.13767
1997,Direct migration background,male,Good,0.35724,528,1248,0.33064,0.38384
1997,Direct migration background,male,Satisfactory,0.27949,349,1248,0.25458,0.30439
1997,Direct migration background,male,Poor,0.13215,168,1248,0.11335,0.15094
1997,Direct migration background,male,Bad,0.04835,51,1248,0.03644,0.06026
1997,Direct migration background,female,Very good,0.07336,69,1220,0.05872,0.08800
1997,Direct migration background,female,Good,0.34483,495,1220,0.31815,0.37151
1997,Direct migration background,female,Satisfactory,0.31446,384,1220,0.28840,0.34053
1997,Direct migration background,female,Poor,0.17993,210,1220,0.15837,0.20150
1997,Direct migration background,female,Bad,0.04377,62,1220,0.03229,0.05526
1997,Indirect migration background,male,Very good,0.12062,95,275,0.08205,0.15918
1997,Indirect migration background,male,Good,0.16112,143,275,0.11759,0.20465
1997,Indirect migration background,male,Satisfactory,0.06033,37,275,0.03213,0.08852
1997,Indirect migration background,female,Very good,0.06604,58,252,0.03531,0.09676
1997,Indirect migration background,female,Good,0.19685,145,252,0.14766,0.24604
1997,Indirect migration background,female,Satisfactory,0.08418,49,252,0.04983,0.11854
1998,No migration background,male,Very good,0.08467,562,5363,0.07722,0.09213
1998,No migration background,male,Good,0.35184,2405,5363,0.33906,0.36462
1998,No migration background,male,Satisfactory,0.26205,1672,5363,0.25028,0.27382
1998,No migration background,male,Poor,0.09821,569,5363,0.09025,0.10618
1998,No migration background,male,Bad,0.02829,155,5363,0.02386,0.03273
1998,No migration background,female,Very good,0.07022,525,5859,0.06368,0.07677
1998,No migration background,female,Good,0.31211,2399,5859,0.30025,0.32398
1998,No migration background,female,Satisfactory,0.28954,1920,5859,0.27793,0.30116
1998,No migration background,female,Poor,0.12677,762,5859,0.11825,0.13530
1998,No migration background,female,Bad,0.04588,253,5859,0.04052,0.05124
1998,Direct migration background,male,Very good,0.09967,132,1209,0.08277,0.11656
1998,Direct migration background,male,Good,0.39125,529,1209,0.36373,0.41877
1998,Direct migration background,male,Satisfactory,0.28484,341,1209,0.25939,0.31029
1998,Direct migration background,male,Poor,0.12779,155,1209,0.10896,0.14661
1998,Direct migration background,male,Bad,0.03741,52,1209,0.02671,0.04811
1998,Direct migration background,female,Very good,0.09172,79,1183,0.07527,0.10818
1998,Direct migration background,female,Good,0.36868,488,1183,0.34117,0.39618
1998,Direct migration background,female,Satisfactory,0.28697,366,1183,0.26119,0.31276
1998,Direct migration background,female,Poor,0.15120,201,1183,0.13078,0.17163
1998,Direct migration background,female,Bad,0.04852,49,1183,0.03627,0.06077
1998,Indirect migration background,male,Very good,0.13336,103,282,0.09361,0.17312
1998,Indirect migration background,male,Good,0.18435,144,282,0.13901,0.22969
1998,Indirect migration background,male,Satisfactory,0.05800,35,282,0.03067,0.08534
1998,Indirect migration background,female,Very good,0.09116,73,263,0.05630,0.12601
1998,Indirect migration background,female,Good,0.16067,132,263,0.11620,0.20513
1998,Indirect migration background,female,Satisfactory,0.09268,58,263,0.05757,0.12779
1999,No migration background,male,Very good,0.06872,447,5187,0.06184,0.07561
1999,No migration background,male,Good,0.35048,2278,5187,0.33749,0.36347
1999,No migration background,male,Satisfactory,0.28284,1747,5187,0.27058,0.29509
