,Unnamed: 0,year,age_gr,sex,m11126,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1992,17-29 y.,male,Very good,0.34108,671,13202,0.32091,0.36123
1,1,1992,17-29 y.,male,Good,0.49712,848,13202,0.47827,0.52086
2,2,1992,17-29 y.,male,Satisfactory,0.1403,224,13202,0.12758,0.15474
3,3,1992,17-29 y.,male,Poor,0.0215,42,13202,0.0169,0.02635
4,4,1992,17-29 y.,female,Very good,0.27624,508,13202,0.2587,0.29564
5,5,1992,17-29 y.,female,Good,0.50632,884,13202,0.48287,0.53654
6,6,1992,17-29 y.,female,Satisfactory,0.1705,285,13202,0.15447,0.18244
7,7,1992,17-29 y.,female,Poor,0.04694,77,13202,0.03974,0.05509
8,8,1992,30-45 y.,male,Very good,0.1663,347,13202,0.15462,0.17887
9,9,1992,30-45 y.,male,Good,0.52472,1077,13202,0.50239,0.54562
10,10,1992,30-45 y.,male,Satisfactory,0.24474,475,13202,0.22779,0.25964
11,11,1992,30-45 y.,male,Poor,0.06424,132,13202,0.05585,0.07154
12,12,1992,30-45 y.,female,Very good,0.15572,323,13202,0.14322,0.16689
13,13,1992,30-45 y.,female,Good,0.48922,1102,13202,0.46962,0.5112
14,14,1992,30-45 y.,female,Satisfactory,0.24822,529,13202,0.23109,0.26337
15,15,1992,30-45 y.,female,Poor,0.08325,195,13202,0.07499,0.09115
16,16,1992,30-45 y.,female,Bad,0.02359,44,13202,0.01823,0.02874
17,17,1992,46-65 y.,male,Very good,0.07445,141,13202,0.06755,0.08434
18,18,1992,46-65 y.,male,Good,0.34584,737,13202,0.33301,0.36252
19,19,1992,46-65 y.,male,Satisfactory,0.38616,775,13202,0.36734,0.40131
20,20,1992,46-65 y.,male,Poor,0.14786,303,13202,0.13478,0.159
21,21,1992,46-65 y.,male,Bad,0.04568,92,13202,0.03912,0.05333
22,22,1992,46-65 y.,female,Very good,0.0611,104,13202,0.05542,0.06668
23,23,1992,46-65 y.,female,Good,0.30378,601,13202,0.28927,0.31922
24,24,1992,46-65 y.,female,Satisfactory,0.41395,808,13202,0.39847,0.42943
25,25,1992,46-65 y.,female,Poor,0.16345,340,13202,0.15081,0.17464
26,26,1992,46-65 y.,female,Bad,0.05772,123,13202,0.05027,0.06451
27,27,1992,66 and older,male,Good,0.25519,128,13202,0.233,0.27335
28,28,1992,66 and older,male,Satisfactory,0.40717,227,13202,0.38831,0.43169
29,29,1992,66 and older,male,Poor,0.1984,107,13202,0.18455,0.212
30,30,1992,66 and older,male,Bad,0.13924,78,13202,0.12785,0.15361
31,31,1992,66 and older,female,Good,0.15698,141,13202,0.14392,0.17052
32,32,1992,66 and older,female,Satisfactory,0.43954,404,13202,0.42047,0.46218
