,Unnamed: 0,year,age_gr,m11126,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1992,17-29 y.,Very good,0.30983,1179,13262,0.29693,0.32167
1,1,1992,17-29 y.,Good,0.50155,1732,13262,0.48191,0.51793
2,2,1992,17-29 y.,Satisfactory,0.15486,509,13262,0.1458,0.16466
3,3,1992,17-29 y.,Poor,0.03376,119,13262,0.02918,0.03857
4,4,1992,30-45 y.,Very good,0.15985,670,13262,0.15161,0.16702
5,5,1992,30-45 y.,Good,0.50335,2179,13262,0.4889,0.51931
6,6,1992,30-45 y.,Satisfactory,0.24468,1004,13262,0.23364,0.25578
7,7,1992,30-45 y.,Poor,0.07317,327,13262,0.06829,0.07824
8,8,1992,30-45 y.,Bad,0.01895,73,13262,0.01596,0.02233
9,9,1992,46-65 y.,Very good,0.06777,245,13262,0.06277,0.07296
10,10,1992,46-65 y.,Good,0.32479,1338,13262,0.31211,0.33382
11,11,1992,46-65 y.,Satisfactory,0.40007,1583,13262,0.38878,0.4125
12,12,1992,46-65 y.,Poor,0.15566,643,13262,0.14865,0.16474
13,13,1992,46-65 y.,Bad,0.05171,215,13262,0.04691,0.05595
14,14,1992,66 and older,Very good,0.02041,31,13262,0.0172,0.02366
15,15,1992,66 and older,Good,0.18829,269,13262,0.17736,0.19803
16,16,1992,66 and older,Satisfactory,0.41919,631,13262,0.40472,0.4364
17,17,1992,66 and older,Poor,0.24688,340,13262,0.23445,0.25947
18,18,1992,66 and older,Bad,0.12523,175,13262,0.11772,0.13368
19,19,1994,17-29 y.,Very good,0.2076,747,12824,0.19778,0.22157
20,20,1994,17-29 y.,Good,0.51775,1733,12824,0.4969,0.5341
21,21,1994,17-29 y.,Satisfactory,0.20949,649,12824,0.19553,0.22342
22,22,1994,17-29 y.,Poor,0.05663,179,12824,0.04927,0.06384
23,23,1994,17-29 y.,Bad,0.00854,32,12824,0.00674,0.0102
24,24,1994,30-45 y.,Very good,0.0998,418,12824,0.09256,0.1081
25,25,1994,30-45 y.,Good,0.47938,1989,12824,0.46815,0.49603
26,26,1994,30-45 y.,Satisfactory,0.30006,1231,12824,0.28722,0.31212
27,27,1994,30-45 y.,Poor,0.10168,433,12824,0.09551,0.10912
28,28,1994,30-45 y.,Bad,0.01908,70,12824,0.01596,0.02231
29,29,1994,46-65 y.,Very good,0.04208,152,12824,0.03773,0.04738
30,30,1994,46-65 y.,Good,0.31132,1219,12824,0.29982,0.32222
31,31,1994,46-65 y.,Satisfactory,0.40691,1559,12824,0.39519,0.41973
32,32,1994,46-65 y.,Poor,0.19294,759,12824,0.18267,0.20281
33,33,1994,46-65 y.,Bad,0.04675,192,12824,0.04145,0.05231
34,34,1994,66 and older,Good,0.18394,281,12824,0.17393,0.19491
35,35,1994,66 and older,Satisfactory,0.42578,631,12824,0.411,0.44243
36,36,1994,66 and older,Poor,0.2689,379,12824,0.25246,0.28479
37,37,1994,66 and older,Bad,0.12138,171,12824,0.11153,0.13025
38,38,1995,17-29 y.,Very good,0.19856,704,13243,0.18752,0.2103
39,39,1995,17-29 y.,Good,0.54409,1788,13243,0.52414,0.56487
40,40,1995,17-29 y.,Satisfactory,0.1907,634,13243,0.1796,0.20211
41,41,1995,17-29 y.,Poor,0.05852,184,13243,0.05177,0.06637
42,42,1995,17-29 y.,Bad,0.00812,31,13243,0.00558,0.0118
43,43,1995,30-45 y.,Very good,0.09295,444,13243,0.08684,0.09996
44,44,1995,30-45 y.,Good,0.47964,2139,13243,0.46312,0.49668
45,45,1995,30-45 y.,Satisfactory,0.3215,1364,13243,0.30923,0.33346
