,Unnamed: 0,year,migback,pgisced97,m11126,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1992,No migration background,Pre-primary Level,Very good,0.49599,52,12571,0.43239,0.55498
1,1,1992,No migration background,Pre-primary Level,Good,0.50401,54,12571,0.44142,0.57286
2,2,1992,No migration background,Lower Secondary Level,Very good,0.09614,227,12571,0.08969,0.10491
3,3,1992,No migration background,Lower Secondary Level,Good,0.27454,552,12571,0.26151,0.28776
4,4,1992,No migration background,Lower Secondary Level,Satisfactory,0.38944,633,12571,0.37569,0.40561
5,5,1992,No migration background,Lower Secondary Level,Poor,0.17026,278,12571,0.15979,0.18035
6,6,1992,No migration background,Lower Secondary Level,Bad,0.06961,103,12571,0.06331,0.0758
7,7,1992,No migration background,Upper Secondary Level,Very good,0.13262,843,12571,0.12752,0.13815
8,8,1992,No migration background,Upper Secondary Level,Good,0.40647,2494,12571,0.39796,0.41573
9,9,1992,No migration background,Upper Secondary Level,Satisfactory,0.30097,1648,12571,0.2918,0.30818
10,10,1992,No migration background,Upper Secondary Level,Poor,0.1171,570,12571,0.11147,0.12235
11,11,1992,No migration background,Upper Secondary Level,Bad,0.04285,189,12571,0.04,0.04597
12,12,1992,No migration background,Post-secondary Non-tertiary Level,Very good,0.20429,55,12571,0.17352,0.23615
13,13,1992,No migration background,Post-secondary Non-tertiary Level,Good,0.55243,135,12571,0.494,0.62001
14,14,1992,No migration background,Post-secondary Non-tertiary Level,Satisfactory,0.24329,60,12571,0.20651,0.27941
15,15,1992,No migration background,First Stage of Tertiary Education,Very good,0.11084,88,12571,0.09567,0.12847
16,16,1992,No migration background,First Stage of Tertiary Education,Good,0.409,295,12571,0.37798,0.43992
17,17,1992,No migration background,First Stage of Tertiary Education,Satisfactory,0.3542,223,12571,0.32701,0.38072
18,18,1992,No migration background,First Stage of Tertiary Education,Poor,0.12596,66,12571,0.11595,0.14241
19,19,1992,No migration background,Second Stage of Tertiary Education,Very good,0.16248,257,12571,0.15117,0.17485
20,20,1992,No migration background,Second Stage of Tertiary Education,Good,0.47333,759,12571,0.45151,0.49655
21,21,1992,No migration background,Second Stage of Tertiary Education,Satisfactory,0.26216,371,12571,0.24541,0.28067
22,22,1992,No migration background,Second Stage of Tertiary Education,Poor,0.07103,96,12571,0.06196,0.0805
23,23,1992,No migration background,Second Stage of Tertiary Education,Bad,0.03099,34,12571,0.02553,0.03895
