,Unnamed: 0,year,migback,m11126,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1992,No migration background,Very good,0.13364,1569,13264,0.12927,0.13752
1,1,1992,No migration background,Good,0.38966,4353,13264,0.38214,0.39687
2,2,1992,No migration background,Satisfactory,0.31079,3000,13264,0.30538,0.31668
3,3,1992,No migration background,Poor,0.11937,1049,13264,0.11557,0.12393
4,4,1992,No migration background,Bad,0.04655,370,13264,0.04422,0.04859
5,5,1992,Direct migration background,Very good,0.14686,386,13264,0.13038,0.16177
6,6,1992,Direct migration background,Good,0.38138,1000,13264,0.35834,0.40857
7,7,1992,Direct migration background,Satisfactory,0.28046,685,13264,0.26218,0.30096
8,8,1992,Direct migration background,Poor,0.14344,358,13264,0.12858,0.15722
9,9,1992,Direct migration background,Bad,0.04786,117,13264,0.03925,0.05668
10,10,1992,Indirect migration background,Very good,0.42253,170,13264,0.36745,0.49446
11,11,1992,Indirect migration background,Good,0.45031,165,13264,0.39293,0.51612
12,12,1992,Indirect migration background,Satisfactory,0.12716,42,13264,0.08775,0.17223
13,13,1994,No migration background,Very good,0.0817,925,12842,0.07829,0.08555
14,14,1994,No migration background,Good,0.37944,4076,12842,0.37161,0.38753
15,15,1994,No migration background,Satisfactory,0.3449,3335,12842,0.33743,0.35221
16,16,1994,No migration background,Poor,0.14934,1320,12842,0.14443,0.15439
17,17,1994,No migration background,Bad,0.04462,354,12842,0.04216,0.0476
18,18,1994,Direct migration background,Very good,0.10041,256,12842,0.08701,0.11653
19,19,1994,Direct migration background,Good,0.37608,940,12842,0.35198,0.4007
20,20,1994,Direct migration background,Satisfactory,0.3032,648,12842,0.28437,0.32521
21,21,1994,Direct migration background,Poor,0.17375,399,12842,0.15661,0.19302
22,22,1994,Direct migration background,Bad,0.04656,106,12842,0.03954,0.05452
23,23,1994,Indirect migration background,Very good,0.32341,159,12842,0.27244,0.38119
24,24,1994,Indirect migration background,Good,0.38528,206,12842,0.34439,0.42899
25,25,1994,Indirect migration background,Satisfactory,0.19554,87,12842,0.15278,0.23425
26,26,1994,Indirect migration background,Poor,0.09578,31,12842,0.06297,0.13701
27,27,1995,No migration background,Very good,0.0722,848,13236,0.06855,0.07564
28,28,1995,No migration background,Good,0.38375,4099,13236,0.37528,0.39241
29,29,1995,No migration background,Satisfactory,0.35032,3360,13236,0.34294,0.3584
30,30,1995,No migration background,Poor,0.15151,1326,13236,0.14536,0.15755
31,31,1995,No migration background,Bad,0.04221,337,13236,0.03968,0.04494
32,32,1995,Direct migration background,Very good,0.11988,309,13236,0.10642,0.13395
33,33,1995,Direct migration background,Good,0.38884,1132,13236,0.36525,0.41271
34,34,1995,Direct migration background,Satisfactory,0.29148,777,13236,0.27027,0.31026
35,35,1995,Direct migration background,Poor,0.15033,425,13236,0.1355,0.16509
36,36,1995,Direct migration background,Bad,0.04946,128,13236,0.03931,0.05886
37,37,1995,Indirect migration background,Very good,0.26576,146,13236,0.23063,0.31332
38,38,1995,Indirect migration background,Good,0.45152,228,13236,0.39826,0.51122
39,39,1995,Indirect migration background,Satisfactory,0.2064,83,13236,0.15441,0.25281
40,40,1995,Indirect migration background,Poor,0.07632,38,13236,0.05128,0.11378
41,41,1996,No migration background,Very good,0.07652,861,13017,0.0732,0.0803
42,42,1996,No migration background,Good,0.3785,4007,13017,0.36914,0.38675
43,43,1996,No migration background,Satisfactory,0.35813,3423,13017,0.35098,0.36723
44,44,1996,No migration background,Poor,0.14698,1279,13017,0.14277,0.15245
45,45,1996,No migration background,Bad,0.03987,315,13017,0.03709,0.04261
46,46,1996,Direct migration background,Very good,0.10322,274,13017,0.09151,0.11601
47,47,1996,Direct migration background,Good,0.36093,988,13017,0.33819,0.3844
48,48,1996,Direct migration background,Satisfactory,0.33161,815,13017,0.30898,0.35202
49,49,1996,Direct migration background,Poor,0.14187,381,13017,0.12838,0.15547
