,Unnamed: 0,year,pgisced97,m11126,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1992,Pre-primary Level,Very good,0.51077,85,13004,0.44025,0.59789
1,1,1992,Pre-primary Level,Good,0.48923,77,13004,0.42767,0.56669
2,2,1992,Primary Level,Very good,0.15088,73,13004,0.11784,0.18746
3,3,1992,Primary Level,Good,0.31411,201,13004,0.27359,0.35408
4,4,1992,Primary Level,Satisfactory,0.28561,184,13004,0.2493,0.32194
5,5,1992,Primary Level,Poor,0.16484,127,13004,0.13792,0.18973
6,6,1992,Primary Level,Bad,0.08456,41,13004,0.06268,0.11044
7,7,1992,Lower Secondary Level,Very good,0.10815,426,13004,0.09996,0.11786
8,8,1992,Lower Secondary Level,Good,0.29302,960,13004,0.27914,0.30876
9,9,1992,Lower Secondary Level,Satisfactory,0.3636,855,13004,0.3494,0.37827
10,10,1992,Lower Secondary Level,Poor,0.17121,398,13004,0.15925,0.18117
11,11,1992,Lower Secondary Level,Bad,0.06403,140,13004,0.05783,0.07198
12,12,1992,Upper Secondary Level,Very good,0.13299,1022,13004,0.12769,0.13816
13,13,1992,Upper Secondary Level,Good,0.40653,2883,13004,0.39596,0.41594
14,14,1992,Upper Secondary Level,Satisfactory,0.30076,1901,13004,0.29085,0.30856
15,15,1992,Upper Secondary Level,Poor,0.11698,678,13004,0.11115,0.12169
16,16,1992,Upper Secondary Level,Bad,0.04274,224,13004,0.0393,0.04553
17,17,1992,Post-secondary Non-tertiary Level,Very good,0.19096,74,13004,0.1611,0.22392
18,18,1992,Post-secondary Non-tertiary Level,Good,0.55666,181,13004,0.50432,0.61686
19,19,1992,Post-secondary Non-tertiary Level,Satisfactory,0.25237,87,13004,0.2166,0.29624
20,20,1992,First Stage of Tertiary Education,Very good,0.12337,102,13004,0.10679,0.141
21,21,1992,First Stage of Tertiary Education,Good,0.4037,321,13004,0.37046,0.43351
22,22,1992,First Stage of Tertiary Education,Satisfactory,0.3505,243,13004,0.3245,0.37731
23,23,1992,First Stage of Tertiary Education,Poor,0.12243,71,13004,0.10962,0.13521
24,24,1992,Second Stage of Tertiary Education,Very good,0.17145,288,13004,0.15844,0.18401
25,25,1992,Second Stage of Tertiary Education,Good,0.46856,824,13004,0.44388,0.49188
26,26,1992,Second Stage of Tertiary Education,Satisfactory,0.2551,394,13004,0.23816,0.27134
27,27,1992,Second Stage of Tertiary Education,Poor,0.07372,106,13004,0.06559,0.08175
28,28,1992,Second Stage of Tertiary Education,Bad,0.03117,38,13004,0.02502,0.03727
29,29,1994,Pre-primary Level,Very good,0.35177,82,12581,0.2933,0.41362
30,30,1994,Pre-primary Level,Good,0.50789,113,12581,0.45269,0.5819
31,31,1994,Pre-primary Level,Satisfactory,0.14034,33,12581,0.10383,0.17141
32,32,1994,Primary Level,Very good,0.09991,49,12581,0.07416,0.12502
33,33,1994,Primary Level,Good,0.34511,189,12581,0.30528,0.38978
34,34,1994,Primary Level,Satisfactory,0.29767,160,12581,0.2581,0.35404
35,35,1994,Primary Level,Poor,0.15167,112,12581,0.12735,0.17991
36,36,1994,Primary Level,Bad,0.10565,44,12581,0.08384,0.1277
37,37,1994,Lower Secondary Level,Very good,0.08329,253,12581,0.07367,0.0922
38,38,1994,Lower Secondary Level,Good,0.28833,870,12581,0.27546,0.30202
39,39,1994,Lower Secondary Level,Satisfactory,0.35925,799,12581,0.34201,0.37473
40,40,1994,Lower Secondary Level,Poor,0.19837,429,12581,0.18442,0.2111
41,41,1994,Lower Secondary Level,Bad,0.07076,137,12581,0.06306,0.07881
42,42,1994,Upper Secondary Level,Very good,0.08064,659,12581,0.07582,0.0851
43,43,1994,Upper Secondary Level,Good,0.38378,2686,12581,0.37404,0.39662
44,44,1994,Upper Secondary Level,Satisfactory,0.34868,2158,12581,0.33862,0.35917
45,45,1994,Upper Secondary Level,Poor,0.14693,845,12581,0.14037,0.15367
46,46,1994,Upper Secondary Level,Bad,0.03997,208,12581,0.0367,0.04333
47,47,1994,Post-secondary Non-tertiary Level,Very good,0.12994,50,12581,0.1076,0.1585
48,48,1994,Post-secondary Non-tertiary Level,Good,0.52116,200,12581,0.46964,0.58063
49,49,1994,Post-secondary Non-tertiary Level,Satisfactory,0.24589,91,12581,0.20858,0.28549
50,50,1994,Post-secondary Non-tertiary Level,Poor,0.103,40,12581,0.07818,0.12876
51,51,1994,First Stage of Tertiary Education,Very good,0.07066,57,12581,0.05757,0.08773
52,52,1994,First Stage of Tertiary Education,Good,0.39207,304,12581,0.36214,0.42404
53,53,1994,First Stage of Tertiary Education,Satisfactory,0.35519,252,12581,0.32846,0.38687
54,54,1994,First Stage of Tertiary Education,Poor,0.18209,112,12581,0.16528,0.20167
55,55,1994,Second Stage of Tertiary Education,Very good,0.09098,150,12581,0.08099,0.10204
56,56,1994,Second Stage of Tertiary Education,Good,0.4648,768,12581,0.44216,0.48572
57,57,1994,Second Stage of Tertiary Education,Satisfactory,0.30779,512,12581,0.29099,0.32761
58,58,1994,Second Stage of Tertiary Education,Poor,0.11159,183,12581,0.09881,0.12453
59,59,1994,Second Stage of Tertiary Education,Bad,0.02485,36,12581,0.01989,0.0321
60,60,1995,Pre-primary Level,Very good,0.30693,85,12912,0.25676,0.35627
61,61,1995,Pre-primary Level,Good,0.54143,143,12912,0.49081,0.59354
62,62,1995,Pre-primary Level,Satisfactory,0.15164,44,12912,0.1208,0.17824
63,63,1995,Primary Level,Very good,0.07156,32,12912,0.05234,0.09216
64,64,1995,Primary Level,Good,0.35536,175,12912,0.31037,0.40818
65,65,1995,Primary Level,Satisfactory,0.31842,177,12912,0.27261,0.37056
66,66,1995,Primary Level,Poor,0.25466,121,12912,0.21305,0.3006
67,67,1995,Lower Secondary Level,Very good,0.07606,258,12912,0.06731,0.08366
68,68,1995,Lower Secondary Level,Good,0.29255,867,12912,0.2766,0.30657
69,69,1995,Lower Secondary Level,Satisfactory,0.34143,760,12912,0.32424,0.35706
70,70,1995,Lower Secondary Level,Poor,0.21444,454,12912,0.19986,0.22723
71,71,1995,Lower Secondary Level,Bad,0.07551,147,12912,0.06574,0.08546
72,72,1995,Upper Secondary Level,Very good,0.07182,596,12912,0.06824,0.07651
73,73,1995,Upper Secondary Level,Good,0.38901,2807,12912,0.37838,0.39916
74,74,1995,Upper Secondary Level,Satisfactory,0.35078,2205,12912,0.3398,0.3631
75,75,1995,Upper Secondary Level,Poor,0.14667,876,12912,0.13915,0.15296
76,76,1995,Upper Secondary Level,Bad,0.04172,224,12912,0.03826,0.0464
77,77,1995,Post-secondary Non-tertiary Level,Very good,0.12745,56,12912,0.10544,0.14988
78,78,1995,Post-secondary Non-tertiary Level,Good,0.53223,238,12912,0.4851,0.58673
79,79,1995,Post-secondary Non-tertiary Level,Satisfactory,0.25724,124,12912,0.21768,0.28887
80,80,1995,Post-secondary Non-tertiary Level,Poor,0.08308,41,12912,0.06602,0.10217
81,81,1995,First Stage of Tertiary Education,Very good,0.08426,61,12912,0.06937,0.09929
82,82,1995,First Stage of Tertiary Education,Good,0.40708,316,12912,0.37048,0.44724
83,83,1995,First Stage of Tertiary Education,Satisfactory,0.37503,267,12912,0.34919,0.40842
84,84,1995,First Stage of Tertiary Education,Poor,0.13363,90,12912,0.11735,0.15175
85,85,1995,Second Stage of Tertiary Education,Very good,0.08991,170,12912,0.08201,0.10104
86,86,1995,Second Stage of Tertiary Education,Good,0.44362,790,12912,0.42002,0.46784
87,87,1995,Second Stage of Tertiary Education,Satisfactory,0.34595,584,12912,0.3256,0.36836
88,88,1995,Second Stage of Tertiary Education,Poor,0.10357,168,12912,0.09367,0.11608
