"m11126","year","bildungsniveau","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Sehr gut","1992","(noch) kein Abschluss","Westdeutschland","136","","",""
"Sehr gut","1992","(noch) kein Abschluss","Ostdeutschland","28","","",""
"Sehr gut","1992","Hauptschule","Westdeutschland","649","0.100511549452312","0.092269059087942","0.108754039816683"
"Sehr gut","1992","Hauptschule","Ostdeutschland","108","","",""
"Sehr gut","1992","Realschule","Westdeutschland","316","0.151036055326054","0.133867063003901","0.168205047648206"
"Sehr gut","1992","Realschule","Ostdeutschland","312","0.22027785450053","0.198790283233841","0.24176542576722"
"Sehr gut","1992","(Fach-)Abitur","Westdeutschland","188","","",""
"Sehr gut","1992","(Fach-)Abitur","Ostdeutschland","30","0.207241994620182","0.133480739794436","0.281003249445929"
"Sehr gut","1992","AkademikerIn","Westdeutschland","147","","",""
"Sehr gut","1992","AkademikerIn","Ostdeutschland","141","","",""
"Gut","1992","(noch) kein Abschluss","Westdeutschland","275","","",""
"Gut","1992","(noch) kein Abschluss","Ostdeutschland","22","","",""
"Gut","1992","Hauptschule","Westdeutschland","1880","","",""
"Gut","1992","Hauptschule","Ostdeutschland","487","0.312271579956183","0.288117077149492","0.336426082762874"
"Gut","1992","Realschule","Westdeutschland","774","0.442997487237114","0.4191803765676","0.466814597906627"
"Gut","1992","Realschule","Ostdeutschland","755","0.516082048360249","0.490171463295066","0.541992633425432"
"Gut","1992","(Fach-)Abitur","Westdeutschland","356","0.474887666009089","0.43982048001528","0.509954852002898"
"Gut","1992","(Fach-)Abitur","Ostdeutschland","55","0.480144732927842","0.389227459020074","0.571062006835609"
"Gut","1992","AkademikerIn","Westdeutschland","350","0.459514022160304","0.423534453959068","0.49549359036154"
"Gut","1992","AkademikerIn","Ostdeutschland","474","0.484541489918279","0.452124323950009","0.516958655886549"
"Zufriedenstellend","1992","(noch) kein Abschluss","Westdeutschland","203","","",""
"Zufriedenstellend","1992","(noch) kein Abschluss","Ostdeutschland","16","","",""
"Zufriedenstellend","1992","Hauptschule","Westdeutschland","1635","","",""
"Zufriedenstellend","1992","Hauptschule","Ostdeutschland","548","0.39681519980621","0.371315050078805","0.422315349533615"
"Zufriedenstellend","1992","Realschule","Westdeutschland","414","0.284170636633525","0.262545731008777","0.305795542258273"
"Zufriedenstellend","1992","Realschule","Ostdeutschland","281","","",""
"Zufriedenstellend","1992","(Fach-)Abitur","Westdeutschland","155","","",""
"Zufriedenstellend","1992","(Fach-)Abitur","Ostdeutschland","22","","",""
"Zufriedenstellend","1992","AkademikerIn","Westdeutschland","171","","",""
"Zufriedenstellend","1992","AkademikerIn","Ostdeutschland","223","","",""
"Weniger gut","1992","(noch) kein Abschluss","Westdeutschland","139","","",""
"Weniger gut","1992","(noch) kein Abschluss","Ostdeutschland","4","0.0897606116534638","0.0227999425064184","0.156721280800509"
"Weniger gut","1992","Hauptschule","Westdeutschland","698","0.153600621717451","0.143716528717107","0.163484714717795"
"Weniger gut","1992","Hauptschule","Ostdeutschland","193","","",""
"Weniger gut","1992","Realschule","Westdeutschland","129","","",""
"Weniger gut","1992","Realschule","Ostdeutschland","68","0.0528530870574705","0.0412526105192531","0.0644535635956879"
"Weniger gut","1992","(Fach-)Abitur","Westdeutschland","61","0.0868730578928562","0.0670948246105739","0.106651291175139"
"Weniger gut","1992","(Fach-)Abitur","Ostdeutschland","8","0.0829899248365734","0.0327881772592753","0.133191672413872"
"Weniger gut","1992","AkademikerIn","Westdeutschland","49","0.0752158912032685","0.0561749097901028","0.0942568726164341"
"Weniger gut","1992","AkademikerIn","Ostdeutschland","57","0.0711391308728101","0.0544650342643232","0.0878132274812969"
"Schlecht","1992","(noch) kein Abschluss","Westdeutschland","48","0.0665082862044133","0.0492528896244136","0.083763682784413"
"Schlecht","1992","(noch) kein Abschluss","Ostdeutschland","","","",""
"Schlecht","1992","Hauptschule","Westdeutschland","250","","",""
"Schlecht","1992","Hauptschule","Ostdeutschland","78","0.0696759326905764","0.0564055969750012","0.0829462684061515"
"Schlecht","1992","Realschule","Westdeutschland","38","0.0266010958708402","0.018885756094279","0.0343164356474015"
"Schlecht","1992","Realschule","Ostdeutschland","13","","",""
"Schlecht","1992","(Fach-)Abitur","Westdeutschland","19","","",""
"Schlecht","1992","(Fach-)Abitur","Ostdeutschland","1","","",""
"Schlecht","1992","AkademikerIn","Westdeutschland","20","","",""
"Schlecht","1992","AkademikerIn","Ostdeutschland","18","","",""
"Sehr gut","1993","(noch) kein Abschluss","Westdeutschland","","","",""
"Sehr gut","1993","(noch) kein Abschluss","Ostdeutschland","","","",""
"Sehr gut","1993","Hauptschule","Westdeutschland","","","",""
"Sehr gut","1993","Hauptschule","Ostdeutschland","","","",""
"Sehr gut","1993","Realschule","Westdeutschland","","","",""
"Sehr gut","1993","Realschule","Ostdeutschland","","","",""
"Sehr gut","1993","(Fach-)Abitur","Westdeutschland","","","",""
"Sehr gut","1993","(Fach-)Abitur","Ostdeutschland","","","",""
"Sehr gut","1993","AkademikerIn","Westdeutschland","","","",""
"Sehr gut","1993","AkademikerIn","Ostdeutschland","","","",""
"Gut","1993","(noch) kein Abschluss","Westdeutschland","","","",""
"Gut","1993","(noch) kein Abschluss","Ostdeutschland","","","",""
"Gut","1993","Hauptschule","Westdeutschland","","","",""
"Gut","1993","Hauptschule","Ostdeutschland","","","",""
"Gut","1993","Realschule","Westdeutschland","","","",""
"Gut","1993","Realschule","Ostdeutschland","","","",""
"Gut","1993","(Fach-)Abitur","Westdeutschland","","","",""
"Gut","1993","(Fach-)Abitur","Ostdeutschland","","","",""
"Gut","1993","AkademikerIn","Westdeutschland","","","",""
"Gut","1993","AkademikerIn","Ostdeutschland","","","",""
"Zufriedenstellend","1993","(noch) kein Abschluss","Westdeutschland","","","",""
