year,bula_h,m11126,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,Schleswig-Holstein,Very good,0.15544,47,264,0.11165,0.19923
1992,Schleswig-Holstein,Good,0.37778,104,264,0.31918,0.43637
1992,Schleswig-Holstein,Satisfactory,0.27280,71,264,0.21897,0.32663
1992,Schleswig-Holstein,Poor,0.15686,42,264,0.11291,0.20081
1992,Hamburg,Good,0.31910,58,102,0.22819,0.41000
1992,Hamburg,Satisfactory,0.28875,44,102,0.20037,0.37713
1992,Lower Saxony,Very good,0.14311,157,968,0.12103,0.16518
1992,Lower Saxony,Good,0.35449,362,968,0.32434,0.38464
1992,Lower Saxony,Satisfactory,0.32606,293,968,0.29652,0.35561
1992,Lower Saxony,Poor,0.12882,114,968,0.10770,0.14993
1992,Lower Saxony,Bad,0.04752,42,968,0.03411,0.06093
1992,Bremen,Good,0.35806,36,36,0.19923,0.51690
1992,North Rhine-Westphalia,Very good,0.14484,437,2516,0.13109,0.15860
1992,North Rhine-Westphalia,Good,0.39097,1016,2516,0.37190,0.41004
1992,North Rhine-Westphalia,Satisfactory,0.30560,694,2516,0.28760,0.32361
1992,North Rhine-Westphalia,Poor,0.12333,289,2516,0.11048,0.13618
1992,North Rhine-Westphalia,Bad,0.03525,80,2516,0.02805,0.04246
1992,Hesse,Very good,0.13416,155,950,0.11248,0.15585
1992,Hesse,Good,0.40009,397,950,0.36892,0.43126
1992,Hesse,Satisfactory,0.27406,243,950,0.24568,0.30244
1992,Hesse,Poor,0.13497,108,950,0.11323,0.15671
1992,Hesse,Bad,0.05671,47,950,0.04199,0.07142
1992,"Rhineland-Palatinate, Saarland",Very good,0.11739,92,631,0.09225,0.14252
1992,"Rhineland-Palatinate, Saarland",Good,0.36271,251,631,0.32517,0.40025
1992,"Rhineland-Palatinate, Saarland",Satisfactory,0.33491,208,631,0.29805,0.37176
1992,"Rhineland-Palatinate, Saarland",Poor,0.13142,80,631,0.10503,0.15780
1992,Baden-Wuerttemberg,Very good,0.12613,271,1759,0.11061,0.14165
1992,Baden-Wuerttemberg,Good,0.39553,716,1759,0.37267,0.41838
1992,Baden-Wuerttemberg,Satisfactory,0.30361,487,1759,0.28211,0.32510
1992,Baden-Wuerttemberg,Poor,0.12550,217,1759,0.11001,0.14098
1992,Baden-Wuerttemberg,Bad,0.04924,68,1759,0.03913,0.05935
1992,Bavaria,Very good,0.14208,272,1636,0.12515,0.15900
1992,Bavaria,Good,0.38855,667,1636,0.36493,0.41218
1992,Bavaria,Satisfactory,0.31065,474,1636,0.28822,0.33308
1992,Bavaria,Poor,0.10807,153,1636,0.09302,0.12312
1992,Bavaria,Bad,0.05064,70,1636,0.04002,0.06127
1992,Berlin,Very good,0.12655,93,576,0.09938,0.15373
1992,Berlin,Good,0.37859,243,576,0.33895,0.41824
1992,Berlin,Satisfactory,0.29161,155,576,0.25446,0.32876
1992,Berlin,Poor,0.15057,85,576,0.12134,0.17980
1992,Brandenburg,Very good,0.14736,113,640,0.11988,0.17485
1992,Brandenburg,Good,0.41413,281,640,0.37594,0.45232
1992,Brandenburg,Satisfactory,0.32764,197,640,0.29125,0.36403
1992,Brandenburg,Poor,0.08243,49,640,0.06111,0.10376
1992,Mecklenburg-Western Pomerania,Very good,0.13205,63,377,0.09783,0.16627
1992,Mecklenburg-Western Pomerania,Good,0.48416,207,377,0.43365,0.53468
1992,Mecklenburg-Western Pomerania,Satisfactory,0.27445,107,377,0.22935,0.31956
1992,Saxony,Very good,0.12821,162,1133,0.10874,0.14769
1992,Saxony,Good,0.41061,526,1133,0.38196,0.43927
1992,Saxony,Satisfactory,0.32886,348,1133,0.30150,0.35623
1992,Saxony,Poor,0.10413,97,1133,0.08633,0.12192
1992,Saxony-Anhalt,Very good,0.17132,128,771,0.14471,0.19793
1992,Saxony-Anhalt,Good,0.37285,329,771,0.33870,0.40701
1992,Saxony-Anhalt,Satisfactory,0.28397,208,771,0.25212,0.31582
1992,Saxony-Anhalt,Poor,0.10946,74,771,0.08740,0.13151
1992,Saxony-Anhalt,Bad,0.06240,32,771,0.04531,0.07948
1992,Thuringa,Very good,0.13539,103,661,0.10929,0.16150
1992,Thuringa,Good,0.42737,325,661,0.38963,0.46511
1992,Thuringa,Satisfactory,0.26983,170,661,0.23597,0.30370
1992,Thuringa,Poor,0.11832,63,661,0.09368,0.14296
1994,Schleswig-Holstein,Very good,0.11245,36,280,0.07538,0.14952
1994,Schleswig-Holstein,Good,0.37929,112,280,0.32235,0.43622
1994,Schleswig-Holstein,Satisfactory,0.32364,85,280,0.26874,0.37854
1994,Schleswig-Holstein,Poor,0.16014,47,280,0.11710,0.20317
1994,Hamburg,Good,0.42217,61,96,0.32285,0.52149
1994,Hamburg,Satisfactory,0.23472,35,96,0.14949,0.31994
1994,Lower Saxony,Very good,0.08416,95,965,0.06664,0.10169
1994,Lower Saxony,Good,0.38628,377,965,0.35554,0.41701
1994,Lower Saxony,Satisfactory,0.32402,326,965,0.29448,0.35357
1994,Lower Saxony,Poor,0.15595,126,965,0.13304,0.17885
1994,Lower Saxony,Bad,0.04959,41,965,0.03589,0.06330
1994,Bremen,Good,0.35474,33,33,0.18897,0.52051
1994,North Rhine-Westphalia,Very good,0.09300,275,2442,0.08148,0.10452
1994,North Rhine-Westphalia,Good,0.37149,974,2442,0.35232,0.39066
1994,North Rhine-Westphalia,Satisfactory,0.32531,734,2442,0.30673,0.34390
1994,North Rhine-Westphalia,Poor,0.17032,375,2442,0.15541,0.18524
1994,North Rhine-Westphalia,Bad,0.03988,84,2442,0.03211,0.04764
1994,Hesse,Very good,0.08448,104,916,0.06646,0.10250
1994,Hesse,Good,0.41830,406,916,0.38634,0.45026
1994,Hesse,Satisfactory,0.29191,239,916,0.26245,0.32137
1994,Hesse,Poor,0.15235,125,916,0.12907,0.17564
1994,Hesse,Bad,0.05295,42,916,0.03844,0.06746
1994,"Rhineland-Palatinate, Saarland",Very good,0.08285,63,609,0.06094,0.10476
1994,"Rhineland-Palatinate, Saarland",Good,0.38043,263,609,0.34184,0.41902
1994,"Rhineland-Palatinate, Saarland",Satisfactory,0.32320,181,609,0.28603,0.36038
1994,"Rhineland-Palatinate, Saarland",Poor,0.17445,102,609,0.14429,0.20462
1994,Baden-Wuerttemberg,Very good,0.08077,192,1726,0.06791,0.09363
1994,Baden-Wuerttemberg,Good,0.38417,711,1726,0.36122,0.40713
1994,Baden-Wuerttemberg,Satisfactory,0.34849,531,1726,0.32600,0.37098
1994,Baden-Wuerttemberg,Poor,0.14092,234,1726,0.12450,0.15734
1994,Baden-Wuerttemberg,Bad,0.04564,58,1726,0.03579,0.05549
1994,Bavaria,Very good,0.10394,203,1584,0.08890,0.11897
1994,Bavaria,Good,0.36982,634,1584,0.34603,0.39360
1994,Bavaria,Satisfactory,0.34825,493,1584,0.32478,0.37172
1994,Bavaria,Poor,0.13619,196,1584,0.11930,0.15309
1994,Bavaria,Bad,0.04181,58,1584,0.03195,0.05167
1994,Berlin,Very good,0.09222,52,530,0.06756,0.11688
