year,bula_h,migback,m11126,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,Schleswig-Holstein,No migration background,Very good,0.15325,38,229,0.10649,0.20001
1992,Schleswig-Holstein,No migration background,Good,0.38719,94,229,0.32396,0.45042
1992,Schleswig-Holstein,No migration background,Satisfactory,0.27371,63,229,0.21583,0.33158
1992,Schleswig-Holstein,No migration background,Poor,0.14823,34,229,0.10210,0.19435
1992,Hamburg,No migration background,Good,0.32335,42,73,0.21530,0.43140
1992,Hamburg,No migration background,Satisfactory,0.28225,31,73,0.17828,0.38621
1992,Lower Saxony,No migration background,Very good,0.14066,124,799,0.11653,0.16478
1992,Lower Saxony,No migration background,Good,0.35661,302,799,0.32338,0.38985
1992,Lower Saxony,No migration background,Satisfactory,0.32832,252,799,0.29574,0.36090
1992,Lower Saxony,No migration background,Poor,0.12719,90,799,0.10407,0.15031
1992,Lower Saxony,No migration background,Bad,0.04723,31,799,0.03251,0.06194
1992,Lower Saxony,Direct migration background,Good,0.32481,50,90,0.22752,0.42211
1992,Lower Saxony,Direct migration background,Satisfactory,0.34253,40,90,0.24394,0.44113
1992,Bremen,No migration background,Good,0.36134,31,31,0.18944,0.53325
1992,North Rhine-Westphalia,No migration background,Very good,0.13611,281,1772,0.12014,0.15208
1992,North Rhine-Westphalia,No migration background,Good,0.39586,726,1772,0.37308,0.41864
1992,North Rhine-Westphalia,No migration background,Satisfactory,0.30861,510,1772,0.28710,0.33013
1992,North Rhine-Westphalia,No migration background,Poor,0.12476,204,1772,0.10937,0.14015
1992,North Rhine-Westphalia,No migration background,Bad,0.03466,51,1772,0.02614,0.04318
1992,North Rhine-Westphalia,Direct migration background,Very good,0.17121,111,604,0.14114,0.20128
1992,North Rhine-Westphalia,Direct migration background,Good,0.36278,240,604,0.32440,0.40115
1992,North Rhine-Westphalia,Direct migration background,Satisfactory,0.31398,176,604,0.27693,0.35102
1992,North Rhine-Westphalia,Direct migration background,Poor,0.10795,77,604,0.08318,0.13271
1992,North Rhine-Westphalia,Indirect migration background,Very good,0.40482,45,95,0.30559,0.50406
1992,North Rhine-Westphalia,Indirect migration background,Good,0.34618,50,95,0.25000,0.44236
1992,Hesse,No migration background,Very good,0.12686,81,562,0.09932,0.15440
1992,Hesse,No migration background,Good,0.39284,244,562,0.35243,0.43326
1992,Hesse,No migration background,Satisfactory,0.29980,173,562,0.26189,0.33771
1992,Hesse,No migration background,Poor,0.12999,64,562,0.10216,0.15782
1992,Hesse,Direct migration background,Very good,0.13084,50,298,0.09249,0.16920
1992,Hesse,Direct migration background,Good,0.42999,138,298,0.37368,0.48629
1992,Hesse,Direct migration background,Satisfactory,0.17680,69,298,0.13341,0.22018
1992,Hesse,Direct migration background,Poor,0.16971,41,298,0.12702,0.21241
1992,"Rhineland-Palatinate, Saarland",No migration background,Very good,0.10932,65,506,0.08210,0.13654
1992,"Rhineland-Palatinate, Saarland",No migration background,Good,0.35123,194,506,0.30960,0.39287
1992,"Rhineland-Palatinate, Saarland",No migration background,Satisfactory,0.34670,178,506,0.30519,0.38821
1992,"Rhineland-Palatinate, Saarland",No migration background,Poor,0.13711,69,506,0.10711,0.16711
1992,"Rhineland-Palatinate, Saarland",Direct migration background,Good,0.47350,48,48,0.33076,0.61625
1992,Baden-Wuerttemberg,No migration background,Very good,0.11439,131,989,0.09455,0.13424
1992,Baden-Wuerttemberg,No migration background,Good,0.40114,413,989,0.37057,0.43170
1992,Baden-Wuerttemberg,No migration background,Satisfactory,0.31642,299,989,0.28742,0.34542
1992,Baden-Wuerttemberg,No migration background,Poor,0.11227,100,989,0.09259,0.13196
1992,Baden-Wuerttemberg,No migration background,Bad,0.05577,46,989,0.04146,0.07008
1992,Baden-Wuerttemberg,Direct migration background,Very good,0.15301,98,653,0.12538,0.18065
1992,Baden-Wuerttemberg,Direct migration background,Good,0.37332,269,653,0.33619,0.41044
1992,Baden-Wuerttemberg,Direct migration background,Satisfactory,0.26249,174,653,0.22871,0.29626
1992,Baden-Wuerttemberg,Direct migration background,Poor,0.18800,112,653,0.15801,0.21799
1992,Baden-Wuerttemberg,Indirect migration background,Very good,0.32439,42,76,0.21844,0.43034
1992,Baden-Wuerttemberg,Indirect migration background,Good,0.38656,34,76,0.27635,0.49677
1992,Bavaria,No migration background,Very good,0.13644,198,1219,0.11716,0.15571
1992,Bavaria,No migration background,Good,0.38275,495,1219,0.35545,0.41004
1992,Bavaria,No migration background,Satisfactory,0.31659,358,1219,0.29047,0.34272
1992,Bavaria,No migration background,Poor,0.10986,113,1219,0.09230,0.12743
1992,Bavaria,No migration background,Bad,0.05436,55,1219,0.04163,0.06710
1992,Bavaria,Direct migration background,Very good,0.14484,53,344,0.10760,0.18209
1992,Bavaria,Direct migration background,Good,0.43184,148,344,0.37942,0.48426
1992,Bavaria,Direct migration background,Satisfactory,0.28447,103,344,0.23672,0.33221
1992,Bavaria,Direct migration background,Poor,0.10817,40,344,0.07530,0.14104
1992,Berlin,No migration background,Very good,0.12846,75,457,0.09775,0.15917
1992,Berlin,No migration background,Good,0.37377,193,457,0.32936,0.41817
1992,Berlin,No migration background,Satisfactory,0.29869,132,457,0.25668,0.34070
1992,Berlin,No migration background,Poor,0.14492,57,457,0.11261,0.17723
1992,Berlin,Direct migration background,Good,0.39988,40,40,0.24614,0.55363
1992,Brandenburg,No migration background,Very good,0.14805,110,619,0.12005,0.17605
1992,Brandenburg,No migration background,Good,0.41363,272,619,0.37481,0.45246
1992,Brandenburg,No migration background,Satisfactory,0.32950,191,619,0.29244,0.36656
1992,Brandenburg,No migration background,Poor,0.07929,46,619,0.05799,0.10060
