,Unnamed: 0,year,quintil_oecd,sex,m11126,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1992,1st Quintile,male,Very good,0.14527,196,13240,0.13316,0.16138
1,1,1992,1st Quintile,male,Good,0.36042,474,13240,0.33725,0.38914
2,2,1992,1st Quintile,male,Satisfactory,0.28958,315,13240,0.26788,0.31507
3,3,1992,1st Quintile,male,Poor,0.1194,130,13240,0.10567,0.1345
4,4,1992,1st Quintile,male,Bad,0.08533,73,13240,0.07508,0.09685
5,5,1992,1st Quintile,female,Very good,0.10131,199,13240,0.09075,0.11342
6,6,1992,1st Quintile,female,Good,0.27931,537,13240,0.26316,0.29873
7,7,1992,1st Quintile,female,Satisfactory,0.34682,517,13240,0.32693,0.36602
8,8,1992,1st Quintile,female,Poor,0.18176,244,13240,0.16537,0.19893
9,9,1992,1st Quintile,female,Bad,0.09081,95,13240,0.07844,0.10222
10,10,1992,2nd Quintile,male,Very good,0.15337,245,13240,0.14123,0.16533
11,11,1992,2nd Quintile,male,Good,0.42219,627,13240,0.39588,0.44395
12,12,1992,2nd Quintile,male,Satisfactory,0.28929,343,13240,0.26808,0.31264
13,13,1992,2nd Quintile,male,Poor,0.09046,105,13240,0.07892,0.10369
14,14,1992,2nd Quintile,male,Bad,0.04469,43,13240,0.0372,0.05392
15,15,1992,2nd Quintile,female,Very good,0.10081,208,13240,0.09128,0.11189
16,16,1992,2nd Quintile,female,Good,0.36356,631,13240,0.34138,0.38166
17,17,1992,2nd Quintile,female,Satisfactory,0.33572,413,13240,0.31023,0.35984
18,18,1992,2nd Quintile,female,Poor,0.15684,176,13240,0.14259,0.17282
19,19,1992,2nd Quintile,female,Bad,0.04307,54,13240,0.03365,0.05262
20,20,1992,3rd Quintile,male,Very good,0.16748,245,13240,0.15083,0.18563
21,21,1992,3rd Quintile,male,Good,0.40117,550,13240,0.37477,0.42702
22,22,1992,3rd Quintile,male,Satisfactory,0.28221,335,13240,0.26401,0.30689
23,23,1992,3rd Quintile,male,Poor,0.11526,131,13240,0.10169,0.13382
24,24,1992,3rd Quintile,male,Bad,0.03387,40,13240,0.02708,0.04152
25,25,1992,3rd Quintile,female,Very good,0.1408,205,13240,0.12568,0.15637
26,26,1992,3rd Quintile,female,Good,0.37182,562,13240,0.34958,0.39628
27,27,1992,3rd Quintile,female,Satisfactory,0.31685,394,13240,0.2934,0.34189
28,28,1992,3rd Quintile,female,Poor,0.12401,149,13240,0.11176,0.13882
29,29,1992,3rd Quintile,female,Bad,0.04652,48,13240,0.03821,0.05455
