year,pgisced97,quintil_oecd,m11126,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,Primary Level,1st Quintile,Good,0.31894,49,130,0.23851,0.39937
1992,Primary Level,1st Quintile,Satisfactory,0.22738,40,130,0.15505,0.29971
1992,Primary Level,1st Quintile,Poor,0.19712,41,130,0.12846,0.26577
1992,Primary Level,2nd Quintile,Good,0.43885,60,128,0.35254,0.52515
1992,Primary Level,2nd Quintile,Satisfactory,0.24265,37,128,0.16809,0.31721
1992,Primary Level,2nd Quintile,Poor,0.15037,31,128,0.08820,0.21253
1992,Primary Level,3rd Quintile,Good,0.27160,50,100,0.18399,0.35922
1992,Primary Level,3rd Quintile,Satisfactory,0.31136,50,100,0.22014,0.40257
1992,Primary Level,4th Quintile,Satisfactory,0.39492,46,46,0.25209,0.53775
1992,Lower Secondary Level,1st Quintile,Very good,0.08759,98,730,0.06707,0.10811
1992,Lower Secondary Level,1st Quintile,Good,0.20961,209,730,0.18007,0.23916
1992,Lower Secondary Level,1st Quintile,Satisfactory,0.38955,245,730,0.35415,0.42495
1992,Lower Secondary Level,1st Quintile,Poor,0.20011,116,730,0.17106,0.22915
1992,Lower Secondary Level,1st Quintile,Bad,0.11315,62,730,0.09015,0.13614
1992,Lower Secondary Level,2nd Quintile,Very good,0.10290,105,633,0.07921,0.12659
1992,Lower Secondary Level,2nd Quintile,Good,0.29882,246,633,0.26313,0.33450
1992,Lower Secondary Level,2nd Quintile,Satisfactory,0.34315,185,633,0.30613,0.38016
1992,Lower Secondary Level,2nd Quintile,Poor,0.19088,97,633,0.16024,0.22152
1992,Lower Secondary Level,3rd Quintile,Very good,0.16221,113,521,0.13053,0.19390
1992,Lower Secondary Level,3rd Quintile,Good,0.27219,180,521,0.23393,0.31044
1992,Lower Secondary Level,3rd Quintile,Satisfactory,0.35757,156,521,0.31637,0.39876
1992,Lower Secondary Level,3rd Quintile,Poor,0.15791,72,521,0.12656,0.18925
1992,Lower Secondary Level,4th Quintile,Very good,0.11247,83,530,0.08554,0.13939
1992,Lower Secondary Level,4th Quintile,Good,0.37976,218,530,0.33840,0.42112
1992,Lower Secondary Level,4th Quintile,Satisfactory,0.35619,164,530,0.31538,0.39700
1992,Lower Secondary Level,4th Quintile,Poor,0.12360,65,530,0.09555,0.15164
1992,Lower Secondary Level,5th Quintile,Good,0.37547,107,259,0.31638,0.43456
