,Unnamed: 0,year,pgisced97,regtyp,m11126,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1992,Pre-primary Level,Urban regions,Very good,0.51965,59,12677,0.42364,0.60479
1,1,1992,Pre-primary Level,Urban regions,Good,0.48035,55,12677,0.41083,0.54759
2,2,1992,Primary Level,Urban regions,Very good,0.13224,55,12677,0.10699,0.16551
3,3,1992,Primary Level,Urban regions,Good,0.33104,167,12677,0.29093,0.38077
4,4,1992,Primary Level,Urban regions,Satisfactory,0.29051,157,12677,0.24759,0.34059
5,5,1992,Primary Level,Urban regions,Poor,0.17483,112,12677,0.1543,0.20097
6,6,1992,Primary Level,Urban regions,Bad,0.07138,31,12677,0.04618,0.10354
7,7,1992,Primary Level,Rural regions,Good,1.0,34,12677,0.75045,1.31294
8,8,1992,Lower Secondary Level,Urban regions,Very good,0.10597,296,12677,0.0969,0.11687
9,9,1992,Lower Secondary Level,Urban regions,Good,0.29788,677,12677,0.28202,0.31629
10,10,1992,Lower Secondary Level,Urban regions,Satisfactory,0.36818,601,12677,0.35088,0.39226
11,11,1992,Lower Secondary Level,Urban regions,Poor,0.16645,265,12677,0.15103,0.1788
12,12,1992,Lower Secondary Level,Urban regions,Bad,0.06151,89,12677,0.05314,0.06963
13,13,1992,Lower Secondary Level,Rural regions,Very good,0.1126,126,12677,0.09603,0.12742
14,14,1992,Lower Secondary Level,Rural regions,Good,0.28081,277,12677,0.25865,0.30402
15,15,1992,Lower Secondary Level,Rural regions,Satisfactory,0.35498,250,12677,0.3296,0.38441
16,16,1992,Lower Secondary Level,Rural regions,Poor,0.18139,132,12677,0.16336,0.20219
17,17,1992,Lower Secondary Level,Rural regions,Bad,0.07022,51,12677,0.05648,0.08308
18,18,1992,Upper Secondary Level,Urban regions,Very good,0.13214,632,12677,0.12547,0.13913
19,19,1992,Upper Secondary Level,Urban regions,Good,0.40469,1779,12677,0.39223,0.41966
20,20,1992,Upper Secondary Level,Urban regions,Satisfactory,0.29946,1154,12677,0.28951,0.30955
21,21,1992,Upper Secondary Level,Urban regions,Poor,0.12166,451,12677,0.11507,0.1287
22,22,1992,Upper Secondary Level,Urban regions,Bad,0.04204,137,12677,0.03813,0.04522
23,23,1992,Upper Secondary Level,Rural regions,Very good,0.1335,377,12677,0.12554,0.14267
24,24,1992,Upper Secondary Level,Rural regions,Good,0.40965,1072,12677,0.39436,0.42475
25,25,1992,Upper Secondary Level,Rural regions,Satisfactory,0.3048,732,12677,0.2914,0.32015
26,26,1992,Upper Secondary Level,Rural regions,Poor,0.10792,222,12677,0.09878,0.11909
27,27,1992,Upper Secondary Level,Rural regions,Bad,0.04414,84,12677,0.03942,0.0498
28,28,1992,Post-secondary Non-tertiary Level,Urban regions,Very good,0.18794,56,12677,0.15253,0.22205
29,29,1992,Post-secondary Non-tertiary Level,Urban regions,Good,0.56354,141,12677,0.50097,0.63946
30,30,1992,Post-secondary Non-tertiary Level,Urban regions,Satisfactory,0.24851,69,12677,0.21173,0.29206
31,31,1992,Post-secondary Non-tertiary Level,Rural regions,Good,1.0,39,12677,0.81647,1.18744
32,32,1992,First Stage of Tertiary Education,Urban regions,Very good,0.13192,67,12677,0.11198,0.15744
33,33,1992,First Stage of Tertiary Education,Urban regions,Good,0.39831,189,12677,0.35647,0.4402
34,34,1992,First Stage of Tertiary Education,Urban regions,Satisfactory,0.32974,141,12677,0.30054,0.35839
