,Unnamed: 0,year,age_gr,quintil_oecd,m11126,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1992,17-29 y.,1st Quintile,Very good,0.33952,236,12951,0.30693,0.37308
1,1,1992,17-29 y.,1st Quintile,Good,0.51101,333,12951,0.47208,0.54539
2,2,1992,17-29 y.,1st Quintile,Satisfactory,0.14947,102,12951,0.12697,0.17326
3,3,1992,17-29 y.,2nd Quintile,Very good,0.29154,264,12951,0.26157,0.31769
4,4,1992,17-29 y.,2nd Quintile,Good,0.54488,413,12951,0.5024,0.58216
5,5,1992,17-29 y.,2nd Quintile,Satisfactory,0.16358,100,12951,0.13974,0.1913
6,6,1992,17-29 y.,3rd Quintile,Very good,0.35063,254,12951,0.31968,0.38715
7,7,1992,17-29 y.,3rd Quintile,Good,0.48828,366,12951,0.44618,0.52832
8,8,1992,17-29 y.,3rd Quintile,Satisfactory,0.16109,108,12951,0.13672,0.18723
9,9,1992,17-29 y.,4th Quintile,Very good,0.35109,259,12951,0.32043,0.37832
10,10,1992,17-29 y.,4th Quintile,Good,0.48461,341,12951,0.44807,0.52888
11,11,1992,17-29 y.,4th Quintile,Satisfactory,0.1643,108,12951,0.14357,0.18809
12,12,1992,17-29 y.,5th Quintile,Very good,0.26549,165,12951,0.23978,0.29509
13,13,1992,17-29 y.,5th Quintile,Good,0.57255,279,12951,0.52956,0.61315
14,14,1992,17-29 y.,5th Quintile,Satisfactory,0.16195,91,12951,0.14193,0.17925
15,15,1992,30-45 y.,1st Quintile,Very good,0.13482,112,12951,0.1171,0.15223
16,16,1992,30-45 y.,1st Quintile,Good,0.5352,428,12951,0.49618,0.56874
17,17,1992,30-45 y.,1st Quintile,Satisfactory,0.24647,201,12951,0.22218,0.27918
18,18,1992,30-45 y.,1st Quintile,Poor,0.0835,63,12951,0.07012,0.09696
19,19,1992,30-45 y.,2nd Quintile,Very good,0.14674,149,12951,0.12966,0.16258
20,20,1992,30-45 y.,2nd Quintile,Good,0.54628,568,12951,0.51161,0.57488
21,21,1992,30-45 y.,2nd Quintile,Satisfactory,0.23619,217,12951,0.21318,0.25811
22,22,1992,30-45 y.,2nd Quintile,Poor,0.07078,75,12951,0.06005,0.08181
23,23,1992,30-45 y.,3rd Quintile,Very good,0.16258,140,12951,0.14618,0.17703
24,24,1992,30-45 y.,3rd Quintile,Good,0.49762,449,12951,0.46306,0.53226
25,25,1992,30-45 y.,3rd Quintile,Satisfactory,0.26689,220,12951,0.24006,0.29134
26,26,1992,30-45 y.,3rd Quintile,Poor,0.07291,64,12951,0.05929,0.0868
27,27,1992,30-45 y.,4th Quintile,Very good,0.18158,137,12951,0.16021,0.20095
28,28,1992,30-45 y.,4th Quintile,Good,0.48933,364,12951,0.45778,0.52054
29,29,1992,30-45 y.,4th Quintile,Satisfactory,0.24981,189,12951,0.22536,0.27793
30,30,1992,30-45 y.,4th Quintile,Poor,0.07928,70,12951,0.06736,0.09188
31,31,1992,30-45 y.,5th Quintile,Very good,0.17818,132,12951,0.16266,0.19665
32,32,1992,30-45 y.,5th Quintile,Good,0.50583,369,12951,0.47617,0.53892
33,33,1992,30-45 y.,5th Quintile,Satisfactory,0.24643,177,12951,0.22701,0.27046
34,34,1992,30-45 y.,5th Quintile,Poor,0.06956,55,12951,0.05726,0.08069
35,35,1992,46-65 y.,1st Quintile,Very good,0.04817,35,12951,0.03674,0.05685
36,36,1992,46-65 y.,1st Quintile,Good,0.21213,185,12951,0.19384,0.2302
37,37,1992,46-65 y.,1st Quintile,Satisfactory,0.43996,299,12951,0.40979,0.46761
38,38,1992,46-65 y.,1st Quintile,Poor,0.20314,166,12951,0.17753,0.22859
39,39,1992,46-65 y.,1st Quintile,Bad,0.09661,66,12951,0.07598,0.11764
40,40,1992,46-65 y.,2nd Quintile,Very good,0.05659,37,12951,0.04858,0.0668
41,41,1992,46-65 y.,2nd Quintile,Good,0.28607,229,12951,0.25913,0.30854
42,42,1992,46-65 y.,2nd Quintile,Satisfactory,0.43711,306,12951,0.40694,0.4733
43,43,1992,46-65 y.,2nd Quintile,Poor,0.16332,109,12951,0.14139,0.18608
44,44,1992,46-65 y.,2nd Quintile,Bad,0.05691,40,12951,0.04533,0.0731
45,45,1992,46-65 y.,3rd Quintile,Very good,0.07887,51,12951,0.06292,0.09989
46,46,1992,46-65 y.,3rd Quintile,Good,0.31724,252,12951,0.29254,0.34091
47,47,1992,46-65 y.,3rd Quintile,Satisfactory,0.3954,304,12951,0.36462,0.42216
48,48,1992,46-65 y.,3rd Quintile,Poor,0.1591,126,12951,0.14144,0.18324
49,49,1992,46-65 y.,3rd Quintile,Bad,0.04938,37,12951,0.03933,0.05737
50,50,1992,46-65 y.,4th Quintile,Very good,0.06431,52,12951,0.05472,0.07328
51,51,1992,46-65 y.,4th Quintile,Good,0.37002,336,12951,0.34911,0.39202
52,52,1992,46-65 y.,4th Quintile,Satisfactory,0.3662,334,12951,0.34128,0.39227
53,53,1992,46-65 y.,4th Quintile,Poor,0.15218,129,12951,0.13514,0.16815
54,54,1992,46-65 y.,4th Quintile,Bad,0.04729,49,12951,0.03944,0.05592
55,55,1992,46-65 y.,5th Quintile,Very good,0.0835,70,12951,0.07493,0.09362
56,56,1992,46-65 y.,5th Quintile,Good,0.39114,336,12951,0.36935,0.41351
57,57,1992,46-65 y.,5th Quintile,Satisfactory,0.39879,340,12951,0.37949,0.41947
58,58,1992,46-65 y.,5th Quintile,Poor,0.12656,112,12951,0.11375,0.14237
