"m11126","year","bildungsniveau","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Sehr gut","1992","(noch) kein Abschluss","männlich","92","0.317388305043524","0.2702781233195","0.364498486767549"
"Sehr gut","1992","(noch) kein Abschluss","weiblich","72","0.182155253449606","0.148187757096148","0.216122749803064"
"Sehr gut","1992","Hauptschule","männlich","452","0.117098033759799","0.105885485599888","0.12831058191971"
"Sehr gut","1992","Hauptschule","weiblich","305","0.0773457436682204","0.0683224677562047","0.0863690195802362"
"Sehr gut","1992","Realschule","männlich","314","0.186360376496874","0.165911692318622","0.206809060675125"
"Sehr gut","1992","Realschule","weiblich","314","0.159610045737947","0.142235963707778","0.176984127768116"
"Sehr gut","1992","(Fach-)Abitur","männlich","131","0.236995728122176","0.199833833955891","0.274157622288461"
"Sehr gut","1992","(Fach-)Abitur","weiblich","87","0.18427274856255","0.145892471989196","0.222653025135905"
"Sehr gut","1992","AkademikerIn","männlich","142","0.149563043186292","0.126378456483667","0.172747629888918"
"Sehr gut","1992","AkademikerIn","weiblich","146","0.20419325381403","0.175168837813738","0.233217669814322"
"Gut","1992","(noch) kein Abschluss","männlich","127","0.341688126589511","0.293685694148555","0.389690559030467"
"Gut","1992","(noch) kein Abschluss","weiblich","170","0.364240490525708","0.321891038392124","0.406589942659291"
"Gut","1992","Hauptschule","männlich","1248","0.372171793553231","0.355315370693239","0.389028216413222"
"Gut","1992","Hauptschule","weiblich","1119","0.295571358082248","0.28015874736634","0.310983968798156"
"Gut","1992","Realschule","männlich","704","0.490351483159056","0.464099527516215","0.516603438801898"
"Gut","1992","Realschule","weiblich","825","0.444379124196338","0.42080706993408","0.467951178458596"
"Gut","1992","(Fach-)Abitur","männlich","226","0.472843735868165","0.429212993321998","0.516474478414333"
"Gut","1992","(Fach-)Abitur","weiblich","185","0.478487717644821","0.429036985581638","0.527938449708004"
"Gut","1992","AkademikerIn","männlich","446","0.479155428309741","0.446679735342548","0.511631121276934"
"Gut","1992","AkademikerIn","weiblich","378","0.452802308991273","0.416962521036961","0.488642096945584"
