year,m11126,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1992,Very good,0.13826,2125,13290,0.13818,0.13834
1992,Good,0.38899,5518,13290,0.38887,0.38910
1992,Satisfactory,0.30497,3727,13290,0.30486,0.30508
1992,Poor,0.12155,1429,13290,0.12147,0.12163
1992,Bad,0.04624,491,13290,0.04619,0.04629
1994,Very good,0.08850,1340,12847,0.08843,0.08857
1994,Good,0.37911,5222,12847,0.37899,0.37922
1994,Satisfactory,0.33706,4070,12847,0.33695,0.33717
1994,Poor,0.15122,1750,12847,0.15114,0.15131
1994,Bad,0.04411,465,12847,0.04406,0.04416
1995,Very good,0.08229,1303,13243,0.08222,0.08235
1995,Good,0.38557,5459,13243,0.38546,0.38569
1995,Satisfactory,0.33944,4220,13243,0.33933,0.33956
1995,Poor,0.14999,1789,13243,0.14990,0.15008
1995,Bad,0.04271,472,13243,0.04266,0.04275
1996,Very good,0.08404,1288,13021,0.08397,0.08410
1996,Good,0.37642,5236,13021,0.37630,0.37653
1996,Satisfactory,0.35227,4352,13021,0.35215,0.35238
1996,Poor,0.14492,1691,13021,0.14483,0.14500
1996,Bad,0.04236,454,13021,0.04231,0.04241
1997,Very good,0.08357,1172,12810,0.08350,0.08363
1997,Good,0.38337,5430,12810,0.38326,0.38349
1997,Satisfactory,0.34980,4160,12810,0.34968,0.34991
1997,Poor,0.14051,1595,12810,0.14043,0.14060
1997,Bad,0.04275,453,12810,0.04270,0.04280
1998,Very good,0.09878,1474,14206,0.09871,0.09885
1998,Good,0.39875,6097,14206,0.39864,0.39887
1998,Satisfactory,0.32336,4392,14206,0.32325,0.32348
1998,Poor,0.13528,1729,14206,0.13520,0.13536
1998,Bad,0.04382,514,14206,0.04377,0.04387
1999,Very good,0.08977,1297,13644,0.08970,0.08984
1999,Good,0.38937,5687,13644,0.38925,0.38949
1999,Satisfactory,0.33659,4460,13644,0.33648,0.33671
1999,Poor,0.14035,1708,13644,0.14026,0.14043
1999,Bad,0.04392,492,13644,0.04387,0.04397
2000,Very good,0.10960,2673,24066,0.10953,0.10968
2000,Good,0.38206,9752,24066,0.38194,0.38217
2000,Satisfactory,0.33639,7807,24066,0.33627,0.33650
2000,Poor,0.13201,2988,24066,0.13193,0.13209
2000,Bad,0.03994,846,24066,0.03989,0.03999
2001,Very good,0.10878,2419,21890,0.10870,0.10885
2001,Good,0.38035,8800,21890,0.38024,0.38047
2001,Satisfactory,0.33420,7138,21890,0.33409,0.33431
2001,Poor,0.13677,2759,21890,0.13669,0.13685
2001,Bad,0.03990,774,21890,0.03985,0.03994
2002,Very good,0.09263,2346,22984,0.09256,0.09270
2002,Good,0.38109,9462,22984,0.38097,0.38120
2002,Satisfactory,0.34582,7527,22984,0.34571,0.34594
2002,Poor,0.13913,2889,22984,0.13905,0.13921
2002,Bad,0.04133,760,22984,0.04128,0.04137
2003,Very good,0.09234,2243,22127,0.09227,0.09241
2003,Good,0.39408,9271,22127,0.39397,0.39420
2003,Satisfactory,0.32944,7019,22127,0.32933,0.32956
2003,Poor,0.14100,2831,22127,0.14091,0.14108
2003,Bad,0.04314,763,22127,0.04309,0.04319
2004,Very good,0.09776,2197,21571,0.09769,0.09783
2004,Good,0.38062,8952,21571,0.38050,0.38073
2004,Satisfactory,0.32249,6785,21571,0.32238,0.32260
2004,Poor,0.15212,2832,21571,0.15203,0.15220
2004,Bad,0.04701,805,21571,0.04696,0.04706
2005,Very good,0.08854,1945,20628,0.08848,0.08861
2005,Good,0.37715,8305,20628,0.37704,0.37727
2005,Satisfactory,0.33569,6764,20628,0.33558,0.33580
