,Unnamed: 0,year,regtyp,m11126,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1992,Urban regions,Very good,0.13809,1384,13171,0.13251,0.14279
1,1,1992,Urban regions,Good,0.38999,3563,13171,0.38121,0.39964
2,2,1992,Urban regions,Satisfactory,0.3029,2395,13171,0.29569,0.3097
3,3,1992,Urban regions,Poor,0.12424,984,13171,0.11854,0.12978
4,4,1992,Urban regions,Bad,0.04477,310,13171,0.04151,0.04806
5,5,1992,Rural regions,Very good,0.13601,707,13171,0.13043,0.14326
6,6,1992,Rural regions,Good,0.38666,1905,13171,0.37624,0.3982
7,7,1992,Rural regions,Satisfactory,0.31121,1308,13171,0.30003,0.32177
8,8,1992,Rural regions,Poor,0.11646,438,13171,0.10979,0.12425
9,9,1992,Rural regions,Bad,0.04966,177,13171,0.04513,0.05354
10,10,1994,Urban regions,Very good,0.08798,899,12847,0.08395,0.09281
11,11,1994,Urban regions,Good,0.37862,3406,12847,0.37,0.38832
12,12,1994,Urban regions,Satisfactory,0.33075,2597,12847,0.32216,0.33954
13,13,1994,Urban regions,Poor,0.15844,1229,12847,0.15141,0.16554
14,14,1994,Urban regions,Bad,0.04421,308,12847,0.04094,0.04752
15,15,1994,Rural regions,Very good,0.08965,441,12847,0.0825,0.09709
16,16,1994,Rural regions,Good,0.38018,1816,12847,0.36843,0.39294
17,17,1994,Rural regions,Satisfactory,0.351,1473,12847,0.33929,0.36246
18,18,1994,Rural regions,Poor,0.13527,521,12847,0.12544,0.14467
19,19,1994,Rural regions,Bad,0.0439,157,12847,0.03848,0.04891
20,20,1995,Urban regions,Very good,0.08268,886,13243,0.07849,0.08666
21,21,1995,Urban regions,Good,0.38499,3570,13243,0.37521,0.39473
22,22,1995,Urban regions,Satisfactory,0.33707,2693,13243,0.32739,0.34516
23,23,1995,Urban regions,Poor,0.15048,1207,13243,0.14411,0.15754
24,24,1995,Urban regions,Bad,0.04478,330,13243,0.04106,0.04879
25,25,1995,Rural regions,Very good,0.08143,417,13243,0.0757,0.0883
26,26,1995,Rural regions,Good,0.38684,1889,13243,0.37419,0.39815
27,27,1995,Rural regions,Satisfactory,0.34458,1527,13243,0.33082,0.35828
28,28,1995,Rural regions,Poor,0.14894,582,13243,0.13981,0.15949
29,29,1995,Rural regions,Bad,0.03821,142,13243,0.03348,0.04401
30,30,1996,Urban regions,Very good,0.08768,899,13021,0.08285,0.09222
31,31,1996,Urban regions,Good,0.37197,3389,13021,0.36206,0.38105
32,32,1996,Urban regions,Satisfactory,0.34832,2764,13021,0.33904,0.35937
33,33,1996,Urban regions,Poor,0.14882,1145,13021,0.1421,0.15516
34,34,1996,Urban regions,Bad,0.04321,307,13021,0.03936,0.04717
35,35,1996,Rural regions,Very good,0.07599,389,13021,0.07093,0.08111
36,36,1996,Rural regions,Good,0.38624,1847,13021,0.3719,0.39953
37,37,1996,Rural regions,Satisfactory,0.361,1588,13021,0.34794,0.37281
38,38,1996,Rural regions,Poor,0.1363,546,13021,0.12787,0.14569
39,39,1996,Rural regions,Bad,0.04047,147,13021,0.03595,0.04557
40,40,1997,Urban regions,Very good,0.08475,795,12809,0.07958,0.08923
41,41,1997,Urban regions,Good,0.38761,3581,12809,0.37857,0.3981
42,42,1997,Urban regions,Satisfactory,0.34101,2604,12809,0.33233,0.35125
43,43,1997,Urban regions,Poor,0.14305,1078,12809,0.13635,0.14928
44,44,1997,Urban regions,Bad,0.04358,300,12809,0.04034,0.04736
45,45,1997,Rural regions,Very good,0.081,377,12809,0.07354,0.08792
46,46,1997,Rural regions,Good,0.37369,1848,12809,0.35981,0.38457
47,47,1997,Rural regions,Satisfactory,0.36944,1556,12809,0.35612,0.38235
48,48,1997,Rural regions,Poor,0.13495,517,12809,0.12479,0.1438
49,49,1997,Rural regions,Bad,0.04093,153,12809,0.03576,0.04673
50,50,1998,Urban regions,Very good,0.10188,1006,14206,0.09702,0.10621
51,51,1998,Urban regions,Good,0.40068,3981,14206,0.38976,0.40951
52,52,1998,Urban regions,Satisfactory,0.31632,2772,14206,0.30861,0.32277
53,53,1998,Urban regions,Poor,0.13603,1151,14206,0.13045,0.14105
54,54,1998,Urban regions,Bad,0.04509,341,14206,0.04212,0.04922
55,55,1998,Rural regions,Very good,0.09195,468,14206,0.08646,0.09808
56,56,1998,Rural regions,Good,0.39452,2116,14206,0.38418,0.40628
57,57,1998,Rural regions,Satisfactory,0.33885,1620,14206,0.32925,0.34935
58,58,1998,Rural regions,Poor,0.13365,578,14206,0.12594,0.14307
59,59,1998,Rural regions,Bad,0.04104,173,14206,0.03632,0.04532
60,60,1999,Urban regions,Very good,0.0969,913,13644,0.09275,0.10238
61,61,1999,Urban regions,Good,0.38706,3690,13644,0.37765,0.3973
62,62,1999,Urban regions,Satisfactory,0.3276,2791,13644,0.31871,0.33698
63,63,1999,Urban regions,Poor,0.14562,1137,13644,0.14001,0.15169
64,64,1999,Urban regions,Bad,0.04282,323,13644,0.03938,0.04597
65,65,1999,Rural regions,Very good,0.07398,384,13644,0.06873,0.07989
66,66,1999,Rural regions,Good,0.39449,1997,13644,0.38283,0.40978
67,67,1999,Rural regions,Satisfactory,0.3565,1669,13644,0.34316,0.367
68,68,1999,Rural regions,Poor,0.12867,571,13644,0.12138,0.13775
69,69,1999,Rural regions,Bad,0.04637,169,13644,0.04158,0.05024
70,70,2000,Urban regions,Very good,0.11487,1853,24066,0.11154,0.1173
71,71,2000,Urban regions,Good,0.38322,6347,24066,0.37689,0.38876
72,72,2000,Urban regions,Satisfactory,0.33081,4987,24066,0.32591,0.33697
73,73,2000,Urban regions,Poor,0.13082,1940,24066,0.12741,0.13455
74,74,2000,Urban regions,Bad,0.04028,554,24066,0.0387,0.0421
75,75,2000,Rural regions,Very good,0.09834,820,24066,0.09458,0.10255
76,76,2000,Rural regions,Good,0.37957,3405,24066,0.37348,0.38814
77,77,2000,Rural regions,Satisfactory,0.34832,2820,24066,0.34148,0.35474
78,78,2000,Rural regions,Poor,0.13457,1048,24066,0.13009,0.13884
79,79,2000,Rural regions,Bad,0.03921,292,24066,0.03665,0.04159
80,80,2001,Urban regions,Very good,0.11201,1659,21890,0.10859,0.11514
81,81,2001,Urban regions,Good,0.38615,5788,21890,0.38037,0.3925
82,82,2001,Urban regions,Satisfactory,0.32704,4547,21890,0.32052,0.33349
83,83,2001,Urban regions,Poor,0.13381,1776,21890,0.13013,0.13758
84,84,2001,Urban regions,Bad,0.04099,510,21890,0.03896,0.04311
85,85,2001,Rural regions,Very good,0.10186,760,21890,0.09708,0.10717
86,86,2001,Rural regions,Good,0.36795,3012,21890,0.35847,0.37763
87,87,2001,Rural regions,Satisfactory,0.34951,2591,21890,0.3431,0.35792
88,88,2001,Rural regions,Poor,0.14311,983,21890,0.13739,0.14811
89,89,2001,Rural regions,Bad,0.03757,264,21890,0.0346,0.04015
90,90,2002,Urban regions,Very good,0.09307,1638,22984,0.08927,0.09714
91,91,2002,Urban regions,Good,0.38387,6314,22984,0.3755,0.39065
92,92,2002,Urban regions,Satisfactory,0.34079,4881,22984,0.33305,0.34743
93,93,2002,Urban regions,Poor,0.13916,1906,22984,0.1343,0.14372
94,94,2002,Urban regions,Bad,0.04311,505,22984,0.04107,0.04541
95,95,2002,Rural regions,Very good,0.0917,708,22984,0.08635,0.09761
96,96,2002,Rural regions,Good,0.37518,3148,22984,0.36392,0.38601
97,97,2002,Rural regions,Satisfactory,0.3565,2646,22984,0.34711,0.36619
98,98,2002,Rural regions,Poor,0.13907,983,22984,0.1334,0.14535
99,99,2002,Rural regions,Bad,0.03755,255,22984,0.03486,0.04045
100,100,2003,Urban regions,Very good,0.09747,1610,22127,0.09328,0.102
101,101,2003,Urban regions,Good,0.39514,6179,22127,0.3854,0.40256
102,102,2003,Urban regions,Satisfactory,0.32028,4516,22127,0.31295,0.32696
103,103,2003,Urban regions,Poor,0.1439,1908,22127,0.13968,0.14716
104,104,2003,Urban regions,Bad,0.04323,495,22127,0.04106,0.04556
