,Unnamed: 0,year,age_gr,migback,m11126,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1992,17-29 y.,No migration background,Very good,0.30224,804,13066,0.28983,0.31531
1,1,1992,17-29 y.,No migration background,Good,0.50546,1273,13066,0.48703,0.5231
2,2,1992,17-29 y.,No migration background,Satisfactory,0.1585,391,13066,0.14913,0.16982
3,3,1992,17-29 y.,No migration background,Poor,0.03381,85,13066,0.02986,0.04009
4,4,1992,17-29 y.,Direct migration background,Very good,0.32148,211,13066,0.27786,0.36344
5,5,1992,17-29 y.,Direct migration background,Good,0.52185,308,13066,0.45596,0.60191
6,6,1992,17-29 y.,Direct migration background,Satisfactory,0.15667,87,13066,0.12708,0.19102
7,7,1992,17-29 y.,Indirect migration background,Very good,0.46582,164,13066,0.40553,0.52788
8,8,1992,17-29 y.,Indirect migration background,Good,0.43746,151,13066,0.37958,0.49888
9,9,1992,17-29 y.,Indirect migration background,Satisfactory,0.09673,31,13066,0.06161,0.14263
10,10,1992,30-45 y.,No migration background,Very good,0.15683,550,13066,0.14866,0.16441
11,11,1992,30-45 y.,No migration background,Good,0.50938,1818,13066,0.49444,0.52389
12,12,1992,30-45 y.,No migration background,Satisfactory,0.24638,797,13066,0.23694,0.2583
13,13,1992,30-45 y.,No migration background,Poor,0.06864,221,13066,0.06346,0.0744
14,14,1992,30-45 y.,No migration background,Bad,0.01877,53,13066,0.01551,0.02209
15,15,1992,30-45 y.,Direct migration background,Very good,0.191,116,13066,0.16052,0.22863
16,16,1992,30-45 y.,Direct migration background,Good,0.46304,351,13066,0.41966,0.51234
17,17,1992,30-45 y.,Direct migration background,Satisfactory,0.23264,197,13066,0.20096,0.26706
18,18,1992,30-45 y.,Direct migration background,Poor,0.11333,105,13066,0.09569,0.13147
19,19,1992,46-65 y.,No migration background,Very good,0.06608,190,13066,0.06038,0.07217
20,20,1992,46-65 y.,No migration background,Good,0.32481,1021,13066,0.31474,0.33517
21,21,1992,46-65 y.,No migration background,Satisfactory,0.40772,1236,13066,0.39698,0.41903
22,22,1992,46-65 y.,No migration background,Poor,0.15033,435,13066,0.14281,0.15778
23,23,1992,46-65 y.,No migration background,Bad,0.05106,140,13066,0.04571,0.0554
24,24,1992,46-65 y.,Direct migration background,Very good,0.07377,53,13066,0.05785,0.0915
25,25,1992,46-65 y.,Direct migration background,Good,0.32537,313,13066,0.29619,0.3575
26,26,1992,46-65 y.,Direct migration background,Satisfactory,0.35688,346,13066,0.32347,0.3853
27,27,1992,46-65 y.,Direct migration background,Poor,0.18988,207,13066,0.16542,0.2121
28,28,1992,46-65 y.,Direct migration background,Bad,0.0541,74,13066,0.04635,0.06243
29,29,1992,66 and older,No migration background,Good,0.19093,241,13066,0.1802,0.20134
30,30,1992,66 and older,No migration background,Satisfactory,0.43381,576,13066,0.41988,0.45106
31,31,1992,66 and older,No migration background,Poor,0.24883,308,13066,0.23919,0.26068
32,32,1992,66 and older,No migration background,Bad,0.12643,158,13066,0.11726,0.13489
33,33,1992,66 and older,Direct migration background,Satisfactory,1.0,55,13066,0.82629,1.2601
34,34,1994,17-29 y.,No migration background,Very good,0.19284,470,12661,0.18094,0.20603
35,35,1994,17-29 y.,No migration background,Good,0.53082,1260,12661,0.51159,0.55175
36,36,1994,17-29 y.,No migration background,Satisfactory,0.21732,495,12661,0.2042,0.23245
37,37,1994,17-29 y.,No migration background,Poor,0.05902,135,12661,0.05234,0.06655
38,38,1994,17-29 y.,Direct migration background,Very good,0.24237,126,12661,0.20715,0.27856
39,39,1994,17-29 y.,Direct migration background,Good,0.56556,284,12661,0.50687,0.65092
40,40,1994,17-29 y.,Direct migration background,Satisfactory,0.19206,83,12661,0.15365,0.23013
41,41,1994,17-29 y.,Indirect migration background,Very good,0.37871,151,12661,0.32815,0.44045
42,42,1994,17-29 y.,Indirect migration background,Good,0.4287,189,12661,0.38015,0.48097
43,43,1994,17-29 y.,Indirect migration background,Satisfactory,0.19259,71,12661,0.15026,0.23403
44,44,1994,30-45 y.,No migration background,Very good,0.09371,321,12661,0.08725,0.10161
45,45,1994,30-45 y.,No migration background,Good,0.48501,1659,12661,0.46917,0.50027
46,46,1994,30-45 y.,No migration background,Satisfactory,0.30565,1031,12661,0.29381,0.31726
47,47,1994,30-45 y.,No migration background,Poor,0.09717,327,12661,0.08965,0.10434
48,48,1994,30-45 y.,No migration background,Bad,0.01846,53,12661,0.01428,0.0221
49,49,1994,30-45 y.,Direct migration background,Very good,0.14853,91,12661,0.10867,0.19981
50,50,1994,30-45 y.,Direct migration background,Good,0.45494,316,12661,0.40091,0.52155
51,51,1994,30-45 y.,Direct migration background,Satisfactory,0.26829,186,12661,0.23178,0.30336
52,52,1994,30-45 y.,Direct migration background,Poor,0.12824,99,12661,0.10674,0.15897
53,53,1994,46-65 y.,No migration background,Very good,0.04119,114,12661,0.03759,0.04586
54,54,1994,46-65 y.,No migration background,Good,0.31024,914,12661,0.29616,0.3244
55,55,1994,46-65 y.,No migration background,Satisfactory,0.41545,1243,12661,0.40138,0.42959
56,56,1994,46-65 y.,No migration background,Poor,0.18818,528,12661,0.17843,0.19826
57,57,1994,46-65 y.,No migration background,Bad,0.04494,125,12661,0.04003,0.05022
58,58,1994,46-65 y.,Direct migration background,Very good,0.04187,36,12661,0.02763,0.05909
59,59,1994,46-65 y.,Direct migration background,Good,0.31865,302,12661,0.29126,0.35079
60,60,1994,46-65 y.,Direct migration background,Satisfactory,0.36302,315,12661,0.32521,0.39952
61,61,1994,46-65 y.,Direct migration background,Poor,0.21902,228,12661,0.19108,0.24602
62,62,1994,46-65 y.,Direct migration background,Bad,0.05745,67,12661,0.04718,0.07235
63,63,1994,66 and older,No migration background,Good,0.1814,243,12661,0.16963,0.19071
64,64,1994,66 and older,No migration background,Satisfactory,0.4311,566,12661,0.41259,0.44799
65,65,1994,66 and older,No migration background,Poor,0.26437,330,12661,0.25196,0.27602
66,66,1994,66 and older,No migration background,Bad,0.12314,153,12661,0.11317,0.13342
67,67,1994,66 and older,Direct migration background,Good,0.24067,38,12661,0.20839,0.27446
68,68,1994,66 and older,Direct migration background,Satisfactory,0.41588,64,12661,0.34986,0.48099
69,69,1994,66 and older,Direct migration background,Poor,0.34345,48,12661,0.27411,0.42766
70,70,1995,17-29 y.,No migration background,Very good,0.17333,409,12996,0.16087,0.18574
71,71,1995,17-29 y.,No migration background,Good,0.55902,1253,12996,0.54036,0.57836
72,72,1995,17-29 y.,No migration background,Satisfactory,0.20405,484,12996,0.19078,0.21627
73,73,1995,17-29 y.,No migration background,Poor,0.0636,134,12996,0.05553,0.07177
74,74,1995,17-29 y.,Direct migration background,Very good,0.30753,155,12996,0.26639,0.3555
75,75,1995,17-29 y.,Direct migration background,Good,0.55245,334,12996,0.4995,0.61085
76,76,1995,17-29 y.,Direct migration background,Satisfactory,0.14002,84,12996,0.11412,0.16459
77,77,1995,17-29 y.,Indirect migration background,Very good,0.33426,140,12996,0.28134,0.3942
78,78,1995,17-29 y.,Indirect migration background,Good,0.48765,201,12996,0.42664,0.56588
79,79,1995,17-29 y.,Indirect migration background,Satisfactory,0.17809,66,12996,0.13741,0.22453
80,80,1995,30-45 y.,No migration background,Very good,0.08471,323,12996,0.07924,0.09026
81,81,1995,30-45 y.,No migration background,Good,0.48371,1691,12996,0.46795,0.49982
82,82,1995,30-45 y.,No migration background,Satisfactory,0.32937,1092,12996,0.31272,0.34414
83,83,1995,30-45 y.,No migration background,Poor,0.08842,308,12996,0.08156,0.0954
84,84,1995,30-45 y.,No migration background,Bad,0.01379,51,12996,0.01126,0.01713
85,85,1995,30-45 y.,Direct migration background,Very good,0.14507,117,12996,0.12066,0.17254
86,86,1995,30-45 y.,Direct migration background,Good,0.464,426,12996,0.41932,0.51645
87,87,1995,30-45 y.,Direct migration background,Satisfactory,0.27714,258,12996,0.2475,0.30726
88,88,1995,30-45 y.,Direct migration background,Poor,0.11379,101,12996,0.09224,0.13548
89,89,1995,46-65 y.,No migration background,Very good,0.03113,88,12996,0.02772,0.03429
90,90,1995,46-65 y.,No migration background,Good,0.3112,905,12996,0.29846,0.32624
91,91,1995,46-65 y.,No migration background,Satisfactory,0.42004,1247,12996,0.40688,0.43379
92,92,1995,46-65 y.,No migration background,Poor,0.19131,548,12996,0.181,0.20049
93,93,1995,46-65 y.,No migration background,Bad,0.04632,118,12996,0.04062,0.05185
94,94,1995,46-65 y.,Direct migration background,Good,0.3484,334,12996,0.31466,0.38122
95,95,1995,46-65 y.,Direct migration background,Satisfactory,0.35733,350,12996,0.32258,0.39917
96,96,1995,46-65 y.,Direct migration background,Poor,0.22119,243,12996,0.19416,0.24958
97,97,1995,46-65 y.,Direct migration background,Bad,0.07308,82,12996,0.05731,0.09063
98,98,1995,66 and older,No migration background,Good,0.19076,250,12996,0.17921,0.20268
99,99,1995,66 and older,No migration background,Satisfactory,0.42061,537,12996,0.40314,0.44144
100,100,1995,66 and older,No migration background,Poor,0.27459,336,12996,0.26022,0.2921
101,101,1995,66 and older,No migration background,Bad,0.11405,149,12996,0.10638,0.12257
102,102,1995,66 and older,Direct migration background,Good,0.21802,38,12996,0.17889,0.2532
103,103,1995,66 and older,Direct migration background,Satisfactory,0.4968,85,12996,0.41568,0.57844
104,104,1995,66 and older,Direct migration background,Poor,0.28518,59,12996,0.23558,0.34472
105,105,1996,17-29 y.,No migration background,Very good,0.17009,381,12821,0.15838,0.18301
106,106,1996,17-29 y.,No migration background,Good,0.56412,1192,12821,0.54209,0.59279
107,107,1996,17-29 y.,No migration background,Satisfactory,0.21466,460,12821,0.20146,0.22822
108,108,1996,17-29 y.,No migration background,Poor,0.05112,111,12821,0.04495,0.059
109,109,1996,17-29 y.,Direct migration background,Very good,0.27101,142,12821,0.22717,0.30843
110,110,1996,17-29 y.,Direct migration background,Good,0.51656,274,12821,0.44711,0.58677
111,111,1996,17-29 y.,Direct migration background,Satisfactory,0.21242,89,12821,0.17936,0.25223
112,112,1996,17-29 y.,Indirect migration background,Very good,0.31897,143,12821,0.26704,0.37253
113,113,1996,17-29 y.,Indirect migration background,Good,0.45242,207,12821,0.39519,0.50186
114,114,1996,17-29 y.,Indirect migration background,Satisfactory,0.2286,90,12821,0.18433,0.27976
115,115,1996,30-45 y.,No migration background,Very good,0.1029,346,12821,0.09709,0.11095
116,116,1996,30-45 y.,No migration background,Good,0.48834,1715,12821,0.47071,0.50492
117,117,1996,30-45 y.,No migration background,Satisfactory,0.30787,1095,12821,0.29473,0.32046
118,118,1996,30-45 y.,No migration background,Poor,0.08359,297,12821,0.07664,0.09149
119,119,1996,30-45 y.,No migration background,Bad,0.01729,57,12821,0.01493,0.02069
120,120,1996,30-45 y.,Direct migration background,Very good,0.12114,90,12821,0.09783,0.14506
121,121,1996,30-45 y.,Direct migration background,Good,0.47643,393,12821,0.41923,0.5289
122,122,1996,30-45 y.,Direct migration background,Satisfactory,0.29442,259,12821,0.2588,0.32894
123,123,1996,30-45 y.,Direct migration background,Poor,0.10801,94,12821,0.08765,0.12918
124,124,1996,46-65 y.,No migration background,Very good,0.03459,106,12821,0.0309,0.03784
125,125,1996,46-65 y.,No migration background,Good,0.30276,881,12821,0.28969,0.31578
126,126,1996,46-65 y.,No migration background,Satisfactory,0.43151,1271,12821,0.41626,0.44679
127,127,1996,46-65 y.,No migration background,Poor,0.18897,536,12821,0.1796,0.19861
128,128,1996,46-65 y.,No migration background,Bad,0.04217,109,12821,0.03729,0.04956
129,129,1996,46-65 y.,Direct migration background,Very good,0.04497,37,12821,0.03093,0.06323
130,130,1996,46-65 y.,Direct migration background,Good,0.30009,281,12821,0.26936,0.33189
131,131,1996,46-65 y.,Direct migration background,Satisfactory,0.39255,370,12821,0.34948,0.4357
