,Unnamed: 0,year,regtyp,sex,m11126,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1992,Urban regions,male,Very good,0.15867,777,13171,0.15084,0.16706
1,1,1992,Urban regions,male,Good,0.42132,1808,13171,0.40769,0.43599
2,2,1992,Urban regions,male,Satisfactory,0.28152,1092,13171,0.27216,0.29187
3,3,1992,Urban regions,male,Poor,0.10235,403,13171,0.09583,0.10932
4,4,1992,Urban regions,male,Bad,0.03613,123,13171,0.03191,0.04074
5,5,1992,Urban regions,female,Very good,0.1193,607,13171,0.1125,0.12574
6,6,1992,Urban regions,female,Good,0.36138,1755,13171,0.3518,0.37293
7,7,1992,Urban regions,female,Satisfactory,0.32242,1303,13171,0.31129,0.33383
8,8,1992,Urban regions,female,Poor,0.14423,581,13171,0.13721,0.15339
9,9,1992,Urban regions,female,Bad,0.05267,187,13171,0.04741,0.05785
10,10,1992,Rural regions,male,Very good,0.14825,373,13171,0.13794,0.15839
11,11,1992,Rural regions,male,Good,0.41492,958,13171,0.39383,0.43311
12,12,1992,Rural regions,male,Satisfactory,0.29809,600,13171,0.28284,0.31353
13,13,1992,Rural regions,male,Poor,0.09199,178,13171,0.08426,0.10057
14,14,1992,Rural regions,male,Bad,0.04676,84,13171,0.04031,0.05299
15,15,1992,Rural regions,female,Very good,0.12446,334,13171,0.11519,0.13386
16,16,1992,Rural regions,female,Good,0.36001,947,13171,0.3442,0.37682
17,17,1992,Rural regions,female,Satisfactory,0.32359,708,13171,0.31036,0.34045
18,18,1992,Rural regions,female,Poor,0.13954,260,13171,0.12723,0.15072
19,19,1992,Rural regions,female,Bad,0.0524,93,13171,0.04596,0.0592
20,20,1994,Urban regions,male,Very good,0.09853,478,12847,0.09175,0.10577
21,21,1994,Urban regions,male,Good,0.41543,1758,12847,0.40023,0.42874
22,22,1994,Urban regions,male,Satisfactory,0.3131,1201,12847,0.30137,0.32384
23,23,1994,Urban regions,male,Poor,0.1361,499,12847,0.1286,0.14443
24,24,1994,Urban regions,male,Bad,0.03684,136,12847,0.03201,0.04118
25,25,1994,Urban regions,female,Very good,0.07828,421,12847,0.07244,0.08401
26,26,1994,Urban regions,female,Good,0.34478,1648,12847,0.3327,0.35697
27,27,1994,Urban regions,female,Satisfactory,0.34697,1396,12847,0.33432,0.35955
28,28,1994,Urban regions,female,Poor,0.17899,730,12847,0.17029,0.18753
29,29,1994,Urban regions,female,Bad,0.05098,172,12847,0.04616,0.05608
30,30,1994,Rural regions,male,Very good,0.10862,247,12847,0.09774,0.11796
31,31,1994,Rural regions,male,Good,0.40466,917,12847,0.38523,0.42547
32,32,1994,Rural regions,male,Satisfactory,0.34787,695,12847,0.32918,0.36657
33,33,1994,Rural regions,male,Poor,0.10494,204,12847,0.09484,0.11407
34,34,1994,Rural regions,male,Bad,0.03391,65,12847,0.02865,0.04097
35,35,1994,Rural regions,female,Very good,0.07194,194,12847,0.06365,0.08116
36,36,1994,Rural regions,female,Good,0.35733,899,12847,0.3409,0.37683
37,37,1994,Rural regions,female,Satisfactory,0.35392,778,12847,0.33608,0.37303
38,38,1994,Rural regions,female,Poor,0.16358,317,12847,0.14791,0.17883
39,39,1994,Rural regions,female,Bad,0.05323,92,12847,0.04686,0.06106
40,40,1995,Urban regions,male,Very good,0.0951,488,13243,0.08827,0.10098
41,41,1995,Urban regions,male,Good,0.41371,1804,13243,0.39823,0.42808
42,42,1995,Urban regions,male,Satisfactory,0.3286,1260,13243,0.31533,0.33973
43,43,1995,Urban regions,male,Poor,0.12806,496,13243,0.12051,0.13783
44,44,1995,Urban regions,male,Bad,0.03454,130,13243,0.02938,0.03999
45,45,1995,Urban regions,female,Very good,0.07131,398,13243,0.06567,0.07739
46,46,1995,Urban regions,female,Good,0.35869,1766,13243,0.34653,0.37311
47,47,1995,Urban regions,female,Satisfactory,0.34482,1433,13243,0.33205,0.35848
48,48,1995,Urban regions,female,Poor,0.17101,711,13243,0.1602,0.18016
49,49,1995,Urban regions,female,Bad,0.05416,200,13243,0.04903,0.05976
50,50,1995,Rural regions,male,Very good,0.09502,224,13243,0.08529,0.10397
51,51,1995,Rural regions,male,Good,0.4086,959,13243,0.38804,0.42781
52,52,1995,Rural regions,male,Satisfactory,0.34656,729,13243,0.32599,0.36652
53,53,1995,Rural regions,male,Poor,0.11867,238,13243,0.10851,0.12903
54,54,1995,Rural regions,male,Bad,0.03115,57,13243,0.02551,0.03721
55,55,1995,Rural regions,female,Very good,0.06862,193,13243,0.06054,0.07838
56,56,1995,Rural regions,female,Good,0.36631,930,13243,0.34678,0.38869
57,57,1995,Rural regions,female,Satisfactory,0.34272,798,13243,0.32479,0.35882
58,58,1995,Rural regions,female,Poor,0.17748,344,13243,0.16409,0.19036
59,59,1995,Rural regions,female,Bad,0.04487,85,13243,0.03796,0.05348
60,60,1996,Urban regions,male,Very good,0.09111,465,13021,0.08421,0.09752
61,61,1996,Urban regions,male,Good,0.40183,1708,13021,0.38925,0.41713
62,62,1996,Urban regions,male,Satisfactory,0.34393,1301,13021,0.33074,0.35788
63,63,1996,Urban regions,male,Poor,0.12447,477,13021,0.11699,0.13315
64,64,1996,Urban regions,male,Bad,0.03866,134,13021,0.03303,0.04335
65,65,1996,Urban regions,female,Very good,0.08453,434,13021,0.07913,0.09106
66,66,1996,Urban regions,female,Good,0.34452,1681,13021,0.331,0.35781
67,67,1996,Urban regions,female,Satisfactory,0.35235,1463,13021,0.33932,0.36596
68,68,1996,Urban regions,female,Poor,0.1712,668,13021,0.16223,0.18109
69,69,1996,Urban regions,female,Bad,0.04739,173,13021,0.04206,0.05236
70,70,1996,Rural regions,male,Very good,0.07685,197,13021,0.06911,0.08693
71,71,1996,Rural regions,male,Good,0.42494,962,13021,0.40572,0.4477
72,72,1996,Rural regions,male,Satisfactory,0.35482,758,13021,0.33766,0.37316
73,73,1996,Rural regions,male,Poor,0.10776,207,13021,0.09577,0.12066
74,74,1996,Rural regions,male,Bad,0.03563,70,13021,0.0293,0.04205
75,75,1996,Rural regions,female,Very good,0.07518,192,13021,0.06639,0.08478
76,76,1996,Rural regions,female,Good,0.34962,885,13021,0.33275,0.36896
77,77,1996,Rural regions,female,Satisfactory,0.36684,830,13021,0.34592,0.38519
78,78,1996,Rural regions,female,Poor,0.16331,339,13021,0.14732,0.17536
79,79,1996,Rural regions,female,Bad,0.04505,77,13021,0.0377,0.05424
80,80,1997,Urban regions,male,Very good,0.0933,450,12809,0.08422,0.10052
81,81,1997,Urban regions,male,Good,0.42005,1826,12809,0.40476,0.43497
82,82,1997,Urban regions,male,Satisfactory,0.32966,1195,12809,0.31571,0.3432
83,83,1997,Urban regions,male,Poor,0.11853,452,12809,0.1112,0.12744
84,84,1997,Urban regions,male,Bad,0.03847,119,12809,0.03284,0.04326
85,85,1997,Urban regions,female,Very good,0.07682,345,12809,0.07048,0.08419
86,86,1997,Urban regions,female,Good,0.35753,1755,12809,0.34524,0.37052
87,87,1997,Urban regions,female,Satisfactory,0.35154,1409,12809,0.33873,0.36562
88,88,1997,Urban regions,female,Poor,0.16579,626,12809,0.15754,0.17527
89,89,1997,Urban regions,female,Bad,0.04832,181,12809,0.04267,0.05296
90,90,1997,Rural regions,male,Very good,0.09102,203,12809,0.08162,0.10189
91,91,1997,Rural regions,male,Good,0.4008,947,12809,0.3829,0.4182
92,92,1997,Rural regions,male,Satisfactory,0.36228,724,12809,0.33899,0.38296
93,93,1997,Rural regions,male,Poor,0.11098,211,12809,0.10028,0.12472
94,94,1997,Rural regions,male,Bad,0.03493,72,12809,0.0294,0.04174
95,95,1997,Rural regions,female,Very good,0.07159,174,12809,0.06285,0.08299
96,96,1997,Rural regions,female,Good,0.34825,901,12809,0.32936,0.36458
97,97,1997,Rural regions,female,Satisfactory,0.37616,832,12809,0.35547,0.39395
98,98,1997,Rural regions,female,Poor,0.15744,306,12809,0.14097,0.17255
99,99,1997,Rural regions,female,Bad,0.04656,81,12809,0.03989,0.05506
100,100,1998,Urban regions,male,Very good,0.11303,538,14206,0.10599,0.12108
101,101,1998,Urban regions,male,Good,0.43327,2025,14206,0.42191,0.44708
102,102,1998,Urban regions,male,Satisfactory,0.29709,1272,14206,0.28723,0.30796
103,103,1998,Urban regions,male,Poor,0.12123,486,14206,0.11408,0.12899
104,104,1998,Urban regions,male,Bad,0.03538,136,14206,0.03082,0.03986
105,105,1998,Urban regions,female,Very good,0.0915,468,14206,0.08571,0.09719
106,106,1998,Urban regions,female,Good,0.37032,1956,14206,0.35989,0.38238
107,107,1998,Urban regions,female,Satisfactory,0.33424,1500,14206,0.32286,0.34657
108,108,1998,Urban regions,female,Poor,0.14981,665,14206,0.14213,0.15798
109,109,1998,Urban regions,female,Bad,0.05413,205,14206,0.04974,0.05954
110,110,1998,Rural regions,male,Very good,0.10163,259,14206,0.09354,0.10959
111,111,1998,Rural regions,male,Good,0.4093,1053,14206,0.3907,0.42509
112,112,1998,Rural regions,male,Satisfactory,0.34007,776,14206,0.32081,0.35742
113,113,1998,Rural regions,male,Poor,0.11762,260,14206,0.10595,0.12895
114,114,1998,Rural regions,male,Bad,0.03138,72,14206,0.02609,0.03609
115,115,1998,Rural regions,female,Very good,0.08274,209,14206,0.07479,0.09133
116,116,1998,Rural regions,female,Good,0.38047,1063,14206,0.36436,0.39784
117,117,1998,Rural regions,female,Satisfactory,0.33768,844,14206,0.32138,0.35323
118,118,1998,Rural regions,female,Poor,0.14889,318,14206,0.13712,0.16424
119,119,1998,Rural regions,female,Bad,0.05023,101,14206,0.04305,0.0574
120,120,1999,Urban regions,male,Very good,0.10218,475,13644,0.09543,0.1093
121,121,1999,Urban regions,male,Good,0.42246,1874,13644,0.40779,0.435
122,122,1999,Urban regions,male,Satisfactory,0.31895,1318,13644,0.30643,0.33318
123,123,1999,Urban regions,male,Poor,0.11804,461,13644,0.11107,0.12523
124,124,1999,Urban regions,male,Bad,0.03837,144,13644,0.03366,0.04319
125,125,1999,Urban regions,female,Very good,0.09193,438,13644,0.08584,0.09905
126,126,1999,Urban regions,female,Good,0.35373,1816,13644,0.34146,0.36783
127,127,1999,Urban regions,female,Satisfactory,0.33574,1473,13644,0.32625,0.34822
128,128,1999,Urban regions,female,Poor,0.17159,676,13644,0.16319,0.18213
129,129,1999,Urban regions,female,Bad,0.047,179,13644,0.04296,0.0517
130,130,1999,Rural regions,male,Very good,0.07634,197,13644,0.06899,0.08418
131,131,1999,Rural regions,male,Good,0.41778,1008,13644,0.3984,0.43757
132,132,1999,Rural regions,male,Satisfactory,0.35668,795,13644,0.338,0.37645
133,133,1999,Rural regions,male,Poor,0.11479,250,13644,0.1034,0.12479
134,134,1999,Rural regions,male,Bad,0.03442,72,13644,0.02906,0.04002
135,135,1999,Rural regions,female,Very good,0.07175,187,13644,0.06571,0.07844
136,136,1999,Rural regions,female,Good,0.37264,989,13644,0.35565,0.39467
137,137,1999,Rural regions,female,Satisfactory,0.35633,874,13644,0.34027,0.37731
138,138,1999,Rural regions,female,Poor,0.14169,321,13644,0.12983,0.15678
139,139,1999,Rural regions,female,Bad,0.05758,97,13644,0.05086,0.06538
140,140,2000,Urban regions,male,Very good,0.1254,949,24066,0.12097,0.13037
141,141,2000,Urban regions,male,Good,0.40969,3171,24066,0.40186,0.41666
142,142,2000,Urban regions,male,Satisfactory,0.31791,2320,24066,0.31002,0.32502
143,143,2000,Urban regions,male,Poor,0.11391,835,24066,0.10987,0.1182
144,144,2000,Urban regions,male,Bad,0.03308,225,24066,0.03092,0.03525
145,145,2000,Urban regions,female,Very good,0.10509,904,24066,0.10165,0.10943
146,146,2000,Urban regions,female,Good,0.35862,3176,24066,0.35128,0.36574
147,147,2000,Urban regions,female,Satisfactory,0.34279,2667,24066,0.3359,0.34962
148,148,2000,Urban regions,female,Poor,0.14653,1105,24066,0.1412,0.15226
149,149,2000,Urban regions,female,Bad,0.04698,329,24066,0.04447,0.04933
150,150,2000,Rural regions,male,Very good,0.10666,419,24066,0.10136,0.11229
151,151,2000,Rural regions,male,Good,0.4015,1719,24066,0.39263,0.41322
152,152,2000,Rural regions,male,Satisfactory,0.33889,1331,24066,0.33049,0.34961
153,153,2000,Rural regions,male,Poor,0.11731,451,24066,0.1108,0.12337
154,154,2000,Rural regions,male,Bad,0.03564,139,24066,0.0325,0.03914
155,155,2000,Rural regions,female,Very good,0.09043,401,24066,0.08541,0.09543
156,156,2000,Rural regions,female,Good,0.35875,1686,24066,0.34862,0.36834
