"year","bildungsniveau","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lowerconfidence_mean","upperconfidence_mean","minimum","maximum","lowerconfidence_median","upperconfidence_median"
"1990","(Fach-)Abitur","7.89","8.5","41","4","8","10","10","10","7.07","8.71","0","10","8","10"
"1990","(noch) kein Abschluss","","","","","","","","","","","","","",""
"1990","AkademikerIn","7.51","7.5","432","4","6","10","10","10","7.29","7.73","0","10","8","8"
"1990","Hauptschule","7.57","8.5","255","3","6","10","10","10","7.2","7.94","0","10","8","9"
"1990","Realschule","7.49","7.5","744","3","6","10","10","10","7.3","7.68","0","10","8","8"
"1991","(Fach-)Abitur","","","","","","","","","","","","","",""
"1991","(noch) kein Abschluss","","","","","","","","","","","","","",""
"1991","AkademikerIn","","","","","","","","","","","","","",""
"1991","Hauptschule","","","","","","","","","","","","","",""
"1991","Realschule","","","","","","","","","","","","","",""
"1992","(Fach-)Abitur","","","","","","","","","","","","","",""
"1992","(noch) kein Abschluss","","","","","","","","","","","","","",""
"1992","AkademikerIn","","","","","","","","","","","","","",""
"1992","Hauptschule","","","","","","","","","","","","","",""
"1992","Realschule","","","","","","","","","","","","","",""
"1993","(Fach-)Abitur","","","","","","","","","","","","","",""
"1993","(noch) kein Abschluss","","","","","","","","","","","","","",""
"1993","AkademikerIn","","","","","","","","","","","","","",""
"1993","Hauptschule","","","","","","","","","","","","","",""
"1993","Realschule","","","","","","","","","","","","","",""
"1994","(Fach-)Abitur","","","","","","","","","","","","","",""
"1994","(noch) kein Abschluss","","","","","","","","","","","","","",""
"1994","AkademikerIn","","","","","","","","","","","","","",""
"1994","Hauptschule","","","","","","","","","","","","","",""
"1994","Realschule","","","","","","","","","","","","","",""
"1995","(Fach-)Abitur","","","","","","","","","","","","","",""
"1995","(noch) kein Abschluss","","","","","","","","","","","","","",""
"1995","AkademikerIn","","","","","","","","","","","","","",""
"1995","Hauptschule","","","","","","","","","","","","","",""
"1995","Realschule","","","","","","","","","","","","","",""
"1996","(Fach-)Abitur","","","","","","","","","","","","","",""
"1996","(noch) kein Abschluss","","","","","","","","","","","","","",""
"1996","AkademikerIn","","","","","","","","","","","","","",""
"1996","Hauptschule","","","","","","","","","","","","","",""
"1996","Realschule","","","","","","","","","","","","","",""
"1997","(Fach-)Abitur","6.57","6.5","297","3","5","8","10","10","6.31","6.83","0","10","7","7"
"1997","(noch) kein Abschluss","6.11","5.5","150","3","4","8","9","10","5.73","6.49","0","10","6","7"
"1997","AkademikerIn","6.49","6.5","478","4","5","8","9","10","6.29","6.69","0","10","7","7"
"1997","Hauptschule","6.35","6.5","1377","3","5","8","10","10","6.22","6.48","0","10","7","7"
"1997","Realschule","6.42","6.5","1034","3","5","8","10","10","6.27","6.57","0","10","7","7"
"1998","(Fach-)Abitur","6.72","6.5","321","3","5","9","10","10","6.46","6.98","0","10","7","7"
"1998","(noch) kein Abschluss","6.31","6.5","144","3","5","8","9","10","5.93","6.69","0","10","6","7"
"1998","AkademikerIn","6.8","6.5","529","3","5","9","10","10","6.6","7","0","10","7","8"
"1998","Hauptschule","6.37","6.5","1383","3","5","8","10","10","6.24","6.5","0","10","7","7"
"1998","Realschule","6.75","6.5","1121","3","5","8","10","10","6.61","6.89","0","10","7","7"
"1999","(Fach-)Abitur","6.78","6.5","326","3","5","9","10","10","6.52","7.04","0","10","7","7"
"1999","(noch) kein Abschluss","6.26","6.5","138","2","5","8","10","10","5.87","6.65","0","10","6","7"
"1999","AkademikerIn","6.75","6.5","512","4","5","8","9","10","6.55","6.95","0","10","7","7"
"1999","Hauptschule","6.48","6.5","1411","3","5","8","10","10","6.35","6.61","0","10","7","7"
"1999","Realschule","6.58","6.5","1089","3","5","8","10","10","6.43","6.73","0","10","7","7"
"2000","(Fach-)Abitur","6.57","6.5","633","2","5","8","10","10","6.36","6.78","0","10","7","7"
"2000","(noch) kein Abschluss","6.46","6.5","131","2","5","8","10","10","5.98","6.94","0","10","6","8"
"2000","AkademikerIn","6.5","6.5","1005","2","5","8","10","10","6.34","6.66","0","10","7","7"
"2000","Hauptschule","6.46","6.5","2249","2","5","8","10","10","6.35","6.57","0","10","7","7"
"2000","Realschule","6.58","6.5","1893","3","5","8","10","10","6.47","6.69","0","10","7","7"
"2001","(Fach-)Abitur","6.57","6.5","503","3","5","9","10","10","6.34","6.8","0","10","7","8"
"2001","(noch) kein Abschluss","6.97","7.5","85","4","5","9","10","10","6.48","7.46","2","10","7","8"
"2001","AkademikerIn","6.33","6.5","740","2","5","8","9","10","6.14","6.52","0","10","7","7"
"2001","Hauptschule","6.32","6.5","1652","1","5","8","10","10","6.18","6.46","0","10","7","7"
"2001","Realschule","6.53","6.5","1385","3","5","9","10","10","6.39","6.67","0","10","7","7"
"2002","(Fach-)Abitur","6.38","6.5","523","3","5","8","10","10","6.16","6.6","0","10","6","7"
"2002","(noch) kein Abschluss","6.11","5.5","63","3","5","8","9","10","5.43","6.79","0","10","5","8"
"2002","AkademikerIn","6.54","6.5","833","3","5","8","9","10","6.37","6.71","0","10","7","7"
"2002","Hauptschule","6.3","6.5","1337","2","5","8","10","10","6.16","6.44","0","10","7","7"
"2002","Realschule","6.48","6.5","1323","3","5","8","10","10","6.34","6.62","0","10","7","7"
"2003","(Fach-)Abitur","6.21","5.5","1115","3","5","8","9","10","6.07","6.35","0","10","6","7"
"2003","(noch) kein Abschluss","6.06","5.5","290","2","5","8","9","10","5.78","6.34","0","10","6","7"
"2003","AkademikerIn","6.18","5.5","1962","3","5","8","9","10","6.07","6.29","0","10","6","7"
"2003","Hauptschule","6.33","6.5","2900","3","5","8","10","10","6.24","6.42","0","10","7","7"
"2003","Realschule","6.33","6.5","2856","3","5","8","10","10","6.24","6.42","0","10","7","7"
"2004","(Fach-)Abitur","6.38","6.5","488","3","5","8","9","10","6.16","6.6","0","10","6","7"
"2004","(noch) kein Abschluss","5.97","6.5","84","0","5","8","10","10","5.34","6.6","0","10","6","7"
"2004","AkademikerIn","6.39","6.5","776","3","5","8","9","10","6.22","6.56","0","10","7","7"
"2004","Hauptschule","6.13","6.5","1232","2","5","8","10","10","5.98","6.28","0","10","7","7"
"2004","Realschule","6.42","6.5","1286","3","5","8","10","10","6.28","6.56","0","10","7","7"
"2005","(Fach-)Abitur","6.1","6.5","471","2","5","8","9","10","5.86","6.34","0","10","7","7"
"2005","(noch) kein Abschluss","5.91","5.5","71","2","3","9","10","10","5.22","6.6","0","10","5","7"
"2005","AkademikerIn","6.19","6.5","746","1","5","8","9","10","5.99","6.39","0","10","7","7"
"2005","Hauptschule","6.2","6.5","1176","2","5","8","10","10","6.04","6.36","0","10","7","7"
"2005","Realschule","6.24","6.5","1214","2","5","8","9","10","6.09","6.39","0","10","7","7"
"2006","(Fach-)Abitur","6.42","6.5","478","2","5","8","9","10","6.18","6.66","0","10","7","8"
"2006","(noch) kein Abschluss","5.1","4.5","49","2","4","7","8","10","4.36","5.84","0","10","5","7"
"2006","AkademikerIn","6.36","6.5","776","1","5","8","10","10","6.17","6.55","0","10","7","7"
"2006","Hauptschule","5.98","6.5","1065","0","4","8","10","10","5.81","6.15","0","10","7","7"
"2006","Realschule","6.24","6.5","1184","2","5","8","9","10","6.09","6.39","0","10","7","7"
"2007","(Fach-)Abitur","6.3","6.5","456","3","5","8","9","10","6.07","6.53","0","10","7","7"
"2007","(noch) kein Abschluss","4.87","5.5","44","0","0","8","9","10","3.85","5.89","0","10","5","8"
"2007","AkademikerIn","6.46","6.5","794","2","5","8","9","10","6.28","6.64","0","10","7","8"
"2007","Hauptschule","5.97","6.5","962","0","5","8","10","10","5.79","6.15","0","10","7","7"
"2007","Realschule","6.35","6.5","1128","2","5","8","9","10","6.2","6.5","0","10","7","7"
"2008","(Fach-)Abitur","6.91","7.5","408","3","5","9","10","10","6.68","7.14","0","10","7","8"
"2008","(noch) kein Abschluss","5.98","5.5","37","4","5","7","9","10","5.13","6.83","0","10","6","7"
"2008","AkademikerIn","6.86","6.5","636","3","5","9","10","10","6.68","7.04","0","10","7","8"
"2008","Hauptschule","6.26","6.5","769","2","5","8","10","10","6.06","6.46","0","10","7","7"
"2008","Realschule","6.76","7.5","971","3","5","8","10","10","6.61","6.91","0","10","7","8"
"2009","(Fach-)Abitur","7.19","7.5","339","4","6","9","10","10","6.93","7.45","0","10","8","8"
"2009","(noch) kein Abschluss","","","","","","","","","","","","","",""
"2009","AkademikerIn","6.78","7.5","642","3","5","9","10","10","6.59","6.97","0","10","8","8"
"2009","Hauptschule","6.09","6.5","713","0","5","8","9","10","5.88","6.3","0","10","7","7"
"2009","Realschule","6.79","6.5","903","3","5","9","10","10","6.63","6.95","0","10","7","8"
"2010","(Fach-)Abitur","6.98","7.5","1059","4","6","9","10","10","6.83","7.13","0","10","8","8"
"2010","(noch) kein Abschluss","6.27","6.5","178","0","4","9","10","10","5.81","6.73","0","10","7","8"
"2010","AkademikerIn","6.95","7.5","1656","3","6","9","10","10","6.82","7.08","0","10","8","8"
"2010","Hauptschule","6.28","6.5","1762","0","5","9","10","10","6.15","6.41","0","10","8","8"
"2010","Realschule","7.04","7.5","2130","4","6","9","10","10","6.93","7.15","0","10","8","8"
"2011","(Fach-)Abitur","7.13","7.5","1118","3","6","9","10","10","6.99","7.27","0","10","8","8"
"2011","(noch) kein Abschluss","7.51","7.5","153","4","7","9","10","10","7.14","7.88","0","10","8","9"
"2011","AkademikerIn","6.94","7.5","1789","3","6","9","10","10","6.83","7.05","0","10","8","8"
"2011","Hauptschule","6.57","6.5","1747","1","5","9","10","10","6.45","6.69","0","10","8","8"
"2011","Realschule","7.2","7.5","2245","4","6","9","10","10","7.1","7.3","0","10","8","8"
"2012","(Fach-)Abitur","7.44","7.5","1061","5","6","9","10","10","7.31","7.57","0","10","8","8"
"2012","(noch) kein Abschluss","6.91","6.5","161","3","6","9","10","10","6.48","7.34","0","10","7","8"
"2012","AkademikerIn","7.41","7.5","1659","4","6","9","10","10","7.31","7.51","0","10","8","8"
"2012","Hauptschule","6.92","7.5","1662","2","5","9","10","10","6.8","7.04","0","10","8","8"
"2012","Realschule","7.12","7.5","2085","4","6","9","10","10","7.03","7.21","0","10","8","8"
"2013","(Fach-)Abitur","7.44","7.5","965","4","6","9","10","10","7.3","7.58","0","10","8","8"
"2013","(noch) kein Abschluss","7.04","7.5","143","1","7","9","10","10","6.58","7.5","0","10","8","9"
"2013","AkademikerIn","7.34","7.5","1539","4","6","9","10","10","7.23","7.45","0","10","8","8"
"2013","Hauptschule","6.82","7.5","1460","3","5","9","10","10","6.7","6.94","0","10","8","8"
