"year","age_gr","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lowerconfidence_mean","upperconfidence_mean","minimum","maximum","lowerconfidence_median","upperconfidence_median"
"1990","17-34","Ostdeutschland","7.51","7.5","973","3","6","10","10","10","7.34","7.68","0","10","8","9"
"1990","17-34","Westdeutschland","","","","","","","","","","","","","",""
"1990","35-65","Ostdeutschland","7.6","7.5","498","4","6","10","10","10","7.38","7.82","0","10","8","8"
"1990","35-65","Westdeutschland","","","","","","","","","","","","","",""
"1990","66 +","Ostdeutschland","","","","","","","","","","","","","",""
"1990","66 +","Westdeutschland","","","","","","","","","","","","","",""
"1991","17-34","Ostdeutschland","","","","","","","","","","","","","",""
"1991","17-34","Westdeutschland","","","","","","","","","","","","","",""
"1991","35-65","Ostdeutschland","","","","","","","","","","","","","",""
"1991","35-65","Westdeutschland","","","","","","","","","","","","","",""
"1991","66 +","Ostdeutschland","","","","","","","","","","","","","",""
"1991","66 +","Westdeutschland","","","","","","","","","","","","","",""
"1992","17-34","Ostdeutschland","","","","","","","","","","","","","",""
"1992","17-34","Westdeutschland","","","","","","","","","","","","","",""
"1992","35-65","Ostdeutschland","","","","","","","","","","","","","",""
"1992","35-65","Westdeutschland","","","","","","","","","","","","","",""
"1992","66 +","Ostdeutschland","","","","","","","","","","","","","",""
"1992","66 +","Westdeutschland","","","","","","","","","","","","","",""
"1993","17-34","Ostdeutschland","","","","","","","","","","","","","",""
"1993","17-34","Westdeutschland","","","","","","","","","","","","","",""
"1993","35-65","Ostdeutschland","","","","","","","","","","","","","",""
"1993","35-65","Westdeutschland","","","","","","","","","","","","","",""
"1993","66 +","Ostdeutschland","","","","","","","","","","","","","",""
"1993","66 +","Westdeutschland","","","","","","","","","","","","","",""
"1994","17-34","Ostdeutschland","","","","","","","","","","","","","",""
"1994","17-34","Westdeutschland","","","","","","","","","","","","","",""
"1994","35-65","Ostdeutschland","","","","","","","","","","","","","",""
"1994","35-65","Westdeutschland","","","","","","","","","","","","","",""
"1994","66 +","Ostdeutschland","","","","","","","","","","","","","",""
"1994","66 +","Westdeutschland","","","","","","","","","","","","","",""
"1995","17-34","Ostdeutschland","","","","","","","","","","","","","",""
"1995","17-34","Westdeutschland","","","","","","","","","","","","","",""
"1995","35-65","Ostdeutschland","","","","","","","","","","","","","",""
"1995","35-65","Westdeutschland","","","","","","","","","","","","","",""
"1995","66 +","Ostdeutschland","","","","","","","","","","","","","",""
"1995","66 +","Westdeutschland","","","","","","","","","","","","","",""
"1996","17-34","Ostdeutschland","","","","","","","","","","","","","",""
"1996","17-34","Westdeutschland","","","","","","","","","","","","","",""
"1996","35-65","Ostdeutschland","","","","","","","","","","","","","",""
"1996","35-65","Westdeutschland","","","","","","","","","","","","","",""
"1996","66 +","Ostdeutschland","","","","","","","","","","","","","",""
"1996","66 +","Westdeutschland","","","","","","","","","","","","","",""
"1997","17-34","Ostdeutschland","7.09","7.5","399","4","5","9","10","10","6.86","7.32","0","10","7","8"
"1997","17-34","Westdeutschland","6.25","6.5","1275","3","5","8","10","10","6.11","6.39","0","10","7","7"
"1997","35-65","Ostdeutschland","6.31","6.5","425","3","5","8","9","10","6.09","6.53","0","10","7","7"
"1997","35-65","Westdeutschland","6.47","6.5","1304","3","5","8","9","10","6.34","6.6","0","10","7","7"
"1997","66 +","Ostdeutschland","","","","","","","","","","","","","",""
"1997","66 +","Westdeutschland","5.25","4.5","38","0","4","7","10","10","4.33","6.17","0","10","5","7"
"1998","17-34","Ostdeutschland","7.34","7.5","417","4","6","9","10","10","7.13","7.55","0","10","7","8"
"1998","17-34","Westdeutschland","6.46","6.5","1282","2","5","8","10","10","6.32","6.6","0","10","7","7"
"1998","35-65","Ostdeutschland","6.76","6.5","461","3","5","8","9","10","6.55","6.97","0","10","7","8"
"1998","35-65","Westdeutschland","6.56","6.5","1454","3","5","8","10","10","6.44","6.68","0","10","7","7"
"1998","66 +","Ostdeutschland","","","","","","","","","","","","","",""
"1998","66 +","Westdeutschland","4.41","4.5","38","0","2","7","9","10","3.39","5.43","0","10","2","6"
"1999","17-34","Ostdeutschland","6.89","6.5","386","3","5","9","10","10","6.65","7.13","0","10","7","8"
"1999","17-34","Westdeutschland","6.51","6.5","1200","3","5","8","10","10","6.37","6.65","0","10","7","7"
"1999","35-65","Ostdeutschland","6.51","6.5","471","3","5","8","9","10","6.3","6.72","0","10","7","7"
"1999","35-65","Westdeutschland","6.58","6.5","1485","3","5","8","10","10","6.46","6.7","0","10","7","7"
"1999","66 +","Ostdeutschland","","","","","","","","","","","","","",""
"1999","66 +","Westdeutschland","6.26","6.5","51","0","5","8","9","10","5.5","7.02","0","10","6","8"
"2000","17-34","Ostdeutschland","7.09","7.5","508","4","5","9","10","10","6.88","7.3","0","10","7","8"
"2000","17-34","Westdeutschland","6.6","6.5","1816","3","5","9","10","10","6.48","6.72","0","10","7","7"
"2000","35-65","Ostdeutschland","6.52","6.5","628","3","5","8","10","10","6.32","6.72","0","10","7","7"
"2000","35-65","Westdeutschland","6.46","6.5","2856","3","5","8","10","10","6.37","6.55","0","10","7","7"
"2000","66 +","Ostdeutschland","","","","","","","","","","","","","",""
"2000","66 +","Westdeutschland","5.19","5.5","91","0","0","8","9","10","4.44","5.94","0","10","5","7"
"2001","17-34","Ostdeutschland","6.74","6.5","415","3","5","9","10","10","6.49","6.99","0","10","7","8"
"2001","17-34","Westdeutschland","6.64","6.5","1376","2","5","9","10","10","6.5","6.78","0","10","7","8"
"2001","35-65","Ostdeutschland","6.32","6.5","415","2","5","8","10","10","6.04","6.6","0","10","6","7"
"2001","35-65","Westdeutschland","6.4","6.5","2066","2","5","8","10","10","6.29","6.51","0","10","7","7"
"2001","66 +","Ostdeutschland","4.54","4.5","34","0","0","7","8","9","3.35","5.73","0","10","2","7"
"2001","66 +","Westdeutschland","4.64","4.5","81","0","0","8","10","10","3.84","5.44","0","10","5","7"
"2002","17-34","Ostdeutschland","6.95","6.5","364","4","6","9","9","10","6.71","7.19","0","10","7","8"
"2002","17-34","Westdeutschland","6.39","6.5","1140","3","5","8","10","10","6.24","6.54","0","10","7","7"
"2002","35-65","Ostdeutschland","6.57","6.5","385","3","5","8","10","10","6.32","6.82","0","10","7","8"
"2002","35-65","Westdeutschland","6.42","6.5","2125","3","5","8","9","10","6.31","6.53","0","10","7","7"
"2002","66 +","Ostdeutschland","","","","","","","","","","","","","",""
"2002","66 +","Westdeutschland","4.83","4.5","69","0","0","8","9","10","4","5.66","0","10","4","6"
"2003","17-34","Ostdeutschland","6.33","5.5","837","3","5","8","10","10","6.17","6.49","0","10","6","7"
"2003","17-34","Westdeutschland","6.19","5.5","2107","3","5","8","10","10","6.08","6.3","0","10","6","7"
"2003","35-65","Ostdeutschland","6.11","5.5","1347","3","5","8","9","10","5.98","6.24","0","10","6","7"
"2003","35-65","Westdeutschland","6.37","6.5","4402","3","5","8","10","10","6.3","6.44","0","10","7","7"
"2003","66 +","Ostdeutschland","5.46","5.5","146","0","5","7","8","10","5.05","5.87","0","10","5","6"
"2003","66 +","Westdeutschland","6.37","6.5","385","2","5","8","10","10","6.09","6.65","0","10","6","7"
"2004","17-34","Ostdeutschland","6.49","6.5","392","2","5","8","10","10","6.23","6.75","0","10","7","8"
"2004","17-34","Westdeutschland","6.55","6.5","955","3","5","8","10","10","6.39","6.71","0","10","7","7"
"2004","35-65","Ostdeutschland","6.22","6.5","467","2","5","8","9","10","5.97","6.47","0","10","7","7"
"2004","35-65","Westdeutschland","6.18","6.5","2001","2","5","8","9","10","6.07","6.29","0","10","7","7"
"2004","66 +","Ostdeutschland","","","","","","","","","","","","","",""
"2004","66 +","Westdeutschland","5.13","6.5","67","0","0","8","9","10","4.27","5.99","0","10","5","7"
"2005","17-34","Ostdeutschland","6.47","6.5","384","2","5","9","10","10","6.19","6.75","0","10","7","8"
"2005","17-34","Westdeutschland","6.37","6.5","882","2","5","8","10","10","6.19","6.55","0","10","7","7"
"2005","35-65","Ostdeutschland","6.3","6.5","491","1","5","9","10","10","6.04","6.56","0","10","7","7"
"2005","35-65","Westdeutschland","6.13","6.5","1855","2","5","8","9","10","6.01","6.25","0","10","7","7"
"2005","66 +","Ostdeutschland","3.55","0","33","0","0","8","10","10","2.12","4.98","0","10","0","6"
"2005","66 +","Westdeutschland","4.55","4.5","80","0","0","8","9","10","3.77","5.33","0","10","5","7"
"2006","17-34","Ostdeutschland","7","7.5","381","4","5","9","10","10","6.77","7.23","0","10","8","8"
"2006","17-34","Westdeutschland","6.11","6.5","834","2","4","8","10","10","5.92","6.3","0","10","7","7"
"2006","35-65","Ostdeutschland","6.63","6.5","473","2","5","8","10","10","6.4","6.86","0","10","7","8"
"2006","35-65","Westdeutschland","6.07","6.5","1821","2","4","8","9","10","5.95","6.19","0","10","7","7"
"2006","66 +","Ostdeutschland","","","","","","","","","","","","","",""
"2006","66 +","Westdeutschland","4.15","3.5","69","0","0","9","9","10","3.21","5.09","0","10","0","7"
"2007","17-34","Ostdeutschland","6.69","7.5","345","2","5","9","10","10","6.42","6.96","0","10","7","8"
"2007","17-34","Westdeutschland","6.37","6.5","726","2","5","8","10","10","6.17","6.57","0","10","7","7"
"2007","35-65","Ostdeutschland","6.49","7.5","476","0","5","9","10","10","6.24","6.74","0","10","7","8"
"2007","35-65","Westdeutschland","6.18","6.5","1772","2","5","8","9","10","6.06","6.3","0","10","7","7"
"2007","66 +","Ostdeutschland","2.27","0","31","0","0","6","8","9","0.93","3.61","0","9","0","6"
"2007","66 +","Westdeutschland","4.19","4.5","77","0","0","8","9","10","3.34","5.04","0","10","2","6"
"2008","17-34","Ostdeutschland","7.03","7.5","311","2","6","9","10","10","6.75","7.31","0","10","8","8"
"2008","17-34","Westdeutschland","6.5","6.5","594","2","5","8","10","10","6.29","6.71","0","10","7","8"
"2008","35-65","Ostdeutschland","7.35","7.5","409","5","6","9","10","10","7.13","7.57","0","10","8","8"
"2008","35-65","Westdeutschland","6.58","6.5","1482","3","5","8","9","10","6.46","6.7","0","10","7","7"
"2008","66 +","Ostdeutschland","","","","","","","","","","","","","",""
"2008","66 +","Westdeutschland","5.47","5.5","56","0","0","9","10","10","4.43","6.51","0","10","3","7"
"2009","17-34","Ostdeutschland","7.29","7.5","285","4","6","9","10","10","7.03","7.55","0","10","8","8"
"2009","17-34","Westdeutschland","6.81","7.5","544","2","5","9","10","10","6.59","7.03","0","10","7","8"
"2009","35-65","Ostdeutschland","7.09","7.5","423","3","6","9","10","10","6.85","7.33","0","10","8","8"
"2009","35-65","Westdeutschland","6.54","6.5","1361","3","5","8","9","10","6.41","6.67","0","10","7","8"
"2009","66 +","Ostdeutschland","","","","","","","","","","","","","",""
"2009","66 +","Westdeutschland","3.09","2","50","0","0","5","8","10","2.09","4.09","0","10","0","5"
"2010","17-34","Ostdeutschland","7.34","7.5","720","4","6","9","10","10","7.16","7.52","0","10","8","8"
"2010","17-34","Westdeutschland","6.89","7.5","1973","2","5","9","10","10","6.77","7.01","0","10","8","8"
"2010","35-65","Ostdeutschland","7.05","7.5","791","4","6","9","10","10","6.88","7.22","0","10","8","8"
"2010","35-65","Westdeutschland","6.65","6.5","3312","2","5","9","10","10","6.56","6.74","0","10","8","8"
"2010","66 +","Ostdeutschland","","","","","","","","","","","","","",""
"2010","66 +","Westdeutschland","4.54","4.5","63","0","0","9","10","10","3.52","5.56","0","10","0","7"
"2011","17-34","Ostdeutschland","7.37","7.5","681","4","7","9","10","10","7.2","7.54","0","10","8","8"
"2011","17-34","Westdeutschland","6.92","7.5","1828","3","5","9","10","10","6.81","7.03","0","10","8","8"
"2011","35-65","Ostdeutschland","7.15","7.5","934","3","6","9","10","10","7","7.3","0","10","8","8"
"2011","35-65","Westdeutschland","7.11","7.5","3690","4","6","9","10","10","7.04","7.18","0","10","8","8"
"2011","66 +","Ostdeutschland","2.88","0","33","0","0","6","9","10","1.53","4.23","0","10","0","5"
"2011","66 +","Westdeutschland","4.68","5.5","89","0","0","8","9","10","3.9","5.46","0","10","5","7"
"2012","17-34","Ostdeutschland","7.48","7.5","588","5","6","9","10","10","7.3","7.66","0","10","8","8"
"2012","17-34","Westdeutschland","7.11","7.5","1604","4","6","9","10","10","6.99","7.23","0","10","8","8"
"2012","35-65","Ostdeutschland","7.39","7.5","875","4","6","9","10","10","7.25","7.53","0","10","8","8"
"2012","35-65","Westdeutschland","7.18","7.5","3568","4","6","9","10","10","7.11","7.25","0","10","8","8"
