"year","bildungsniveau","migback","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1990","(Fach-)Abitur","direkter Migrationshintergrund","","","","",""
"1990","(Fach-)Abitur","indirekter Migrationshintergrund","","","","",""
"1990","(Fach-)Abitur","kein Migrationshintergrund","7.81","7.5","40","6.98","8.64"
"1990","(noch) kein Abschluss","direkter Migrationshintergrund","","","","",""
"1990","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","",""
"1990","(noch) kein Abschluss","kein Migrationshintergrund","","","","",""
"1990","AkademikerIn","direkter Migrationshintergrund","","","","",""
"1990","AkademikerIn","indirekter Migrationshintergrund","","","","",""
"1990","AkademikerIn","kein Migrationshintergrund","7.55","7.5","423","7.33","7.77"
"1990","Hauptschule","direkter Migrationshintergrund","","","","",""
"1990","Hauptschule","indirekter Migrationshintergrund","","","","",""
"1990","Hauptschule","kein Migrationshintergrund","7.51","7.5","248","7.14","7.88"
"1990","Realschule","direkter Migrationshintergrund","","","","",""
"1990","Realschule","indirekter Migrationshintergrund","","","","",""
"1990","Realschule","kein Migrationshintergrund","7.5","7.5","741","7.31","7.69"
"1991","(Fach-)Abitur","direkter Migrationshintergrund","","","","",""
"1991","(Fach-)Abitur","indirekter Migrationshintergrund","","","","",""
"1991","(Fach-)Abitur","kein Migrationshintergrund","","","","",""
"1991","(noch) kein Abschluss","direkter Migrationshintergrund","","","","",""
"1991","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","",""
"1991","(noch) kein Abschluss","kein Migrationshintergrund","","","","",""
"1991","AkademikerIn","direkter Migrationshintergrund","","","","",""
"1991","AkademikerIn","indirekter Migrationshintergrund","","","","",""
"1991","AkademikerIn","kein Migrationshintergrund","","","","",""
"1991","Hauptschule","direkter Migrationshintergrund","","","","",""
"1991","Hauptschule","indirekter Migrationshintergrund","","","","",""
"1991","Hauptschule","kein Migrationshintergrund","","","","",""
"1991","Realschule","direkter Migrationshintergrund","","","","",""
"1991","Realschule","indirekter Migrationshintergrund","","","","",""
"1991","Realschule","kein Migrationshintergrund","","","","",""
"1992","(Fach-)Abitur","direkter Migrationshintergrund","","","","",""
"1992","(Fach-)Abitur","indirekter Migrationshintergrund","","","","",""
"1992","(Fach-)Abitur","kein Migrationshintergrund","","","","",""
"1992","(noch) kein Abschluss","direkter Migrationshintergrund","","","","",""
"1992","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","",""
"1992","(noch) kein Abschluss","kein Migrationshintergrund","","","","",""
"1992","AkademikerIn","direkter Migrationshintergrund","","","","",""
"1992","AkademikerIn","indirekter Migrationshintergrund","","","","",""
"1992","AkademikerIn","kein Migrationshintergrund","","","","",""
"1992","Hauptschule","direkter Migrationshintergrund","","","","",""
"1992","Hauptschule","indirekter Migrationshintergrund","","","","",""
"1992","Hauptschule","kein Migrationshintergrund","","","","",""
"1992","Realschule","direkter Migrationshintergrund","","","","",""
"1992","Realschule","indirekter Migrationshintergrund","","","","",""
"1992","Realschule","kein Migrationshintergrund","","","","",""
"1993","(Fach-)Abitur","direkter Migrationshintergrund","","","","",""
"1993","(Fach-)Abitur","indirekter Migrationshintergrund","","","","",""
"1993","(Fach-)Abitur","kein Migrationshintergrund","","","","",""
"1993","(noch) kein Abschluss","direkter Migrationshintergrund","","","","",""
"1993","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","",""
"1993","(noch) kein Abschluss","kein Migrationshintergrund","","","","",""
"1993","AkademikerIn","direkter Migrationshintergrund","","","","",""
"1993","AkademikerIn","indirekter Migrationshintergrund","","","","",""
"1993","AkademikerIn","kein Migrationshintergrund","","","","",""
"1993","Hauptschule","direkter Migrationshintergrund","","","","",""
"1993","Hauptschule","indirekter Migrationshintergrund","","","","",""
"1993","Hauptschule","kein Migrationshintergrund","","","","",""
"1993","Realschule","direkter Migrationshintergrund","","","","",""
"1993","Realschule","indirekter Migrationshintergrund","","","","",""
"1993","Realschule","kein Migrationshintergrund","","","","",""
"1994","(Fach-)Abitur","direkter Migrationshintergrund","","","","",""
"1994","(Fach-)Abitur","indirekter Migrationshintergrund","","","","",""
"1994","(Fach-)Abitur","kein Migrationshintergrund","","","","",""
"1994","(noch) kein Abschluss","direkter Migrationshintergrund","","","","",""
"1994","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","",""
"1994","(noch) kein Abschluss","kein Migrationshintergrund","","","","",""
"1994","AkademikerIn","direkter Migrationshintergrund","","","","",""
"1994","AkademikerIn","indirekter Migrationshintergrund","","","","",""
"1994","AkademikerIn","kein Migrationshintergrund","","","","",""
"1994","Hauptschule","direkter Migrationshintergrund","","","","",""
"1994","Hauptschule","indirekter Migrationshintergrund","","","","",""
"1994","Hauptschule","kein Migrationshintergrund","","","","",""
"1994","Realschule","direkter Migrationshintergrund","","","","",""
"1994","Realschule","indirekter Migrationshintergrund","","","","",""
"1994","Realschule","kein Migrationshintergrund","","","","",""
"1995","(Fach-)Abitur","direkter Migrationshintergrund","","","","",""
"1995","(Fach-)Abitur","indirekter Migrationshintergrund","","","","",""
"1995","(Fach-)Abitur","kein Migrationshintergrund","","","","",""
"1995","(noch) kein Abschluss","direkter Migrationshintergrund","","","","",""
"1995","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","",""
"1995","(noch) kein Abschluss","kein Migrationshintergrund","","","","",""
"1995","AkademikerIn","direkter Migrationshintergrund","","","","",""
"1995","AkademikerIn","indirekter Migrationshintergrund","","","","",""
"1995","AkademikerIn","kein Migrationshintergrund","","","","",""
"1995","Hauptschule","direkter Migrationshintergrund","","","","",""
"1995","Hauptschule","indirekter Migrationshintergrund","","","","",""
"1995","Hauptschule","kein Migrationshintergrund","","","","",""
"1995","Realschule","direkter Migrationshintergrund","","","","",""
"1995","Realschule","indirekter Migrationshintergrund","","","","",""
"1995","Realschule","kein Migrationshintergrund","","","","",""
"1996","(Fach-)Abitur","direkter Migrationshintergrund","","","","",""
"1996","(Fach-)Abitur","indirekter Migrationshintergrund","","","","",""
"1996","(Fach-)Abitur","kein Migrationshintergrund","","","","",""
"1996","(noch) kein Abschluss","direkter Migrationshintergrund","","","","",""
"1996","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","",""
"1996","(noch) kein Abschluss","kein Migrationshintergrund","","","","",""
"1996","AkademikerIn","direkter Migrationshintergrund","","","","",""
"1996","AkademikerIn","indirekter Migrationshintergrund","","","","",""
"1996","AkademikerIn","kein Migrationshintergrund","","","","",""
"1996","Hauptschule","direkter Migrationshintergrund","","","","",""
"1996","Hauptschule","indirekter Migrationshintergrund","","","","",""
"1996","Hauptschule","kein Migrationshintergrund","","","","",""
"1996","Realschule","direkter Migrationshintergrund","","","","",""
"1996","Realschule","indirekter Migrationshintergrund","","","","",""
"1996","Realschule","kein Migrationshintergrund","","","","",""
"1997","(Fach-)Abitur","direkter Migrationshintergrund","6.72","6.5","122","6.32","7.12"
"1997","(Fach-)Abitur","indirekter Migrationshintergrund","","","","",""
"1997","(Fach-)Abitur","kein Migrationshintergrund","6.55","6.5","162","6.19","6.91"
"1997","(noch) kein Abschluss","direkter Migrationshintergrund","6.56","6.5","121","6.13","6.99"
"1997","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","",""
"1997","(noch) kein Abschluss","kein Migrationshintergrund","","","","",""
"1997","AkademikerIn","direkter Migrationshintergrund","6.25","6.5","58","5.67","6.83"
"1997","AkademikerIn","indirekter Migrationshintergrund","","","","",""
"1997","AkademikerIn","kein Migrationshintergrund","6.53","6.5","416","6.32","6.74"
"1997","Hauptschule","direkter Migrationshintergrund","6.48","6.5","489","6.27","6.69"
"1997","Hauptschule","indirekter Migrationshintergrund","6.81","6.5","57","6.16","7.46"
"1997","Hauptschule","kein Migrationshintergrund","6.29","6.5","831","6.12","6.46"
"1997","Realschule","direkter Migrationshintergrund","5.9","5.5","40","5.15","6.65"
"1997","Realschule","indirekter Migrationshintergrund","","","","",""
"1997","Realschule","kein Migrationshintergrund","6.45","6.5","967","6.3","6.6"
"1998","(Fach-)Abitur","direkter Migrationshintergrund","7.22","6.5","110","6.84","7.6"
"1998","(Fach-)Abitur","indirekter Migrationshintergrund","","","","",""
"1998","(Fach-)Abitur","kein Migrationshintergrund","6.52","6.5","203","6.17","6.87"
"1998","(noch) kein Abschluss","direkter Migrationshintergrund","6.33","5.5","103","5.89","6.77"
"1998","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","",""
"1998","(noch) kein Abschluss","kein Migrationshintergrund","6.38","6.5","31","5.52","7.24"
"1998","AkademikerIn","direkter Migrationshintergrund","7.11","7.5","52","6.49","7.73"
"1998","AkademikerIn","indirekter Migrationshintergrund","","","","",""
"1998","AkademikerIn","kein Migrationshintergrund","6.76","6.5","471","6.54","6.98"
"1998","Hauptschule","direkter Migrationshintergrund","6.31","6.5","453","6.1","6.52"
"1998","Hauptschule","indirekter Migrationshintergrund","5.46","4.5","62","4.85","6.07"
"1998","Hauptschule","kein Migrationshintergrund","6.43","6.5","868","6.26","6.6"
"1998","Realschule","direkter Migrationshintergrund","6.1","6.5","45","5.31","6.89"
"1998","Realschule","indirekter Migrationshintergrund","","","","",""
"1998","Realschule","kein Migrationshintergrund","6.82","6.5","1050","6.68","6.96"
"1999","(Fach-)Abitur","direkter Migrationshintergrund","6.92","7.5","104","6.49","7.35"
"1999","(Fach-)Abitur","indirekter Migrationshintergrund","","","","",""
"1999","(Fach-)Abitur","kein Migrationshintergrund","6.64","6.5","209","6.3","6.98"
"1999","(noch) kein Abschluss","direkter Migrationshintergrund","6.62","6.5","97","6.17","7.07"
"1999","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","",""
"1999","(noch) kein Abschluss","kein Migrationshintergrund","5.89","6.5","32","4.99","6.79"
"1999","AkademikerIn","direkter Migrationshintergrund","6.93","7.5","47","6.33","7.53"
"1999","AkademikerIn","indirekter Migrationshintergrund","","","","",""
"1999","AkademikerIn","kein Migrationshintergrund","6.71","6.5","462","6.49","6.93"
"1999","Hauptschule","direkter Migrationshintergrund","6.36","6.5","437","6.15","6.57"
"1999","Hauptschule","indirekter Migrationshintergrund","5.91","5.5","68","5.28","6.54"
"1999","Hauptschule","kein Migrationshintergrund","6.54","6.5","906","6.38","6.7"
"1999","Realschule","direkter Migrationshintergrund","6.57","6.5","45","5.84","7.3"
"1999","Realschule","indirekter Migrationshintergrund","4.98","5.5","31","3.84","6.12"
