"year","regtyp","sex","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1990","Laendlicher Raum","maennlich","7.53","7.5","459","3","6","10","10","10","7.29","7.77","0","10","8","8"
"1990","Laendlicher Raum","weiblich","7.6","7.5","490","4","6","10","10","10","7.37","7.83","0","10","8","9"
"1990","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"1990","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"1991","Laendlicher Raum","maennlich","","","","","","","","","","","","","",""
"1991","Laendlicher Raum","weiblich","","","","","","","","","","","","","",""
"1991","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"1991","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"1992","Laendlicher Raum","maennlich","","","","","","","","","","","","","",""
"1992","Laendlicher Raum","weiblich","","","","","","","","","","","","","",""
"1992","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"1992","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"1993","Laendlicher Raum","maennlich","","","","","","","","","","","","","",""
"1993","Laendlicher Raum","weiblich","","","","","","","","","","","","","",""
"1993","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"1993","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"1994","Laendlicher Raum","maennlich","","","","","","","","","","","","","",""
"1994","Laendlicher Raum","weiblich","","","","","","","","","","","","","",""
"1994","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"1994","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"1995","Laendlicher Raum","maennlich","","","","","","","","","","","","","",""
"1995","Laendlicher Raum","weiblich","","","","","","","","","","","","","",""
"1995","Staedtischer Raum","maennlich","","","","","","","","","","","","","",""
"1995","Staedtischer Raum","weiblich","","","","","","","","","","","","","",""
"1996","Laendlicher Raum","maennlich","","","","","","","","","","","","","",""
"1996","Laendlicher Raum","weiblich","","","","","","","","","","","","","",""
