"year","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lowerconfidence_mean","upperconfidence_mean","minimum","maximum","lowerconfidence_median","upperconfidence_median"
"1990","7.52","7.5","1477","3","6","10","10","10","7.38","7.66","0","10","8","8"
"1991","","","","","","","","","","","","","",""
"1992","","","","","","","","","","","","","",""
"1993","","","","","","","","","","","","","",""
"1994","","","","","","","","","","","","","",""
"1995","","","","","","","","","","","","","",""
"1996","","","","","","","","","","","","","",""
"1997","6.41","6.5","3450","3","5","8","10","10","6.33","6.49","0","10","7","7"
"1998","6.58","6.5","3664","3","5","8","10","10","6.5","6.66","0","10","7","7"
"1999","6.57","6.5","3606","3","5","8","10","10","6.49","6.65","0","10","7","7"
"2000","6.52","6.5","5928","3","5","8","10","10","6.45","6.59","0","10","7","7"
"2001","6.43","6.5","4387","2","5","8","10","10","6.35","6.51","0","10","7","7"
"2002","6.41","6.5","4103","3","5","8","10","10","6.33","6.49","0","10","7","7"
"2003","6.28","6.5","9224","3","5","8","10","10","6.23","6.33","0","10","7","7"
"2004","6.28","6.5","3906","2","5","8","9","10","6.2","6.36","0","10","7","7"
"2005","6.17","6.5","3725","2","5","8","10","10","6.08","6.26","0","10","7","7"
"2006","6.17","6.5","3595","2","5","8","9","10","6.08","6.26","0","10","7","7"
"2007","6.22","6.5","3427","1","5","8","9","10","6.13","6.31","0","10","7","7"
"2008","6.63","6.5","2863","3","5","8","10","10","6.54","6.72","0","10","7","8"
"2009","6.63","6.5","2679","2","5","9","10","10","6.53","6.73","0","10","7","8"
"2010","6.73","7.5","6875","2","5","9","10","10","6.67","6.79","0","10","8","8"
"2011","6.95","7.5","7255","3","5","9","10","10","6.89","7.01","0","10","8","8"
"2012","7.14","7.5","6720","4","6","9","10","10","7.09","7.19","0","10","8","8"
"2013","7.11","7.5","6109","4","6","9","10","10","7.05","7.17","0","10","8","8"
"2014","7.08","7.5","6353","3","6","9","10","10","7.02","7.14","0","10","8","8"
"2015","7.28","7.5","5271","4","6","9","10","10","7.22","7.34","0","10","8","8"
"2016","7.32","7.5","4836","4","6","9","10","10","7.26","7.38","0","10","8","8"
"2017","7.27","7.5","4454","4","6","9","10","10","7.2","7.34","0","10","8","8"
"2018","7.1","7.5","4226","4","6","9","10","10","7.03","7.17","0","10","8","8"
"2019","7.27","7.5","4036","4","6","9","10","10","7.2","7.34","0","10","8","8"
"2020","6.95","7.5","4435","3","5","9","10","10","6.87","7.03","0","10","8","8"
