year,bula_h,hhtyp,rentown,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Single-person household,Tenant,0.6981132075471698,5863,0.68636203757618,0.7098643775181596
1984,Schleswig-Holstein,Single-person household,Owner,0.3018867924528302,5863,0.2901356224818404,0.31363796242381997
1984,Schleswig-Holstein,Couple without children,Owner,0.5909090909090909,5863,0.5783237097137895,0.6034944721043923
1984,Schleswig-Holstein,Couple without children,Tenant,0.4090909090909091,5863,0.3965055278956077,0.4216762902862105
1984,Schleswig-Holstein,Single parent,Tenant,0.6363636363636364,5863,0.62405010971033,0.6486771630169427
1984,Schleswig-Holstein,Single parent,Owner,0.36363636363636365,5863,0.35132283698305733,0.37594989028966996
1984,Schleswig-Holstein,Couple with children,Owner,0.5925925925925926,5863,0.5800152556981414,0.6051699294870437
1984,Schleswig-Holstein,Couple with children,Tenant,0.4074074074074074,5863,0.39483007051295627,0.4199847443018585
1984,Schleswig-Holstein,Multi-generational household,Tenant,0.5,5863,0.4872012920658945,0.5127987079341054
1984,Schleswig-Holstein,Multi-generational household,Owner,0.5,5863,0.4872012920658945,0.5127987079341054
1984,Schleswig-Holstein,Other Combinations,Owner,0.75,5863,0.7389159937934472,0.7610840062065528
1984,Schleswig-Holstein,Other Combinations,Tenant,0.25,5863,0.23891599379344722,0.2610840062065528
1984,Hamburg,Single-person household,Tenant,0.9433962264150944,5863,0.9374810747536851,0.9493113780765036
1984,Hamburg,Single-person household,Owner,0.05660377358490566,5863,0.05068862192349641,0.06251892524631492
1984,Hamburg,Couple without children,Tenant,0.8478260869565217,5863,0.8386317669311483,0.8570204069818952
1984,Hamburg,Couple without children,Owner,0.15217391304347827,5863,0.14297959301810484,0.1613682330688517
1984,Hamburg,Single parent,Tenant,1.0,5863,1.0,1.0
1984,Hamburg,Couple with children,Tenant,0.7692307692307693,5863,0.7584459368578002,0.7800156016037384
1984,Hamburg,Couple with children,Owner,0.23076923076923078,5863,0.2199843983962617,0.24155406314219988
1984,Hamburg,Multi-generational household,Tenant,1.0,5863,1.0,1.0
1984,Hamburg,Other Combinations,Tenant,1.0,5863,1.0,1.0
1984,Lower Saxony,Single-person household,Tenant,0.811965811965812,5863,0.8019638912970863,0.8219677326345376
1984,Lower Saxony,Single-person household,Owner,0.18803418803418803,5863,0.1780322673654624,0.19803610870291366
1984,Lower Saxony,Couple without children,Tenant,0.5460992907801419,5863,0.5333550971544501,0.5588434844058336
1984,Lower Saxony,Couple without children,Owner,0.45390070921985815,5863,0.4411565155941664,0.4666449028455499
1984,Lower Saxony,Single parent,Tenant,0.6,5863,0.5874598784778123,0.6125401215221876
1984,Lower Saxony,Single parent,Owner,0.4,5863,0.3874598784778124,0.41254012152218766
