year,age_gr,regtyp,m11124,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,Urban regions,Not Disabled (<= 30%),0.98275,2448,2487,0.97764,0.98787
1985,17-29 y.,Urban regions,Disabled (> 30%),0.01650,39,2487,0.01150,0.02151
1985,17-29 y.,Rural regions,Not Disabled (<= 30%),0.97739,639,639,0.96586,0.98893
1985,30-45 y.,Urban regions,Not Disabled (<= 30%),0.95418,2646,2743,0.94635,0.96200
1985,30-45 y.,Urban regions,Disabled (> 30%),0.04308,97,2743,0.03548,0.05068
1985,30-45 y.,Rural regions,Not Disabled (<= 30%),0.97129,706,706,0.95897,0.98362
1985,46-65 y.,Urban regions,Not Disabled (<= 30%),0.78691,2150,2586,0.77112,0.80270
1985,46-65 y.,Urban regions,Disabled (> 30%),0.20497,436,2586,0.18941,0.22054
1985,46-65 y.,Rural regions,Not Disabled (<= 30%),0.82132,586,688,0.79268,0.84997
1985,46-65 y.,Rural regions,Disabled (> 30%),0.16257,102,688,0.13497,0.19016
1985,66 and older,Urban regions,Not Disabled (<= 30%),0.79043,636,814,0.76246,0.81841
1985,66 and older,Urban regions,Disabled (> 30%),0.20670,178,814,0.17887,0.23454
1985,66 and older,Rural regions,Not Disabled (<= 30%),0.85096,244,291,0.80997,0.89195
1985,66 and older,Rural regions,Disabled (> 30%),0.14904,47,291,0.10805,0.19003
1987,17-29 y.,Urban regions,Not Disabled (<= 30%),0.98158,2319,2356,0.97615,0.98701
1987,17-29 y.,Urban regions,Disabled (> 30%),0.01448,37,2356,0.00966,0.01931
1987,17-29 y.,Rural regions,Not Disabled (<= 30%),0.97590,627,627,0.96388,0.98791
1987,30-45 y.,Urban regions,Not Disabled (<= 30%),0.95562,2422,2514,0.94757,0.96367
1987,30-45 y.,Urban regions,Disabled (> 30%),0.04207,92,2514,0.03422,0.04992
1987,30-45 y.,Rural regions,Not Disabled (<= 30%),0.96186,630,630,0.94689,0.97683
1987,46-65 y.,Urban regions,Not Disabled (<= 30%),0.80428,2126,2529,0.78881,0.81975
1987,46-65 y.,Urban regions,Disabled (> 30%),0.18859,403,2529,0.17334,0.20384
1987,46-65 y.,Rural regions,Not Disabled (<= 30%),0.85060,568,657,0.82332,0.87788
1987,46-65 y.,Rural regions,Disabled (> 30%),0.14708,89,657,0.11998,0.17419
1987,66 and older,Urban regions,Not Disabled (<= 30%),0.77419,609,790,0.74501,0.80336
1987,66 and older,Urban regions,Disabled (> 30%),0.21893,181,790,0.19008,0.24779
1987,66 and older,Rural regions,Not Disabled (<= 30%),0.80890,216,271,0.76200,0.85580
1987,66 and older,Rural regions,Disabled (> 30%),0.18642,55,271,0.13996,0.23287
1988,17-29 y.,Urban regions,Not Disabled (<= 30%),0.98255,2248,2290,0.97719,0.98791
1988,17-29 y.,Urban regions,Disabled (> 30%),0.01581,42,2290,0.01070,0.02092
1988,17-29 y.,Rural regions,Not Disabled (<= 30%),0.97058,561,561,0.95658,0.98458
1988,30-45 y.,Urban regions,Not Disabled (<= 30%),0.95486,2242,2328,0.94643,0.96330
1988,30-45 y.,Urban regions,Disabled (> 30%),0.04172,86,2328,0.03359,0.04984
1988,30-45 y.,Rural regions,Not Disabled (<= 30%),0.96461,599,599,0.94980,0.97942
1988,46-65 y.,Urban regions,Not Disabled (<= 30%),0.79594,2039,2460,0.78001,0.81187
1988,46-65 y.,Urban regions,Disabled (> 30%),0.19555,421,2460,0.17988,0.21123
1988,46-65 y.,Rural regions,Not Disabled (<= 30%),0.84350,540,628,0.81506,0.87193
1988,46-65 y.,Rural regions,Disabled (> 30%),0.15385,88,628,0.12561,0.18209
1988,66 and older,Urban regions,Not Disabled (<= 30%),0.71897,558,775,0.68730,0.75063
1988,66 and older,Urban regions,Disabled (> 30%),0.27369,217,775,0.24228,0.30510
1988,66 and older,Rural regions,Not Disabled (<= 30%),0.78533,196,254,0.73474,0.83593
1988,66 and older,Rural regions,Disabled (> 30%),0.20777,58,254,0.15777,0.25776
1989,17-29 y.,Urban regions,Not Disabled (<= 30%),0.98215,2221,2257,0.97668,0.98761
1989,17-29 y.,Urban regions,Disabled (> 30%),0.01350,36,2257,0.00874,0.01827
1989,17-29 y.,Rural regions,Not Disabled (<= 30%),0.96828,549,549,0.95361,0.98295
1989,30-45 y.,Urban regions,Not Disabled (<= 30%),0.95209,2182,2265,0.94329,0.96089
1989,30-45 y.,Urban regions,Disabled (> 30%),0.04503,83,2265,0.03649,0.05357
1989,30-45 y.,Rural regions,Not Disabled (<= 30%),0.95854,550,550,0.94187,0.97522
1989,46-65 y.,Urban regions,Not Disabled (<= 30%),0.80552,1979,2378,0.78961,0.82143
1989,46-65 y.,Urban regions,Disabled (> 30%),0.18871,399,2378,0.17298,0.20444
1989,46-65 y.,Rural regions,Not Disabled (<= 30%),0.81039,492,587,0.77865,0.84213
1989,46-65 y.,Rural regions,Disabled (> 30%),0.18447,95,587,0.15306,0.21587
1989,66 and older,Urban regions,Not Disabled (<= 30%),0.69568,524,754,0.66281,0.72854
1989,66 and older,Urban regions,Disabled (> 30%),0.29615,230,754,0.26354,0.32876
1989,66 and older,Rural regions,Not Disabled (<= 30%),0.76626,189,249,0.71359,0.81894
1989,66 and older,Rural regions,Disabled (> 30%),0.22629,60,249,0.17422,0.27837
1991,17-29 y.,Urban regions,Not Disabled (<= 30%),0.98307,2376,2414,0.97792,0.98822
1991,17-29 y.,Urban regions,Disabled (> 30%),0.01467,38,2414,0.00987,0.01947
1991,17-29 y.,Rural regions,Not Disabled (<= 30%),0.97935,1236,1236,0.97142,0.98728
1991,30-45 y.,Urban regions,Not Disabled (<= 30%),0.95330,2634,2734,0.94539,0.96121
1991,30-45 y.,Urban regions,Disabled (> 30%),0.04340,100,2734,0.03576,0.05103
1991,30-45 y.,Rural regions,Not Disabled (<= 30%),0.97327,1511,1511,0.96514,0.98141
1991,46-65 y.,Urban regions,Not Disabled (<= 30%),0.82778,2302,2681,0.81349,0.84208
1991,46-65 y.,Urban regions,Disabled (> 30%),0.16790,379,2681,0.15375,0.18205
1991,46-65 y.,Rural regions,Not Disabled (<= 30%),0.89558,1329,1418,0.87966,0.91150
1991,46-65 y.,Rural regions,Disabled (> 30%),0.09890,89,1418,0.08336,0.11445
1991,66 and older,Urban regions,Not Disabled (<= 30%),0.70906,659,904,0.67944,0.73869
1991,66 and older,Urban regions,Disabled (> 30%),0.28150,245,904,0.25217,0.31083
1991,66 and older,Rural regions,Not Disabled (<= 30%),0.83236,458,523,0.80032,0.86441
1991,66 and older,Rural regions,Disabled (> 30%),0.15783,65,523,0.12656,0.18911
1992,17-29 y.,Urban regions,Not Disabled (<= 30%),0.98212,2312,2352,0.97677,0.98748
1992,17-29 y.,Urban regions,Disabled (> 30%),0.01562,40,2352,0.01061,0.02064
1992,17-29 y.,Rural regions,Not Disabled (<= 30%),0.98034,1164,1164,0.97237,0.98832
1992,30-45 y.,Urban regions,Not Disabled (<= 30%),0.95314,2599,2706,0.94517,0.96110
1992,30-45 y.,Urban regions,Disabled (> 30%),0.04424,107,2706,0.03649,0.05199
1992,30-45 y.,Rural regions,Not Disabled (<= 30%),0.95814,1436,1486,0.94795,0.96832
1992,30-45 y.,Rural regions,Disabled (> 30%),0.03869,50,1486,0.02888,0.04850
1992,46-65 y.,Urban regions,Not Disabled (<= 30%),0.81643,2210,2633,0.80163,0.83122
1992,46-65 y.,Urban regions,Disabled (> 30%),0.17639,423,2633,0.16183,0.19096
1992,46-65 y.,Rural regions,Not Disabled (<= 30%),0.84112,1171,1325,0.82143,0.86081
1992,46-65 y.,Rural regions,Disabled (> 30%),0.14026,154,1325,0.12155,0.15897
1992,66 and older,Urban regions,Not Disabled (<= 30%),0.67659,638,919,0.64633,0.70685
1992,66 and older,Urban regions,Disabled (> 30%),0.31562,281,919,0.28556,0.34569
1992,66 and older,Rural regions,Not Disabled (<= 30%),0.76174,393,501,0.72440,0.79908
1992,66 and older,Rural regions,Disabled (> 30%),0.21461,108,501,0.17862,0.25059
1994,17-29 y.,Urban regions,Not Disabled (<= 30%),0.98115,2193,2231,0.97550,0.98679
1994,17-29 y.,Urban regions,Disabled (> 30%),0.01622,38,2231,0.01098,0.02147
1994,17-29 y.,Rural regions,Not Disabled (<= 30%),0.98957,1095,1095,0.98355,0.99559
1994,30-45 y.,Urban regions,Not Disabled (<= 30%),0.95191,2575,2685,0.94382,0.96001
1994,30-45 y.,Urban regions,Disabled (> 30%),0.04561,110,2685,0.03771,0.05350
1994,30-45 y.,Rural regions,Not Disabled (<= 30%),0.96085,1405,1454,0.95087,0.97082
1994,30-45 y.,Rural regions,Disabled (> 30%),0.03739,49,1454,0.02764,0.04715
