year,regtyp,m11124,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,Not Disabled (<= 30%),0.74216,7880,8630,0.73293,0.75139
1985,Urban regions,Disabled (> 30%),0.09677,750,8630,0.09053,0.10301
1985,Rural regions,Not Disabled (<= 30%),0.74749,2175,2354,0.72994,0.76505
1985,Rural regions,Disabled (> 30%),0.07552,179,2354,0.06484,0.08619
1987,Urban regions,Not Disabled (<= 30%),0.74147,7476,8189,0.73199,0.75096
1987,Urban regions,Disabled (> 30%),0.09561,713,8189,0.08924,0.10198
1987,Rural regions,Not Disabled (<= 30%),0.73535,2041,2215,0.71697,0.75372
1987,Rural regions,Disabled (> 30%),0.07805,174,2215,0.06688,0.08922
1988,Urban regions,Not Disabled (<= 30%),0.73071,7087,7853,0.72089,0.74052
1988,Urban regions,Disabled (> 30%),0.10614,766,7853,0.09932,0.11295
1988,Rural regions,Not Disabled (<= 30%),0.72906,1896,2076,0.70993,0.74818
1988,Rural regions,Disabled (> 30%),0.08506,180,2076,0.07306,0.09706
1989,Urban regions,Not Disabled (<= 30%),0.73127,6906,7654,0.72134,0.74120
1989,Urban regions,Disabled (> 30%),0.10709,748,7654,0.10017,0.11402
1989,Rural regions,Not Disabled (<= 30%),0.71672,1780,1966,0.69679,0.73664
1989,Rural regions,Disabled (> 30%),0.09688,186,1966,0.08380,0.10996
1991,Urban regions,Not Disabled (<= 30%),0.72658,7971,8733,0.71723,0.73592
1991,Urban regions,Disabled (> 30%),0.09759,762,8733,0.09137,0.10382
1991,Rural regions,Not Disabled (<= 30%),0.75520,4534,4721,0.74294,0.76747
1991,Rural regions,Disabled (> 30%),0.05721,187,4721,0.05058,0.06383
1992,Urban regions,Not Disabled (<= 30%),0.71791,7759,8610,0.70841,0.72742
1992,Urban regions,Disabled (> 30%),0.10600,851,8610,0.09950,0.11250
1992,Rural regions,Not Disabled (<= 30%),0.72719,4164,4488,0.71416,0.74022
1992,Rural regions,Disabled (> 30%),0.07965,324,4488,0.07173,0.08757
1994,Urban regions,Not Disabled (<= 30%),0.72090,7613,8434,0.71133,0.73048
1994,Urban regions,Disabled (> 30%),0.10246,821,8434,0.09599,0.10894
1994,Rural regions,Not Disabled (<= 30%),0.72818,4053,4378,0.71500,0.74136
1994,Rural regions,Disabled (> 30%),0.07831,325,4378,0.07035,0.08627
1995,Urban regions,Not Disabled (<= 30%),0.70895,7759,8632,0.69937,0.71853
1995,Urban regions,Disabled (> 30%),0.10833,873,8632,0.10177,0.11488
1995,Rural regions,Not Disabled (<= 30%),0.71682,4179,4533,0.70370,0.72994
1995,Rural regions,Disabled (> 30%),0.08603,354,4533,0.07786,0.09419
1996,Urban regions,Not Disabled (<= 30%),0.71541,7641,8495,0.70581,0.72501
1996,Urban regions,Disabled (> 30%),0.10756,854,8495,0.10097,0.11415
1996,Rural regions,Not Disabled (<= 30%),0.71748,4126,4504,0.70433,0.73063
1996,Rural regions,Disabled (> 30%),0.09434,378,4504,0.08580,0.10288
1997,Urban regions,Not Disabled (<= 30%),0.71787,7505,8337,0.70821,0.72753
1997,Urban regions,Disabled (> 30%),0.10617,832,8337,0.09956,0.11278
1997,Rural regions,Not Disabled (<= 30%),0.71665,4050,4429,0.70338,0.72993
1997,Rural regions,Disabled (> 30%),0.09360,379,4429,0.08502,0.10218
1998,Urban regions,Not Disabled (<= 30%),0.72195,8282,9253,0.71282,0.73108
1998,Urban regions,Disabled (> 30%),0.10721,971,9253,0.10090,0.11351
1998,Rural regions,Not Disabled (<= 30%),0.71823,4497,4938,0.70568,0.73078
