year,age_gr,quintil_oecd,m11124,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,1st Quintile,Not Disabled (<= 30%),0.98203,791,791,0.97277,0.99129
1984,17-29 y.,2nd Quintile,Not Disabled (<= 30%),0.97388,659,659,0.96170,0.98607
1984,17-29 y.,3rd Quintile,Not Disabled (<= 30%),0.98787,656,656,0.97949,0.99626
1984,17-29 y.,4th Quintile,Not Disabled (<= 30%),0.97921,718,718,0.96876,0.98965
1984,17-29 y.,5th Quintile,Not Disabled (<= 30%),0.97595,542,542,0.96304,0.98886
1984,30-45 y.,1st Quintile,Not Disabled (<= 30%),0.93640,746,782,0.91928,0.95351
1984,30-45 y.,1st Quintile,Disabled (> 30%),0.06127,36,782,0.04445,0.07809
1984,30-45 y.,2nd Quintile,Not Disabled (<= 30%),0.96111,757,757,0.94732,0.97489
1984,30-45 y.,3rd Quintile,Not Disabled (<= 30%),0.95341,719,719,0.93799,0.96882
1984,30-45 y.,4th Quintile,Not Disabled (<= 30%),0.96427,769,769,0.95115,0.97740
1984,30-45 y.,5th Quintile,Not Disabled (<= 30%),0.96241,761,761,0.94889,0.97594
1984,46-65 y.,1st Quintile,Not Disabled (<= 30%),0.75495,447,543,0.71874,0.79117
1984,46-65 y.,1st Quintile,Disabled (> 30%),0.23059,96,543,0.19513,0.26605
1984,46-65 y.,2nd Quintile,Not Disabled (<= 30%),0.77256,529,653,0.74039,0.80474
1984,46-65 y.,2nd Quintile,Disabled (> 30%),0.22136,124,653,0.18950,0.25323
1984,46-65 y.,3rd Quintile,Not Disabled (<= 30%),0.81008,592,707,0.78115,0.83902
1984,46-65 y.,3rd Quintile,Disabled (> 30%),0.18769,115,707,0.15888,0.21649
1984,46-65 y.,4th Quintile,Not Disabled (<= 30%),0.80186,633,761,0.77352,0.83020
1984,46-65 y.,4th Quintile,Disabled (> 30%),0.19395,128,761,0.16584,0.22206
1984,46-65 y.,5th Quintile,Not Disabled (<= 30%),0.82499,735,871,0.79975,0.85024
